,seat,state,winner,TPP
0,Canberra,ACT,ALP,55.79
1,Fraser,ACT,ALP,61.73
2,Banks,NSW,COA,51.08
3,Barton,NSW,ALP,51.75
4,Bennelong,NSW,COA,58.88
5,Berowra,NSW,COA,71.53
6,Blaxland,NSW,ALP,64.77
7,Bradfield,NSW,COA,74.23
8,Calare,NSW,COA,66.43
9,Charlton,NSW,ALP,64.69
10,Chifley,NSW,ALP,63.71
11,Cook,NSW,COA,67.55
12,Cowper,NSW,COA,62.02
13,Cunningham,NSW,ALP,60.84
14,Dobell,NSW,COA,51.06
15,Eden-Monaro,NSW,COA,50.89
16,Farrer,NSW,COA,67.8
17,Fowler,NSW,ALP,70.96
18,Gilmore,NSW,COA,52.58
19,Grayndler,NSW,ALP,69.38
20,Greenway,NSW,ALP,54.69
21,Hughes,NSW,COA,60.15
22,Hume,NSW,COA,63.83
23,Hunter,NSW,ALP,58.72
24,Kingsford Smith,NSW,ALP,52.14
25,Lindsay,NSW,COA,52.23
26,Lyne,NSW,COA,66.97
27,Macarthur,NSW,COA,60.95
28,Mackellar,NSW,COA,72.13
29,Macquarie,NSW,COA,56.65
30,McMahon,NSW,ALP,57.15
31,Mitchell,NSW,COA,72.68
32,New England,NSW,COA,77.55
33,Newcastle,NSW,ALP,58.73
34,North Sydney,NSW,COA,69.65
35,Page,NSW,COA,51.58
36,Parkes,NSW,COA,71.95
37,Parramatta,NSW,ALP,50.79
38,Paterson,NSW,COA,61.16
39,Reid,NSW,COA,51.17
40,Richmond,NSW,ALP,53.21
41,Riverina,NSW,COA,71.21
42,Robertson,NSW,COA,52.23
43,Shortland,NSW,ALP,58.89
44,Sydney,NSW,ALP,63.04
45,Throsby,NSW,ALP,56.39
46,Warringah,NSW,COA,70.39
47,Watson,NSW,ALP,58.23
48,Wentworth,NSW,COA,71.23
49,Werriwa,NSW,ALP,54.9
50,Lingiari,NT,ALP,54.2
51,Solomon,NT,ALP,52.3
52,Blair,QLD,ALP,57.21
53,Bonner,QLD,COA,53.11
54,Bowman,QLD,COA,58.46
55,Brisbane,QLD,COA,56.44
56,Capricornia,QLD,ALP,50.8
57,Dawson,QLD,COA,57.46
58,Dickson,QLD,COA,56.95
59,Fadden,QLD,COA,66.79
60,Fairfax,QLD,PUP,55.83
61,Fisher,QLD,COA,63.27
62,Flynn,QLD,COA,55.25
63,Forde,QLD,COA,52.74
64,Griffith,QLD,ALP,52.11
65,Groom,QLD,COA,67.81
66,Herbert,QLD,COA,56.4
67,Hinkler,QLD,COA,58.65
68,Kennedy,QLD,KAP,58.51
69,Leichhardt,QLD,COA,54.63
70,Lilley,QLD,ALP,52.56
71,Longman,QLD,COA,56.27
72,Maranoa,QLD,COA,73.74
73,McPherson,QLD,COA,64.14
74,Moncrieff,QLD,COA,68.44
75,Moreton,QLD,ALP,51.34
76,Oxley,QLD,ALP,55.43
77,Petrie,QLD,ALP,51.9
78,Rankin,QLD,ALP,56.06
79,Ryan,QLD,COA,61.27
80,Wide Bay,QLD,COA,65.39
81,Wright,QLD,COA,64.61
82,Adelaide,SA,ALP,53.13
83,Barker,SA,COA,70.8
84,Boothby,SA,COA,57.23
85,Grey,SA,COA,63.73
86,Hindmarsh,SA,COA,51.61
87,Kingston,SA,ALP,63.08
88,Makin,SA,ALP,57.8
89,Mayo,SA,COA,64.89
90,Port Adelaide,SA,ALP,68.7
91,Sturt,SA,COA,60.92
92,Wakefield,SA,ALP,55.43
93,Bass,TAS,COA,54.44
94,Braddon,TAS,COA,52.42
95,Denison,TAS,IND,64.32
96,Franklin,TAS,ALP,54.65
97,Lyons,TAS,COA,50.92
98,Aston,VIC,COA,58.23
99,Ballarat,VIC,ALP,55.3
100,Batman,VIC,ALP,66.77
101,Bendigo,VIC,COA,52.26
102,Bruce,VIC,ALP,52.11
103,Calwell,VIC,ALP,65.91
104,Casey,VIC,COA,59.43
105,Chisholm,VIC,ALP,50.08
106,Corangamite,VIC,COA,57.28
107,Corio,VIC,ALP,57.88
108,Deakin,VIC,COA,55.09
109,Dunkley,VIC,COA,57.62
110,Flinders,VIC,COA,64.87
111,Gellibrand,VIC,ALP,66.86
112,Gippsland,VIC,COA,66.87
113,Goldstein,VIC,COA,64.77
114,Gorton,VIC,ALP,68.98
115,Higgins,VIC,COA,63.57
116,Holt,VIC,ALP,61.9
117,Hotham,VIC,ALP,58.82
118,Indi,VIC,COA,76.14
119,Isaacs,VIC,ALP,53.44
120,Jagajaga,VIC,ALP,51.41
121,Kooyong,VIC,COA,65.68
122,La Trobe,VIC,COA,55.11
123,Lalor,VIC,ALP,63.35
124,Mallee,VIC,COA,76.69
125,Maribyrnong,VIC,ALP,61.78
126,McEwen,VIC,ALP,51.39
127,McMillan,VIC,COA,63.27
128,Melbourne,VIC,GRN,51.95
129,Melbourne Ports,VIC,COA,51.51
130,Menzies,VIC,COA,65.89
131,Murray,VIC,COA,72.03
132,Scullin,VIC,ALP,65.87
133,Wannon,VIC,COA,61.18
134,Wills,VIC,ALP,71.68
135,Brand,WA,ALP,53.89
136,Canning,WA,COA,62.83
137,Cowan,WA,COA,56.83
138,Curtin,WA,COA,71.59
139,Durack,WA,COA,71.67
140,Forrest,WA,COA,65.19
141,Fremantle,WA,ALP,54.65
142,Hasluck,WA,COA,54.45
143,Moore,WA,COA,62.43
144,O'Connor,WA,COA,75.5
145,Pearce,WA,COA,62.24
146,Perth,WA,ALP,54.29
147,Stirling,WA,COA,60.34
148,Swan,WA,COA,57.44
149,Tangney,WA,COA,65.37
