division,state,ALP2PP,party,Total_population,Population_density1,LogPopDens,Persons_who_lived_at_a_different_address_5_years_ago,Persons_aged_under_5_years,Under5%A,Persons_aged_5_to_14_years,5to14%,Persons_aged_15_to_24_years,15to14%,Persons_aged_25_to_64_years,25to64%,Persons_aged_65_years_and_over,65pllus%,Median_age,Total_dependency_ratio3,Elderly_dependency_ratio5,Persons_of_Christian_religion,Christian%,Persons_of_Catholic_religion,Catholic%,Persons_of_Islamic_religion,Muslim%,Persons_of_no_religion,Atheist%,Persons_of_Indigenous_origin,Indiginous%,Persons_born_overseas,Overseas%,Persons_born_overseas_and_resident_in_Australia_since_2000,AusSince2000%,Persons_born_in_non-English_speaking_countries,NonEngBorn%,Persons_born_in_the_United_Kingdom_or_Ireland,UKIreBorn%,Persons_who_speak_English_not_well_or_not_at_all,BadEng%,Persons_speaking_a_language_other_than_English_at_home,OthEngHome%,Couple_families_with_dependent_children,DepChildren%,Couple_families_with_no_children,NoChild%,One_parent_families_with_dependent_children,OneParent%,Lone_person_households,Lone%,Persons_engaged_in_unpaid_child_care7,UnPaidCC%,Families_with_weekly_income_below_$650,Below650%,Families_with_weekly_income_$2000_and_above,Above2000%,Median_weekly_family_income,Individuals_with_weekly_income_below_$1000,IndBelow1000%,Persons_attending_infant/primary_or_secondary_school,Prim/Sec%,Persons_attending_non-government_infant/primary_or_secondary_school,PrivateSchool%,Persons_attending_a_tertiary_education_institution11,Tertiary%,Persons_whose_highest_level_of_schooling_completed_is_Year_10_or_below,Yr10Below%,Persons_with_university_qualifications,Degrees%,Households_with_an_internet_connection,Internet%,Households_with_a_broadband_internet_connection,,Occupied_private_dwellings,Rented_dwellings,Fully_owned_dwellings,Dwellings_being_purchased,Median_monthly_housing_loan_repayment,Median_weekly_rent,Flat_unit_or_apartment_dwellings,Persons_in_non-private_dwellings14,GovtHouse%,Dwellings_with_two_or_more_motor_vehicles,Employed_persons,Employed%,Unemployed_persons,Unemp%,Unemployed_persons_aged_15_to_19_years,Unemp15to24%,Unemployed_persons_aged_45_years_and_over,Unemp45+%,Labour_force20,Labourforce%,Labour_force_aged_45_years_and_over22,LabourForce45+%,Women_in_the_labour_force24,WomenLabour%,Persons_employed_in_agriculture,Ag%,Persons_employed_in_mining,Mine%,Persons_employed_in_manufacturing,Manu%,Persons_employed_in_accommodation_and_food_services,Accomm%,Persons_employed_in_professional_or_managerial_occupations,Prof%,Persons_using_public_transport_to_travel_to_work,
Adelaide,(SA),58.53,ALP,140151,1869.7,3.2718,57106,7303,0.05,13426,0.0958,22801,0.1627,75889,0.5415,20756,0.1481,36,2.38,4.76,79794,0.5693,31500,0.2248,2298,0.0164,32429,0.2314,1446,0.0103,36367,0.2595,10141,0.0724,26113,0.1863,7867,0.0561,4790,0.0342,30268,0.216,11055,0.0789,13438,0.0959,3473,0.0248,19936,0.1422,26810,0.1913,6568,0.0469,9304,0.0664,1359,18336,0.1308,16359,0.1167,8742,0.0624,16004,0.1142,26298,0.1876,31115,0.222,34268,0.2445,21173,0.1511,57099,21453,17216,16012,1315,179,11340,11547,0.0824,22516,67153,0.4791,3892,0.0278,562,0.004,820,0.0059,70956,0.5063,24782,0.1768,33620,0.2399,401,0.0029,506,0.0036,5858,0.0418,4702,0.0335,30616,0.2185,6019,0.0429
Aston,(Vic.),44.95,LP,129463,1349.1,3.13,36550,7828,0.0605,18778,0.145,19160,0.148,70012,0.5408,13687,0.1057,36,2.21,6.52,79795,0.6164,34747,0.2684,1562,0.0121,26866,0.2075,296,0.0023,35936,0.2776,4243,0.0328,25897,0.2,7007,0.0541,2877,0.0222,28362,0.2191,15934,0.1231,10621,0.082,3047,0.0235,6771,0.0523,30048,0.2321,5560,0.0429,8507,0.0657,1374,18192,0.1405,22728,0.1756,7416,0.0573,7691,0.0594,30465,0.2353,17074,0.1319,30799,0.2379,22722,0.1755,42689,5702,15583,19794,1323,222,1292,1475,0.0114,29027,66699,0.5152,2835,0.0219,613,0.0047,687,0.0053,69560,0.5373,27730,0.2142,32181,0.2486,118,0.0009,61,0.0005,10341,0.0799,3231,0.025,20824,0.1608,2888,0.0223
Ballarat,(Vic.),58.15,ALP,129221,27.8,1.444,47381,7945,0.0615,18531,0.1434,18417,0.1425,66067,0.5113,18260,0.1413,37,1.89,4.63,82282,0.6368,35222,0.2726,179,0.0014,29160,0.2257,1129,0.0087,11556,0.0894,1435,0.0111,5549,0.0429,4612,0.0357,381,0.0029,4314,0.0334,12354,0.0956,12754,0.0987,4173,0.0323,12319,0.0953,29789,0.2305,8428,0.0652,4326,0.0335,1076,14404,0.1115,21536,0.1667,8250,0.0638,7146,0.0553,39165,0.3031,13534,0.1047,26809,0.2075,14330,0.1109,47729,11170,17531,17312,1064,156,3621,4175,0.0323,26579,57241,0.443,3726,0.0288,826,0.0064,911,0.007,60988,0.472,23533,0.1821,28407,0.2198,1849,0.0143,297,0.0023,7129,0.0552,3814,0.0295,17336,0.1342,1036,0.008
Banks,(NSW),61.08,ALP,138711,3100.4,3.4914,45267,8229,0.0593,17416,0.1256,18821,0.1357,72950,0.5259,21310,0.1536,38,1.95,4.31,89285,0.6437,36623,0.264,6111,0.0441,22237,0.1603,714,0.0051,50514,0.3642,8699,0.0627,43809,0.3158,3299,0.0238,10137,0.0731,58722,0.4233,14719,0.1061,11920,0.0859,3494,0.0252,11434,0.0824,29453,0.2123,8234,0.0594,8615,0.0621,1220,20336,0.1466,19922,0.1436,7019,0.0506,10303,0.0743,38886,0.2803,21034,0.1516,30776,0.2219,22156,0.1597,49049,14481,18029,14620,1828,237,13170,1538,0.0111,20098,62256,0.4488,3764,0.0271,487,0.0035,1022,0.0074,65937,0.4754,24283,0.1751,30475,0.2197,69,0.0005,49,0.0004,6173,0.0445,4296,0.031,20668,0.149,12918,0.0931
Barker,(SA),40.55,LP,145410,2.5,0.3979,49947,9076,0.0624,20920,0.1439,16719,0.115,76500,0.5261,22223,0.1528,39,1.79,4.2,90400,0.6217,21126,0.1453,562,0.0039,34545,0.2376,2953,0.0203,13473,0.0927,1653,0.0114,6160,0.0424,5545,0.0381,977,0.0067,6184,0.0425,13931,0.0958,17175,0.1181,3834,0.0264,14787,0.1017,33805,0.2325,11048,0.076,3868,0.0266,1031,15169,0.1043,23731,0.1632,5114,0.0352,4279,0.0294,48976,0.3368,7446,0.0512,27844,0.1915,10530,0.0724,55370,14460,20571,18055,873,120,2967,3863,0.0266,31857,67501,0.4642,3390,0.0233,591,0.0041,903,0.0062,70943,0.4879,30150,0.2073,31594,0.2173,12785,0.0879,236,0.0016,10863,0.0747,3840,0.0264,20908,0.1438,300,0.0021
Barton,(NSW),62.1,ALP,135340,3102.7,3.4917,42629,8456,0.0625,15334,0.1133,16499,0.1219,73153,0.5405,21894,0.1618,37,1.96,4.1,89166,0.6588,35234,0.2603,10382,0.0767,14764,0.1091,680,0.005,54496,0.4027,8284,0.0612,48254,0.3565,2849,0.0211,10149,0.075,69240,0.5116,12929,0.0955,12320,0.091,2897,0.0214,11422,0.0844,26531,0.196,8227,0.0608,7497,0.0554,1179,19007,0.1404,16541,0.1222,6233,0.0461,9169,0.0677,36693,0.2711,19176,0.1417,28711,0.2121,20439,0.151,47758,13790,19102,12837,1877,260,14167,2928,0.0216,18265,60513,0.4471,3380,0.025,385,0.0028,959,0.0071,63897,0.4721,22314,0.1649,29095,0.215,62,0.0005,44,0.0003,5068,0.0374,4656,0.0344,19173,0.1417,12799,0.0946
Bass,(Tas.),51,ALP,96195,13,1.1139,35614,5854,0.0609,13392,0.1392,13503,0.1404,49059,0.51,14402,0.1497,37,1.86,4.34,63882,0.6641,16550,0.172,241,0.0025,19759,0.2054,2627,0.0273,9696,0.1008,1669,0.0174,4326,0.045,4236,0.044,286,0.003,3256,0.0338,8797,0.0914,10077,0.1048,3296,0.0343,10371,0.1078,21775,0.2264,7117,0.074,2889,0.03,1021,9657,0.1004,15046,0.1564,4274,0.0444,6067,0.0631,39755,0.4133,8695,0.0904,19508,0.2028,11261,0.1171,37099,10352,13163,12115,902,140,3776,3277,0.0341,18821,41927,0.4359,2809,0.0292,525,0.0055,724,0.0075,44745,0.4651,17121,0.178,20910,0.2174,1756,0.0183,159,0.0017,4706,0.0489,3000,0.0312,12205,0.1269,515,0.0054
Batman,(Vic.),75.95,ALP,128107,2401.3,3.3804,41622,8196,0.064,12704,0.0992,16663,0.1301,70251,0.5484,20290,0.1584,36,2.11,4.28,75838,0.592,40981,0.3199,4905,0.0383,24640,0.1923,1098,0.0086,41068,0.3206,7370,0.0575,35920,0.2804,3144,0.0245,9315,0.0727,49948,0.3899,10786,0.0842,11471,0.0895,3235,0.0253,13984,0.1092,24806,0.1936,8454,0.066,5705,0.0445,1099,15811,0.1234,13735,0.1072,5424,0.0423,11140,0.087,30538,0.2384,23025,0.1797,26145,0.2041,17711,0.1383,48622,16082,17549,12899,1385,188,9475,3339,0.0261,18600,55969,0.4369,3923,0.0306,430,0.0034,871,0.0068,59836,0.4671,17019,0.1328,28157,0.2198,126,0.001,60,0.0005,6084,0.0475,3679,0.0287,20101,0.1569,9500,0.0742
Bendigo,(Vic.),56.13,ALP,131885,18.1,1.2577,47814,7891,0.0598,18322,0.1389,17404,0.132,66724,0.5059,21523,0.1632,39,1.76,3.91,82462,0.6253,30109,0.2283,179,0.0014,31264,0.2371,1332,0.0101,9143,0.0693,844,0.0064,3707,0.0281,4053,0.0307,136,0.001,2802,0.0212,12079,0.0916,13980,0.106,4406,0.0334,13774,0.1044,29896,0.2267,10037,0.0761,3485,0.0264,1004,13412,0.1017,21204,0.1608,6089,0.0462,6065,0.046,43636,0.3309,12313,0.0934,27274,0.2068,13507,0.1024,50319,11812,19687,17132,943,156,2726,3955,0.03,27292,55918,0.424,4069,0.0309,769,0.0058,1078,0.0082,59966,0.4547,24668,0.187,28156,0.2135,2166,0.0164,531,0.004,7147,0.0542,3264,0.0247,16873,0.1279,584,0.0044
Bennelong,(NSW),51.4,ALP,139739,2403.1,3.3808,48108,7949,0.0569,16349,0.117,20261,0.145,74874,0.5358,20323,0.1454,37,2.13,4.68,88300,0.6319,40003,0.2863,2613,0.0187,24650,0.1764,372,0.0027,52426,0.3752,11249,0.0805,44219,0.3164,4787,0.0343,7231,0.0517,50705,0.3629,14942,0.1069,12364,0.0885,2756,0.0197,12280,0.0879,29322,0.2098,6326,0.0453,11693,0.0837,1526,21424,0.1533,19135,0.1369,6975,0.0499,14132,0.1011,30485,0.2182,32681,0.2339,35556,0.2544,26872,0.1923,50190,15407,18247,14786,1921,263,12623,3076,0.022,21635,66829,0.4782,3103,0.0222,443,0.0032,754,0.0054,69948,0.5006,26327,0.1884,33260,0.238,133,0.001,66,0.0005,5035,0.036,3845,0.0275,29632,0.2121,12257,0.0877
