Month,UnemploymentRate
Feb-1978,6.7
Mar-1978,6.4
Apr-1978,6.3
May-1978,6.2
Jun-1978,6.3
Jul-1978,6.2
Aug-1978,6.5
Sep-1978,6.2
Oct-1978,6.2
Nov-1978,6.4
Dec-1978,6.4
Jan-1979,6.4
Feb-1979,6.3
Mar-1979,6.4
Apr-1979,6.5
May-1979,6.2
Jun-1979,6.3
Jul-1979,6.3
Aug-1979,6.1
Sep-1979,6.3
Oct-1979,6.4
Nov-1979,6.1
Dec-1979,6.1
Jan-1980,6.2
Feb-1980,6.0
Mar-1980,6.0
Apr-1980,6.2
May-1980,6.3
Jun-1980,6.3
Jul-1980,6.1
Aug-1980,6.2
Sep-1980,6.2
Oct-1980,6.1
Nov-1980,5.9
Dec-1980,6.1
Jan-1981,5.9
Feb-1981,5.6
Mar-1981,5.8
Apr-1981,5.6
May-1981,5.6
Jun-1981,5.4
Jul-1981,5.9
Aug-1981,5.9
Sep-1981,5.8
Oct-1981,5.9
Nov-1981,6.0
Dec-1981,6.0
Jan-1982,6.0
Feb-1982,6.3
Mar-1982,6.3
Apr-1982,6.4
May-1982,6.6
Jun-1982,6.8
Jul-1982,7.0
Aug-1982,7.0
Sep-1982,7.4
Oct-1982,8.3
Nov-1982,8.7
Dec-1982,9.4
Jan-1983,9.3
Feb-1983,9.7
Mar-1983,9.9
Apr-1983,10.2
May-1983,10.3
Jun-1983,10.2
Jul-1983,10.3
Aug-1983,10.2
Sep-1983,10.3
Oct-1983,10.0
Nov-1983,9.7
Dec-1983,9.5
Jan-1984,9.6
Feb-1984,9.4
Mar-1984,9.2
Apr-1984,9.4
May-1984,8.9
Jun-1984,9.1
Jul-1984,8.7
Aug-1984,8.8
Sep-1984,8.7
Oct-1984,8.7
Nov-1984,8.7
Dec-1984,8.5
Jan-1985,8.6
Feb-1985,8.4
Mar-1985,8.7
Apr-1985,8.4
May-1985,8.4
Jun-1985,8.6
Jul-1985,8.1
Aug-1985,8.2
Sep-1985,8.1
Oct-1985,7.8
Nov-1985,8.0
Dec-1985,7.8
Jan-1986,7.8
Feb-1986,8.1
Mar-1986,7.9
Apr-1986,7.9
May-1986,7.9
Jun-1986,7.7
Jul-1986,8.2
Aug-1986,8.3
Sep-1986,8.3
Oct-1986,8.3
Nov-1986,8.4
Dec-1986,8.4
Jan-1987,8.2
Feb-1987,8.3
Mar-1987,8.5
Apr-1987,8.3
May-1987,8.2
Jun-1987,8.0
Jul-1987,8.1
Aug-1987,8.1
Sep-1987,7.8
Oct-1987,8.1
Nov-1987,8.0
Dec-1987,7.7
Jan-1988,7.6
Feb-1988,7.5
Mar-1988,7.6
Apr-1988,7.9
May-1988,7.4
Jun-1988,7.4
Jul-1988,6.8
Aug-1988,7.1
Sep-1988,7.0
Oct-1988,6.8
Nov-1988,6.6
Dec-1988,6.8
Jan-1989,6.8
Feb-1989,6.7
Mar-1989,6.3
Apr-1989,6.2
May-1989,6.2
Jun-1989,6.1
Jul-1989,6.1
Aug-1989,6.0
Sep-1989,6.0
Oct-1989,5.9
Nov-1989,5.8
Dec-1989,5.8
Jan-1990,6.1
Feb-1990,6.4
Mar-1990,6.2
Apr-1990,6.3
May-1990,6.5
Jun-1990,6.7
Jul-1990,6.9
Aug-1990,7.2
Sep-1990,7.4
Oct-1990,7.6
Nov-1990,8.0
Dec-1990,8.0
Jan-1991,8.3
Feb-1991,8.6
Mar-1991,9.2
Apr-1991,9.9
May-1991,9.5
Jun-1991,9.3
Jul-1991,9.8
Aug-1991,9.8
Sep-1991,10.1
Oct-1991,10.0
Nov-1991,10.2
Dec-1991,10.4
Jan-1992,10.3
Feb-1992,10.4
Mar-1992,10.5
Apr-1992,10.5
May-1992,10.6
Jun-1992,10.9
Jul-1992,10.9
Aug-1992,10.8
Sep-1992,10.7
Oct-1992,11.1
Nov-1992,11.1
Dec-1992,11.1
Jan-1993,10.8
Feb-1993,11.0
Mar-1993,10.8
Apr-1993,10.8
May-1993,10.8
Jun-1993,11.0
Jul-1993,10.8
Aug-1993,11.0
Sep-1993,10.8
Oct-1993,10.9
Nov-1993,10.9
Dec-1993,10.7
Jan-1994,10.6
Feb-1994,10.4
Mar-1994,10.4
Apr-1994,10.1
May-1994,9.8
Jun-1994,9.9
Jul-1994,9.6
Aug-1994,9.4
Sep-1994,9.4
Oct-1994,9.0
Nov-1994,9.1
Dec-1994,8.9
Jan-1995,8.9
Feb-1995,8.8
Mar-1995,8.6
Apr-1995,8.3
May-1995,8.5
Jun-1995,8.4
Jul-1995,8.4
Aug-1995,8.3
Sep-1995,8.4
Oct-1995,8.5
Nov-1995,8.4
Dec-1995,8.2
Jan-1996,8.4
Feb-1996,8.3
Mar-1996,8.4
Apr-1996,8.6
May-1996,8.4
Jun-1996,8.3
Jul-1996,8.5
Aug-1996,8.6
Sep-1996,8.6
Oct-1996,8.7
Nov-1996,8.5
Dec-1996,8.7
Jan-1997,8.5
Feb-1997,8.7
Mar-1997,8.6
Apr-1997,8.6
May-1997,8.5
Jun-1997,8.4
Jul-1997,8.6
Aug-1997,8.4
Sep-1997,8.1
Oct-1997,8.0
Nov-1997,8.0
Dec-1997,8.0
Jan-1998,7.9
Feb-1998,7.8
Mar-1998,7.9
Apr-1998,7.6
May-1998,7.7
Jun-1998,7.9
Jul-1998,8.0
Aug-1998,7.7
Sep-1998,7.6
Oct-1998,7.3
Nov-1998,7.6
Dec-1998,7.2
Jan-1999,7.1
Feb-1999,7.1
Mar-1999,7.0
Apr-1999,7.0
May-1999,7.0
Jun-1999,6.7
Jul-1999,6.7
Aug-1999,6.9
Sep-1999,7.0
Oct-1999,6.8
Nov-1999,6.4
Dec-1999,6.7
Jan-2000,6.8
Feb-2000,6.6
Mar-2000,6.6
Apr-2000,6.4
May-2000,6.3
Jun-2000,6.1
Jul-2000,6.0
Aug-2000,6.0
Sep-2000,6.0
Oct-2000,6.0
Nov-2000,6.2
Dec-2000,6.2
Jan-2001,6.2
Feb-2001,6.5
Mar-2001,6.5
Apr-2001,6.8
May-2001,6.8
Jun-2001,6.9
Jul-2001,6.9
Aug-2001,6.9
Sep-2001,6.8
Oct-2001,7.2
Nov-2001,6.9
Dec-2001,6.8
Jan-2002,6.9
Feb-2002,6.6
Mar-2002,6.4
Apr-2002,6.4
May-2002,6.3
Jun-2002,6.5
Jul-2002,6.2
Aug-2002,6.4
Sep-2002,6.3
Oct-2002,6.1
Nov-2002,6.2
Dec-2002,6.2
Jan-2003,6.1
Feb-2003,6.0
Mar-2003,6.2
Apr-2003,6.0
May-2003,6.0
Jun-2003,6.0
Jul-2003,6.1
Aug-2003,5.8
Sep-2003,5.8
Oct-2003,5.8
Nov-2003,5.7
Dec-2003,5.7
Jan-2004,5.5
Feb-2004,5.6
Mar-2004,5.4
Apr-2004,5.5
May-2004,5.3
Jun-2004,5.5
Jul-2004,5.5
Aug-2004,5.5
Sep-2004,5.4
Oct-2004,5.1
Nov-2004,5.2
Dec-2004,5.1
Jan-2005,5.1
Feb-2005,5.1
Mar-2005,5.2
Apr-2005,5.1
May-2005,5.1
Jun-2005,4.9
Jul-2005,5.0
Aug-2005,4.9
Sep-2005,5.0
Oct-2005,5.1
Nov-2005,5.0
Dec-2005,5.1
Jan-2006,5.2
Feb-2006,5.1
Mar-2006,4.9
Apr-2006,4.9
May-2006,4.8
Jun-2006,4.8
Jul-2006,4.7
Aug-2006,4.7
Sep-2006,4.7
Oct-2006,4.5
Nov-2006,4.5
Dec-2006,4.6
Jan-2007,4.5
Feb-2007,4.6
Mar-2007,4.5
Apr-2007,4.4
May-2007,4.3
Jun-2007,4.3
Jul-2007,4.3
Aug-2007,4.3
Sep-2007,4.2
Oct-2007,4.4
Nov-2007,4.4
Dec-2007,4.3
Jan-2008,4.2
Feb-2008,4.0
Mar-2008,4.0
Apr-2008,4.2
May-2008,4.3
Jun-2008,4.2
Jul-2008,4.3
Aug-2008,4.0
Sep-2008,4.3
Oct-2008,4.3
Nov-2008,4.5
Dec-2008,4.6
Jan-2009,4.9
Feb-2009,5.3
Mar-2009,5.7
Apr-2009,5.5
May-2009,5.8
Jun-2009,5.9
Jul-2009,5.7
Aug-2009,5.7
Sep-2009,5.7
Oct-2009,5.6
Nov-2009,5.6
Dec-2009,5.5
Jan-2010,5.3
Feb-2010,5.3
Mar-2010,5.4
Apr-2010,5.5
May-2010,5.2
Jun-2010,5.2
Jul-2010,5.3
Aug-2010,5.0
Sep-2010,5.1
Oct-2010,5.3
Nov-2010,5.1
Dec-2010,4.9
Jan-2011,5.1
Feb-2011,5.0
Mar-2011,4.9
Apr-2011,5.0
May-2011,5.0
Jun-2011,4.9
Jul-2011,5.1
Aug-2011,5.2
Sep-2011,5.3
Oct-2011,5.1
Nov-2011,5.2
Dec-2011,5.2
Jan-2012,5.1
Feb-2012,5.2
Mar-2012,5.2
Apr-2012,5.0
May-2012,5.2
Jun-2012,5.2
Jul-2012,5.2
Aug-2012,5.1
Sep-2012,5.5
Oct-2012,5.4
Nov-2012,5.2
Dec-2012,5.4
Jan-2013,5.4
Feb-2013,5.4
Mar-2013,5.6
Apr-2013,5.6
May-2013,5.6
Jun-2013,5.7
Jul-2013,5.6
Aug-2013,5.8
Sep-2013,5.7
Oct-2013,5.8
Nov-2013,5.8
Dec-2013,5.9
Jan-2014,6.0
Feb-2014,5.9
Mar-2014,5.8
Apr-2014,5.9
May-2014,5.9
Jun-2014,6.1
Jul-2014,6.2
Aug-2014,6.1
Sep-2014,6.2
Oct-2014,6.3
Nov-2014,6.3
Dec-2014,6.1
Jan-2015,6.4
Feb-2015,6.3
