2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:14 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,363,6.08
ACT,101,Canberra,8829,Barton,18175,COLBERT,Natalie,2,N,N,LP,Liberal,778,-2.09
ACT,101,Canberra,8829,Barton,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1026,-0.34
ACT,101,Canberra,8829,Barton,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,13,0.6
ACT,101,Canberra,8829,Barton,999,Informal,Informal,999,N,N,,Informal,23,-1.2
ACT,101,Canberra,11877,Bonython,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,235,3.74
ACT,101,Canberra,11877,Bonython,18175,COLBERT,Natalie,2,N,N,LP,Liberal,724,-3.15
ACT,101,Canberra,11877,Bonython,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1106,1.02
ACT,101,Canberra,11877,Bonython,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,24,0.75
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,61,-1.48
ACT,101,Canberra,11452,Calwell,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,278,1.6
ACT,101,Canberra,11452,Calwell,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1041,0.46
ACT,101,Canberra,11452,Calwell,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1432,0.36
ACT,101,Canberra,11452,Calwell,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,18,-0.12
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,63,-2.37
ACT,101,Canberra,8794,Canberra Hospital,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,128,0.34
ACT,101,Canberra,8794,Canberra Hospital,18175,COLBERT,Natalie,2,N,N,LP,Liberal,319,-1.73
ACT,101,Canberra,8794,Canberra Hospital,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,512,3.49
ACT,101,Canberra,8794,Canberra Hospital,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,12,0.43
ACT,101,Canberra,8794,Canberra Hospital,999,Informal,Informal,999,N,N,,Informal,23,-0.54
ACT,101,Canberra,8761,Chapman,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,425,3.26
ACT,101,Canberra,8761,Chapman,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1110,-0.71
ACT,101,Canberra,8761,Chapman,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1569,-0.3
ACT,101,Canberra,8761,Chapman,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,23,0.2
ACT,101,Canberra,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,55,-1.43
ACT,101,Canberra,8763,Chisholm,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,178,2.03
ACT,101,Canberra,8763,Chisholm,18175,COLBERT,Natalie,2,N,N,LP,Liberal,658,-4.68
ACT,101,Canberra,8763,Chisholm,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1071,4.05
ACT,101,Canberra,8763,Chisholm,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,19,0.35
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,86,0.35
ACT,101,Canberra,31298,Conder,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,334,1.37
ACT,101,Canberra,31298,Conder,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1358,-1.72
ACT,101,Canberra,31298,Conder,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1864,2.13
ACT,101,Canberra,31298,Conder,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,40,0.06
ACT,101,Canberra,31298,Conder,999,Informal,Informal,999,N,N,,Informal,101,-1.94
ACT,101,Canberra,8764,Curtin,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,514,2.58
ACT,101,Canberra,8764,Curtin,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1036,1.61
ACT,101,Canberra,8764,Curtin,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1565,-2.34
ACT,101,Canberra,8764,Curtin,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,22,0.07
ACT,101,Canberra,8764,Curtin,999,Informal,Informal,999,N,N,,Informal,68,-1.01
ACT,101,Canberra,8766,Deakin,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,182,0.8
ACT,101,Canberra,8766,Deakin,18175,COLBERT,Natalie,2,N,N,LP,Liberal,779,-0.11
ACT,101,Canberra,8766,Deakin,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,643,-0.46
ACT,101,Canberra,8766,Deakin,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,9,0.34
ACT,101,Canberra,8766,Deakin,999,Informal,Informal,999,N,N,,Informal,27,-0.89
ACT,101,Canberra,8767,Duffy,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,293,2.23
ACT,101,Canberra,8767,Duffy,18175,COLBERT,Natalie,2,N,N,LP,Liberal,604,-1.27
ACT,101,Canberra,8767,Duffy,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1094,1.85
ACT,101,Canberra,8767,Duffy,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,15,-0.11
ACT,101,Canberra,8767,Duffy,999,Informal,Informal,999,N,N,,Informal,32,-2.95
ACT,101,Canberra,8768,Fadden,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,285,2.92
ACT,101,Canberra,8768,Fadden,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1031,-2.24
ACT,101,Canberra,8768,Fadden,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1193,0.77
ACT,101,Canberra,8768,Fadden,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,17,0.03
ACT,101,Canberra,8768,Fadden,999,Informal,Informal,999,N,N,,Informal,45,-1.02
ACT,101,Canberra,8769,Farrer,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,291,0.76
ACT,101,Canberra,8769,Farrer,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1149,-1.25
ACT,101,Canberra,8769,Farrer,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1267,1.72
ACT,101,Canberra,8769,Farrer,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,18,0.03
ACT,101,Canberra,8769,Farrer,999,Informal,Informal,999,N,N,,Informal,61,0.24
ACT,101,Canberra,8771,Gilmore,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,238,2.75
ACT,101,Canberra,8771,Gilmore,18175,COLBERT,Natalie,2,N,N,LP,Liberal,834,-1.91
ACT,101,Canberra,8771,Gilmore,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1186,0.6
ACT,101,Canberra,8771,Gilmore,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,18,0.29
