2007 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:08 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,17277,BRESNAN,Amanda,1,N,N,GRN,The Greens,11393,357,44,2556,528,14878,2.65
ACT,101,Canberra,18175,COLBERT,Natalie,2,N,N,LP,Liberal,31388,453,89,6398,2031,40359,-1.56
ACT,101,Canberra,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,46095,752,126,9603,2135,58711,1.17
ACT,101,Canberra,17310,HOLDER,John,4,N,N,CEC,Citizens Electoral Council,736,30,4,145,38,953,0.13
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,2196,51,7,330,76,2660,-1.11
ACT,102,Fraser,17431,CHURCHILL,Darren,1,N,N,DEM,Australian Democrats,1861,36,8,496,108,2509,-0.27
ACT,102,Fraser,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,25664,420,58,5730,2064,33936,-2.41
ACT,102,Fraser,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,43017,634,108,9512,2262,55533,0.5
ACT,102,Fraser,17311,ARNOLD,Jim,4,N,N,CEC,Citizens Electoral Council,268,7,0,51,16,342,0.31
ACT,102,Fraser,18090,IQBAL,Farida,5,N,N,SAL,Socialist Alliance,429,9,4,82,15,539,-1.42
ACT,102,Fraser,18402,TARANTO,Kerri,6,N,N,IND,Independent,883,30,6,258,98,1275,1.17
ACT,102,Fraser,17278,HUNTER,Meredith,7,N,N,GRN,The Greens,10951,264,29,2743,559,14546,2.12
ACT,102,Fraser,999,Informal,Informal,999,N,N,,Informal,2271,30,10,258,60,2629,-1.15
NSW,103,Banks,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,1117,132,8,149,24,1430,1.68
NSW,103,Banks,18213,NGUYEN,Don,2,N,N,LDP,LDP,376,50,1,43,22,492,0.6
NSW,103,Banks,17949,MORROW,Bruce,3,N,N,LP,Liberal,22851,1384,40,1789,1664,27728,-6.6
NSW,103,Banks,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,37348,2414,105,2937,2255,45059,8.37
NSW,103,Banks,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,3729,421,9,302,151,4612,0.91
NSW,103,Banks,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),2624,182,2,213,159,3180,0.27
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,4807,374,25,261,141,5608,-1.57
NSW,104,Barton,17454,McKENZIE,Michele,1,N,N,GRN,The Greens,5546,591,30,448,169,6784,1.34
NSW,104,Barton,18254,SVOLOS,Chris,2,N,N,CDP,Christian Democratic Party (Fred Nile Group),2002,179,12,164,108,2465,3.01
NSW,104,Barton,17856,La MELA,John,3,N,N,LP,Liberal,22369,1483,69,1737,1767,27425,-5.94
NSW,104,Barton,18038,McCLELLAND,Robert,4,Y,Y,ALP,Labor,37452,2485,157,3103,2095,45292,5.61
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,4116,321,11,241,140,4829,-1.43
NSW,105,Bennelong,17148,PETERS,Lindsay,1,N,N,GRN,The Greens,3830,458,9,331,183,4811,-10.08
NSW,105,Bennelong,17984,GOLDFINCH,Peter Lloyd,2,N,N,DEM,Democrats,494,43,1,42,30,610,-0.56
NSW,105,Bennelong,18232,LEYONHJELM,David,3,N,N,LDP,LDP,58,11,0,16,4,89,0.1
NSW,105,Bennelong,18134,SPENCER,Gavin,4,N,N,CEC,Citizens Electoral Council,46,15,0,5,4,70,0.08
NSW,105,Bennelong,17874,WATERSON,Victor,5,N,N,ON,One Nation,190,37,1,19,14,261,0.23
NSW,105,Bennelong,17680,MARKWELL,Lorraine,6,N,N,FFP,Family First,214,34,1,22,18,289,0.24
NSW,105,Bennelong,17145,CORDINER,Graeme,7,N,N,IND,Independent,198,22,0,11,8,239,0.27
NSW,105,Bennelong,17233,ALLEN,David L,8,N,N,IND,Independent,94,11,0,13,5,123,0.14
NSW,105,Bennelong,18542,TAHIR,Yusuf,9,N,N,NAFD,,77,6,0,9,5,97,0.11
NSW,105,Bennelong,17857,HOWARD,John Winston,10,N,Y,LP,Liberal,32129,1959,57,2437,2969,39551,-4.14
NSW,105,Bennelong,18392,TRACANELLI,Margherita,11,N,N,CCC,Climate Change Coalition,205,15,0,26,23,269,0.31
NSW,105,Bennelong,18341,PEEBLES,Robyn,12,N,N,CDP,Christian Democratic Party (Fred Nile Group),921,74,1,68,55,1119,-1.06
NSW,105,Bennelong,18018,McKEW,Maxine,13,Y,N,ALP,Labor,32463,1922,73,2652,2298,39408,16.18
NSW,105,Bennelong,999,Informal,Informal,999,N,N,,Informal,4849,337,16,302,260,5764,0.24
NSW,106,Berowra,17696,ELLIS,Sam,1,N,N,FFP,Family First,805,126,0,84,34,1049,0.15
NSW,106,Berowra,17873,RUDDOCK,Philip,2,Y,Y,LP,Liberal,35781,3023,65,3219,2437,44525,-4.38
NSW,106,Berowra,17744,GALLAGHER,Mick,3,N,N,IND,Independent,1096,145,0,137,78,1456,1.75
NSW,106,Berowra,18467,McMURDO,Wendy,4,N,N,GRN,The Greens,6201,656,12,510,274,7653,0
NSW,106,Berowra,18411,McFARLANE,Rob,5,N,N,DEM,Democrats,751,86,1,71,65,974,-0.65
NSW,106,Berowra,18019,COLNAN,Michael,6,N,N,ALP,Labor,20870,1672,48,1961,1012,25563,5.71
NSW,106,Berowra,18344,LEVICK,Ray,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),1704,154,5,166,96,2125,-0.52
NSW,106,Berowra,999,Informal,Informal,999,N,N,,Informal,3551,291,9,205,132,4188,-0.89
NSW,107,Blaxland,17167,KY,John,1,N,N,GRN,The Greens,4120,487,31,283,83,5004,1.14
NSW,107,Blaxland,17802,MAJEWSKI,Mark,2,N,N,LP,Liberal,15249,1219,50,1094,1053,18665,-5.34
NSW,107,Blaxland,17809,VINNICOMBE,Bob,3,N,N,ON,One Nation,924,111,0,86,81,1202,-1.86
NSW,107,Blaxland,17719,KENT,Gabrielle,4,N,N,FFP,Family First,869,155,7,107,45,1183,1.53
NSW,107,Blaxland,18277,McLACHLAN,Chris,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),1471,137,4,135,103,1850,-0.14
NSW,107,Blaxland,17323,STAVRINOS,Harry,6,N,N,IND,Independent,1301,76,2,101,55,1535,1.98
NSW,107,Blaxland,18160,CLARE,Jason,7,Y,N,ALP,Labor,40073,2755,249,2650,1768,47495,5.09
NSW,107,Blaxland,18212,BASSI,Raul,8,N,N,SAL,Socialist Alliance,438,55,2,24,3,522,0.17
NSW,107,Blaxland,999,Informal,Informal,999,N,N,,Informal,7187,531,46,252,110,8126,-0.78
NSW,108,Bradfield,18064,BROOKMAN,Victoria,1,N,N,ALP,Labor,17644,1442,48,2327,1048,22509,5.11
NSW,108,Bradfield,17850,NELSON,Brendan,2,Y,Y,LP,Liberal,39540,2786,90,3981,3420,49817,-3.41
NSW,108,Bradfield,18418,GEMMELL,Susie,3,N,N,GRN,The Greens,7483,815,19,774,404,9495,0.01
NSW,108,Bradfield,17684,TURNBULL,James,4,N,N,FFP,Family First,533,72,3,91,60,759,-0.88
NSW,108,Bradfield,18281,WISZNIEWSKI,Witold,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),1181,97,1,108,79,1466,1.45
