2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:53 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,31455,Bankstown (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,141,6.08
NSW,103,Banks,31455,Bankstown (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,36,1.61
NSW,103,Banks,31455,Bankstown (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,362,-6.04
NSW,103,Banks,31455,Bankstown (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1531,4.06
NSW,103,Banks,31455,Bankstown (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,96,-0.28
NSW,103,Banks,31455,Bankstown (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),71,0.84
NSW,103,Banks,31455,Bankstown (Banks),999,Informal,Informal,999,N,N,,Informal,296,1.05
NSW,103,Banks,155,Bankstown Central (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,80,6.36
NSW,103,Banks,155,Bankstown Central (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,32,2.65
NSW,103,Banks,155,Bankstown Central (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,201,-7.78
NSW,103,Banks,155,Bankstown Central (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,802,3.19
NSW,103,Banks,155,Bankstown Central (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,70,1.15
NSW,103,Banks,155,Bankstown Central (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),23,-0.77
NSW,103,Banks,155,Bankstown Central (Banks),999,Informal,Informal,999,N,N,,Informal,136,-2.3
NSW,103,Banks,158,Bankstown South,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,81,4.98
NSW,103,Banks,158,Bankstown South,18213,NGUYEN,Don,2,N,N,LDP,LDP,16,1
NSW,103,Banks,158,Bankstown South,17949,MORROW,Bruce,3,N,N,LP,Liberal,328,-7.95
NSW,103,Banks,158,Bankstown South,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1053,6.75
NSW,103,Banks,158,Bankstown South,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,63,0.34
NSW,103,Banks,158,Bankstown South,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),66,0.72
NSW,103,Banks,158,Bankstown South,999,Informal,Informal,999,N,N,,Informal,204,-1.49
NSW,103,Banks,43614,Bankstown West (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,33,7.94
NSW,103,Banks,43614,Bankstown West (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,11,2.74
NSW,103,Banks,43614,Bankstown West (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,83,-8.81
NSW,103,Banks,43614,Bankstown West (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,257,7.44
NSW,103,Banks,43614,Bankstown West (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,9,-1.27
NSW,103,Banks,43614,Bankstown West (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),9,-2.9
NSW,103,Banks,43614,Bankstown West (Banks),999,Informal,Informal,999,N,N,,Informal,50,0.22
NSW,103,Banks,167,Condell Park,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,94,2.42
NSW,103,Banks,167,Condell Park,18213,NGUYEN,Don,2,N,N,LDP,LDP,35,0.99
NSW,103,Banks,167,Condell Park,17949,MORROW,Bruce,3,N,N,LP,Liberal,1013,-4.89
NSW,103,Banks,167,Condell Park,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,2052,6.95
NSW,103,Banks,167,Condell Park,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,183,-0.41
NSW,103,Banks,167,Condell Park,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),154,1.31
NSW,103,Banks,167,Condell Park,999,Informal,Informal,999,N,N,,Informal,383,-2.51
NSW,103,Banks,33117,Condell Park North,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,24,3.13
NSW,103,Banks,33117,Condell Park North,18213,NGUYEN,Don,2,N,N,LDP,LDP,10,1.3
NSW,103,Banks,33117,Condell Park North,17949,MORROW,Bruce,3,N,N,LP,Liberal,225,-1
NSW,103,Banks,33117,Condell Park North,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,407,1.5
NSW,103,Banks,33117,Condell Park North,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,29,-1.87
NSW,103,Banks,33117,Condell Park North,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),73,3.86
NSW,103,Banks,33117,Condell Park North,999,Informal,Informal,999,N,N,,Informal,65,-0.28
NSW,103,Banks,168,Condell Park South,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,90,4.01
NSW,103,Banks,168,Condell Park South,18213,NGUYEN,Don,2,N,N,LDP,LDP,29,1.44
NSW,103,Banks,168,Condell Park South,17949,MORROW,Bruce,3,N,N,LP,Liberal,424,-1.45
NSW,103,Banks,168,Condell Park South,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1311,0.36
NSW,103,Banks,168,Condell Park South,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,88,1.54
NSW,103,Banks,168,Condell Park South,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),78,-0.03
NSW,103,Banks,168,Condell Park South,999,Informal,Informal,999,N,N,,Informal,214,-2.55
NSW,103,Banks,2,East Hills,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,12,1.01
NSW,103,Banks,2,East Hills,18213,NGUYEN,Don,2,N,N,LDP,LDP,6,0.51
NSW,103,Banks,2,East Hills,17949,MORROW,Bruce,3,N,N,LP,Liberal,454,-4.61
NSW,103,Banks,2,East Hills,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,600,7.44
NSW,103,Banks,2,East Hills,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,60,0.66
NSW,103,Banks,2,East Hills,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),54,0.4
NSW,103,Banks,2,East Hills,999,Informal,Informal,999,N,N,,Informal,86,-1.4
NSW,103,Banks,43600,Hannans Road (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,12,1.23
NSW,103,Banks,43600,Hannans Road (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,1,0.1
NSW,103,Banks,43600,Hannans Road (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,249,-6.55
NSW,103,Banks,43600,Hannans Road (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,641,8.36
NSW,103,Banks,43600,Hannans Road (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,50,1.42
NSW,103,Banks,43600,Hannans Road (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),24,-0.27
NSW,103,Banks,43600,Hannans Road (Banks),999,Informal,Informal,999,N,N,,Informal,88,-1.34
NSW,103,Banks,4,Lugarno,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,12,0.41
NSW,103,Banks,4,Lugarno,18213,NGUYEN,Don,2,N,N,LDP,LDP,6,0.2
NSW,103,Banks,4,Lugarno,17949,MORROW,Bruce,3,N,N,LP,Liberal,1605,-4.76
NSW,103,Banks,4,Lugarno,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1039,5.55
NSW,103,Banks,4,Lugarno,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,152,0.93
NSW,103,Banks,4,Lugarno,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),115,1.29
NSW,103,Banks,4,Lugarno,999,Informal,Informal,999,N,N,,Informal,141,-0.67
NSW,103,Banks,174,Milperra,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,20,0.89
NSW,103,Banks,174,Milperra,18213,NGUYEN,Don,2,N,N,LDP,LDP,3,0.13
NSW,103,Banks,174,Milperra,17949,MORROW,Bruce,3,N,N,LP,Liberal,1019,-5.15
NSW,103,Banks,174,Milperra,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1016,7.26
NSW,103,Banks,174,Milperra,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,110,1.64
NSW,103,Banks,174,Milperra,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),72,0.3
NSW,103,Banks,174,Milperra,999,Informal,Informal,999,N,N,,Informal,116,-1.21
NSW,103,Banks,55,Mortdale Central,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,17,0.87
NSW,103,Banks,55,Mortdale Central,18213,NGUYEN,Don,2,N,N,LDP,LDP,2,0.1
NSW,103,Banks,55,Mortdale Central,17949,MORROW,Bruce,3,N,N,LP,Liberal,666,-6.11
NSW,103,Banks,55,Mortdale Central,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1070,8.55
NSW,103,Banks,55,Mortdale Central,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,144,1.5
NSW,103,Banks,55,Mortdale Central,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),46,-0.44
NSW,103,Banks,55,Mortdale Central,999,Informal,Informal,999,N,N,,Informal,135,-1.43
NSW,103,Banks,57,Mortdale Heights,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,4,0.39
NSW,103,Banks,57,Mortdale Heights,18213,NGUYEN,Don,2,N,N,LDP,LDP,2,0.2
NSW,103,Banks,57,Mortdale Heights,17949,MORROW,Bruce,3,N,N,LP,Liberal,442,-3.53
NSW,103,Banks,57,Mortdale Heights,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,495,9.51
NSW,103,Banks,57,Mortdale Heights,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,55,0.73
NSW,103,Banks,57,Mortdale Heights,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),25,-0.66
NSW,103,Banks,57,Mortdale Heights,999,Informal,Informal,999,N,N,,Informal,38,-2.35
NSW,103,Banks,5,Mortdale West,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,17,0.81
NSW,103,Banks,5,Mortdale West,18213,NGUYEN,Don,2,N,N,LDP,LDP,8,0.38
NSW,103,Banks,5,Mortdale West,17949,MORROW,Bruce,3,N,N,LP,Liberal,704,-9.64
NSW,103,Banks,5,Mortdale West,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1162,11.22
NSW,103,Banks,5,Mortdale West,17300,ROBERTS,Susan,5,N,N,GRN,The Greens,125,2.01
NSW,103,Banks,5,Mortdale West,18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),70,0.33
NSW,103,Banks,5,Mortdale West,999,Informal,Informal,999,N,N,,Informal,126,-1.45
NSW,103,Banks,6,Narwee (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,22,1.13
NSW,103,Banks,6,Narwee (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,7,0.36
NSW,103,Banks,6,Narwee (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,621,-9.87
NSW,103,Banks,6,Narwee (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1123,12.29
NSW,103,Banks,6,Narwee (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,97,-0.77
NSW,103,Banks,6,Narwee (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),79,0.6
NSW,103,Banks,6,Narwee (Banks),999,Informal,Informal,999,N,N,,Informal,136,-1.27
NSW,103,Banks,11926,Oatley (Banks),18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,1,0.14
NSW,103,Banks,11926,Oatley (Banks),18213,NGUYEN,Don,2,N,N,LDP,LDP,0,0
NSW,103,Banks,11926,Oatley (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,303,-6.91
NSW,103,Banks,11926,Oatley (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,304,5.31
NSW,103,Banks,11926,Oatley (Banks),17300,ROBERTS,Susan,5,N,N,GRN,The Greens,63,3.41
NSW,103,Banks,11926,Oatley (Banks),18265,CHAVURA,Stephen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),28,0.33
NSW,103,Banks,11926,Oatley (Banks),999,Informal,Informal,999,N,N,,Informal,21,-2.86
NSW,103,Banks,59,Oatley West,18248,NGUYEN,Huu Khoa,1,N,N,CEC,Citizens Electoral Council,9,0.37
NSW,103,Banks,59,Oatley West,18213,NGUYEN,Don,2,N,N,LDP,LDP,4,0.16
NSW,103,Banks,59,Oatley West,17949,MORROW,Bruce,3,N,N,LP,Liberal,1126,-5
