2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:18 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),18003,SOLLY,Peter,1,N,N,GRN,The Greens,78,1.97
SA,179,Adelaide,6648,Adelaide (Adelaide),17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,221,6.64
SA,179,Adelaide,6648,Adelaide (Adelaide),18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,23,1.39
SA,179,Adelaide,6648,Adelaide (Adelaide),17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,11,-0.13
SA,179,Adelaide,6648,Adelaide (Adelaide),17633,MARSH,Tracy,5,N,N,LP,Liberal,135,-7.8
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,N,N,,Informal,14,-2.21
SA,179,Adelaide,6649,Adelaide East,18003,SOLLY,Peter,1,N,N,GRN,The Greens,158,3.98
SA,179,Adelaide,6649,Adelaide East,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,502,2.63
SA,179,Adelaide,6649,Adelaide East,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,18,-1.16
SA,179,Adelaide,6649,Adelaide East,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,12,0.26
SA,179,Adelaide,6649,Adelaide East,17633,MARSH,Tracy,5,N,N,LP,Liberal,475,-4.83
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,N,N,,Informal,18,-1.76
SA,179,Adelaide,6650,Adelaide Hospital,18003,SOLLY,Peter,1,N,N,GRN,The Greens,81,2.65
SA,179,Adelaide,6650,Adelaide Hospital,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,223,4.79
SA,179,Adelaide,6650,Adelaide Hospital,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,9,-0.68
SA,179,Adelaide,6650,Adelaide Hospital,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,8,0.14
SA,179,Adelaide,6650,Adelaide Hospital,17633,MARSH,Tracy,5,N,N,LP,Liberal,154,-6.4
SA,179,Adelaide,6650,Adelaide Hospital,999,Informal,Informal,999,N,N,,Informal,10,-0.2
SA,179,Adelaide,6651,Adelaide South,18003,SOLLY,Peter,1,N,N,GRN,The Greens,316,1.36
SA,179,Adelaide,6651,Adelaide South,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,942,3.79
SA,179,Adelaide,6651,Adelaide South,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,38,-0.09
SA,179,Adelaide,6651,Adelaide South,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,29,0.49
SA,179,Adelaide,6651,Adelaide South,17633,MARSH,Tracy,5,N,N,LP,Liberal,728,-3.94
SA,179,Adelaide,6651,Adelaide South,999,Informal,Informal,999,N,N,,Informal,37,-1.52
SA,179,Adelaide,6652,Adelaide West,18003,SOLLY,Peter,1,N,N,GRN,The Greens,65,2.8
SA,179,Adelaide,6652,Adelaide West,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,232,7.14
SA,179,Adelaide,6652,Adelaide West,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,4,0.32
SA,179,Adelaide,6652,Adelaide West,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,7,1.3
SA,179,Adelaide,6652,Adelaide West,17633,MARSH,Tracy,5,N,N,LP,Liberal,90,-9.73
SA,179,Adelaide,6652,Adelaide West,999,Informal,Informal,999,N,N,,Informal,11,-2.11
SA,179,Adelaide,7011,Black Forest East,18003,SOLLY,Peter,1,N,N,GRN,The Greens,189,1.94
SA,179,Adelaide,7011,Black Forest East,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,947,8
SA,179,Adelaide,7011,Black Forest East,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,26,-0.9
SA,179,Adelaide,7011,Black Forest East,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,36,0.22
SA,179,Adelaide,7011,Black Forest East,17633,MARSH,Tracy,5,N,N,LP,Liberal,770,-8.4
SA,179,Adelaide,7011,Black Forest East,999,Informal,Informal,999,N,N,,Informal,58,-0.69
SA,179,Adelaide,7008,Black Forest West,18003,SOLLY,Peter,1,N,N,GRN,The Greens,58,0.6
SA,179,Adelaide,7008,Black Forest West,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,266,8.31
SA,179,Adelaide,7008,Black Forest West,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,9,-0.22
SA,179,Adelaide,7008,Black Forest West,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,16,0.8
SA,179,Adelaide,7008,Black Forest West,17633,MARSH,Tracy,5,N,N,LP,Liberal,185,-8.62
SA,179,Adelaide,7008,Black Forest West,999,Informal,Informal,999,N,N,,Informal,16,-1.03
SA,179,Adelaide,6653,Blair Athol,18003,SOLLY,Peter,1,N,N,GRN,The Greens,45,2.19
SA,179,Adelaide,6653,Blair Athol,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,306,8.31
SA,179,Adelaide,6653,Blair Athol,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,12,0.58
SA,179,Adelaide,6653,Blair Athol,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,24,-0.16
SA,179,Adelaide,6653,Blair Athol,17633,MARSH,Tracy,5,N,N,LP,Liberal,208,-9.99
SA,179,Adelaide,6653,Blair Athol,999,Informal,Informal,999,N,N,,Informal,27,-2.84
SA,179,Adelaide,6654,Blair Athol North,18003,SOLLY,Peter,1,N,N,GRN,The Greens,63,2.73
SA,179,Adelaide,6654,Blair Athol North,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,710,12.05
SA,179,Adelaide,6654,Blair Athol North,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,19,0.05
SA,179,Adelaide,6654,Blair Athol North,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,31,-0.91
SA,179,Adelaide,6654,Blair Athol North,17633,MARSH,Tracy,5,N,N,LP,Liberal,226,-12.75
SA,179,Adelaide,6654,Blair Athol North,999,Informal,Informal,999,N,N,,Informal,71,-1.13
SA,179,Adelaide,6655,Broadview,18003,SOLLY,Peter,1,N,N,GRN,The Greens,134,1.46
SA,179,Adelaide,6655,Broadview,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,866,9.58
SA,179,Adelaide,6655,Broadview,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,28,-0.02
SA,179,Adelaide,6655,Broadview,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,42,-0.98
SA,179,Adelaide,6655,Broadview,17633,MARSH,Tracy,5,N,N,LP,Liberal,759,-9.28
SA,179,Adelaide,6655,Broadview,999,Informal,Informal,999,N,N,,Informal,47,-1.36
SA,179,Adelaide,7049,Brompton,18003,SOLLY,Peter,1,N,N,GRN,The Greens,181,1.11
SA,179,Adelaide,7049,Brompton,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,805,8.52
SA,179,Adelaide,7049,Brompton,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,22,0.16
SA,179,Adelaide,7049,Brompton,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,27,0.53
SA,179,Adelaide,7049,Brompton,17633,MARSH,Tracy,5,N,N,LP,Liberal,337,-8.34
SA,179,Adelaide,7049,Brompton,999,Informal,Informal,999,N,N,,Informal,65,0.51
SA,179,Adelaide,7010,Clarence Park,18003,SOLLY,Peter,1,N,N,GRN,The Greens,102,2.09
SA,179,Adelaide,7010,Clarence Park,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,442,4.7
SA,179,Adelaide,7010,Clarence Park,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,15,0.31
SA,179,Adelaide,7010,Clarence Park,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,14,0.21
SA,179,Adelaide,7010,Clarence Park,17633,MARSH,Tracy,5,N,N,LP,Liberal,478,-6.84
SA,179,Adelaide,7010,Clarence Park,999,Informal,Informal,999,N,N,,Informal,30,-0.98
SA,179,Adelaide,6664,College Park,18003,SOLLY,Peter,1,N,N,GRN,The Greens,140,1.71
SA,179,Adelaide,6664,College Park,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,496,1.49
SA,179,Adelaide,6664,College Park,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,21,-0.41
SA,179,Adelaide,6664,College Park,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,19,-0.12
SA,179,Adelaide,6664,College Park,17633,MARSH,Tracy,5,N,N,LP,Liberal,648,-1.8
SA,179,Adelaide,6664,College Park,999,Informal,Informal,999,N,N,,Informal,36,-0.71
SA,179,Adelaide,36447,Croydon (Adelaide),18003,SOLLY,Peter,1,N,N,GRN,The Greens,19,1.25
SA,179,Adelaide,36447,Croydon (Adelaide),17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,207,4.2
SA,179,Adelaide,36447,Croydon (Adelaide),18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,5,-0.09
SA,179,Adelaide,36447,Croydon (Adelaide),17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,16,4.16
SA,179,Adelaide,36447,Croydon (Adelaide),17633,MARSH,Tracy,5,N,N,LP,Liberal,86,-9.52
SA,179,Adelaide,36447,Croydon (Adelaide),999,Informal,Informal,999,N,N,,Informal,15,-2.51
SA,179,Adelaide,6657,Croydon Park,18003,SOLLY,Peter,1,N,N,GRN,The Greens,90,2.67
SA,179,Adelaide,6657,Croydon Park,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,1124,7.73
SA,179,Adelaide,6657,Croydon Park,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,13,-0.15
SA,179,Adelaide,6657,Croydon Park,17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,46,0.23
SA,179,Adelaide,6657,Croydon Park,17633,MARSH,Tracy,5,N,N,LP,Liberal,363,-9.3
SA,179,Adelaide,6657,Croydon Park,999,Informal,Informal,999,N,N,,Informal,96,-2.23
SA,179,Adelaide,12086,Croydon Park West (Adelaide),18003,SOLLY,Peter,1,N,N,GRN,The Greens,17,1.81
SA,179,Adelaide,12086,Croydon Park West (Adelaide),17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,237,3.67
SA,179,Adelaide,12086,Croydon Park West (Adelaide),18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,3,0.05
SA,179,Adelaide,12086,Croydon Park West (Adelaide),17610,SLAPE,Dennis,4,N,N,FFP,Family First Party,19,1.33
SA,179,Adelaide,12086,Croydon Park West (Adelaide),17633,MARSH,Tracy,5,N,N,LP,Liberal,93,-6.61
SA,179,Adelaide,12086,Croydon Park West (Adelaide),999,Informal,Informal,999,N,N,,Informal,34,1.35
SA,179,Adelaide,6887,Dulwich,18003,SOLLY,Peter,1,N,N,GRN,The Greens,123,1.8
SA,179,Adelaide,6887,Dulwich,17694,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,491,4.7
SA,179,Adelaide,6887,Dulwich,18009,BIAR,Sandy,3,N,N,DEM,Australian Democrats,18,0.33
