2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:13 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,17531,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,634,-3.87
NT,306,Lingiari,8701,Alice Springs,18471,WRIGHT,Wayne,2,N,N,IND,Independent,20,1.24
NT,306,Lingiari,8701,Alice Springs,17144,RYAN,Maurie Japarta,3,N,N,IND,Independent,49,3.03
NT,306,Lingiari,8701,Alice Springs,17171,GILES,Adam,4,N,N,CLP,C.L.P.,717,1.6
NT,306,Lingiari,8701,Alice Springs,17288,YOUNG,Emma,5,N,N,GRN,The Greens,199,2.52
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,41,-0.52
NT,306,Lingiari,8702,Alyangula,17531,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,208,4.55
NT,306,Lingiari,8702,Alyangula,18471,WRIGHT,Wayne,2,N,N,IND,Independent,8,2.35
NT,306,Lingiari,8702,Alyangula,17144,RYAN,Maurie Japarta,3,N,N,IND,Independent,5,1.47
NT,306,Lingiari,8702,Alyangula,17171,GILES,Adam,4,N,N,CLP,C.L.P.,92,-3.76
NT,306,Lingiari,8702,Alyangula,17288,YOUNG,Emma,5,N,N,GRN,The Greens,27,1.49
NT,306,Lingiari,8702,Alyangula,999,Informal,Informal,999,N,N,,Informal,18,-1.35
NT,306,Lingiari,8704,Batchelor,17531,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,127,1.17
NT,306,Lingiari,8704,Batchelor,18471,WRIGHT,Wayne,2,N,N,IND,Independent,3,1.03
NT,306,Lingiari,8704,Batchelor,17144,RYAN,Maurie Japarta,3,N,N,IND,Independent,10,3.42
NT,306,Lingiari,8704,Batchelor,17171,GILES,Adam,4,N,N,CLP,C.L.P.,116,-4.64
NT,306,Lingiari,8704,Batchelor,17288,YOUNG,Emma,5,N,N,GRN,The Greens,36,3.11
NT,306,Lingiari,8704,Batchelor,999,Informal,Informal,999,N,N,,Informal,5,-1.94
NT,306,Lingiari,34264,Bees Creek,17531,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,357,-0.61
NT,306,Lingiari,34264,Bees Creek,18471,WRIGHT,Wayne,2,N,N,IND,Independent,13,1.23
NT,306,Lingiari,34264,Bees Creek,17144,RYAN,Maurie Japarta,3,N,N,IND,Independent,7,0.66
NT,306,Lingiari,34264,Bees Creek,17171,GILES,Adam,4,N,N,CLP,C.L.P.,585,1.08
NT,306,Lingiari,34264,Bees Creek,17288,YOUNG,Emma,5,N,N,GRN,The Greens,94,2.16
NT,306,Lingiari,34264,Bees Creek,999,Informal,Informal,999,N,N,,Informal,23,-1.62
NT,306,Lingiari,8706,Berry Springs,17531,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,303,4.29
NT,306,Lingiari,8706,Berry Springs,18471,WRIGHT,Wayne,2,N,N,IND,Independent,6,0.82
NT,306,Lingiari,8706,Berry Springs,17144,RYAN,Maurie Japarta,3,N,N,IND,Independent,16,2.19
NT,306,Lingiari,8706,Berry Springs,17171,GILES,Adam,4,N,N,CLP,C.L.P.,318,-4.83
NT,306,Lingiari,8706,Berry Springs,17288,YOUNG,Emma,5,N,N,GRN,The Greens,89,3.71
