2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:30 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,31692,Amberley,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,378,-3.23
QLD,304,Blair,31692,Amberley,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,288,9.9
QLD,304,Blair,31692,Amberley,18066,LUXTON,Peter,3,N,N,GRN,The Greens,18,0.15
QLD,304,Blair,31692,Amberley,17888,SMITH,Bevan,4,N,N,FFP,Family First,9,-2.08
QLD,304,Blair,31692,Amberley,18221,WHITE,David,5,N,N,DEM,Democrats,4,-0.56
QLD,304,Blair,31692,Amberley,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,0,-0.16
QLD,304,Blair,31692,Amberley,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,0,0
QLD,304,Blair,31692,Amberley,18476,CHORLEY,Dale,8,N,N,IND,Independent,11,1.55
QLD,304,Blair,31692,Amberley,999,Informal,Informal,999,N,N,,Informal,21,-2.26
QLD,304,Blair,6431,Aratula,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,278,-8.48
QLD,304,Blair,6431,Aratula,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,154,12
QLD,304,Blair,6431,Aratula,18066,LUXTON,Peter,3,N,N,GRN,The Greens,14,0.56
QLD,304,Blair,6431,Aratula,17888,SMITH,Bevan,4,N,N,FFP,Family First,8,-0.23
QLD,304,Blair,6431,Aratula,18221,WHITE,David,5,N,N,DEM,Democrats,6,0.56
QLD,304,Blair,6431,Aratula,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,0,-0.24
QLD,304,Blair,6431,Aratula,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,0,0
QLD,304,Blair,6431,Aratula,18476,CHORLEY,Dale,8,N,N,IND,Independent,10,2.13
QLD,304,Blair,6431,Aratula,999,Informal,Informal,999,N,N,,Informal,15,-1.3
QLD,304,Blair,6344,Blackstone,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,193,-2.64
QLD,304,Blair,6344,Blackstone,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,389,9.12
QLD,304,Blair,6344,Blackstone,18066,LUXTON,Peter,3,N,N,GRN,The Greens,28,0.87
QLD,304,Blair,6344,Blackstone,17888,SMITH,Bevan,4,N,N,FFP,Family First,9,-1.01
QLD,304,Blair,6344,Blackstone,18221,WHITE,David,5,N,N,DEM,Democrats,4,-0.31
QLD,304,Blair,6344,Blackstone,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,1,-0.4
QLD,304,Blair,6344,Blackstone,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,0,0
QLD,304,Blair,6344,Blackstone,18476,CHORLEY,Dale,8,N,N,IND,Independent,6,0.95
QLD,304,Blair,6344,Blackstone,999,Informal,Informal,999,N,N,,Informal,13,-4.32
QLD,304,Blair,6345,Blair School,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,688,-5.91
QLD,304,Blair,6345,Blair School,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,1046,11.71
QLD,304,Blair,6345,Blair School,18066,LUXTON,Peter,3,N,N,GRN,The Greens,117,-0.07
QLD,304,Blair,6345,Blair School,17888,SMITH,Bevan,4,N,N,FFP,Family First,27,-2.39
QLD,304,Blair,6345,Blair School,18221,WHITE,David,5,N,N,DEM,Democrats,21,-0.69
QLD,304,Blair,6345,Blair School,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,5,-0.24
QLD,304,Blair,6345,Blair School,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,5,0.26
QLD,304,Blair,6345,Blair School,18476,CHORLEY,Dale,8,N,N,IND,Independent,25,1.29
QLD,304,Blair,6345,Blair School,999,Informal,Informal,999,N,N,,Informal,89,0.24
QLD,304,Blair,5602,Blenheim,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,192,-1.72
QLD,304,Blair,5602,Blenheim,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,132,11.37
QLD,304,Blair,5602,Blenheim,18066,LUXTON,Peter,3,N,N,GRN,The Greens,9,0.36
QLD,304,Blair,5602,Blenheim,17888,SMITH,Bevan,4,N,N,FFP,Family First,6,-1.12
QLD,304,Blair,5602,Blenheim,18221,WHITE,David,5,N,N,DEM,Democrats,4,0.82
QLD,304,Blair,5602,Blenheim,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,0,0
QLD,304,Blair,5602,Blenheim,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,0,0
QLD,304,Blair,5602,Blenheim,18476,CHORLEY,Dale,8,N,N,IND,Independent,10,2.83
QLD,304,Blair,5602,Blenheim,999,Informal,Informal,999,N,N,,Informal,11,-3.71
QLD,304,Blair,6432,Boonah,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,1149,-10.58
QLD,304,Blair,6432,Boonah,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,697,11.05
QLD,304,Blair,6432,Boonah,18066,LUXTON,Peter,3,N,N,GRN,The Greens,137,3.55
QLD,304,Blair,6432,Boonah,17888,SMITH,Bevan,4,N,N,FFP,Family First,39,-1.09
QLD,304,Blair,6432,Boonah,18221,WHITE,David,5,N,N,DEM,Democrats,17,-0.43
QLD,304,Blair,6432,Boonah,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,2,-0.15
QLD,304,Blair,6432,Boonah,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,4,0.19
QLD,304,Blair,6432,Boonah,18476,CHORLEY,Dale,8,N,N,IND,Independent,43,2.06
QLD,304,Blair,6432,Boonah,999,Informal,Informal,999,N,N,,Informal,71,-0.33
QLD,304,Blair,6347,Brassall,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,787,-6.7
QLD,304,Blair,6347,Brassall,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,961,12.63
QLD,304,Blair,6347,Brassall,18066,LUXTON,Peter,3,N,N,GRN,The Greens,40,-0.13
QLD,304,Blair,6347,Brassall,17888,SMITH,Bevan,4,N,N,FFP,Family First,22,-2.26
QLD,304,Blair,6347,Brassall,18221,WHITE,David,5,N,N,DEM,Democrats,11,-0.78
QLD,304,Blair,6347,Brassall,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,0,-0.75
QLD,304,Blair,6347,Brassall,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,3,0.16
QLD,304,Blair,6347,Brassall,18476,CHORLEY,Dale,8,N,N,IND,Independent,19,1.03
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,69,-0.15
QLD,304,Blair,32553,Brisbane City (Blair),17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,27,4.89
QLD,304,Blair,32553,Brisbane City (Blair),17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,35,8.44
QLD,304,Blair,32553,Brisbane City (Blair),18066,LUXTON,Peter,3,N,N,GRN,The Greens,9,1.22
QLD,304,Blair,32553,Brisbane City (Blair),17888,SMITH,Bevan,4,N,N,FFP,Family First,1,-4.8
QLD,304,Blair,32553,Brisbane City (Blair),18221,WHITE,David,5,N,N,DEM,Democrats,1,-1.1
QLD,304,Blair,32553,Brisbane City (Blair),17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,0,-1.23
QLD,304,Blair,32553,Brisbane City (Blair),18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,0,0
QLD,304,Blair,32553,Brisbane City (Blair),18476,CHORLEY,Dale,8,N,N,IND,Independent,0,0
QLD,304,Blair,32553,Brisbane City (Blair),999,Informal,Informal,999,N,N,,Informal,0,-4.71
QLD,304,Blair,6349,Bundamba,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,451,-2.09
QLD,304,Blair,6349,Bundamba,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,869,8.45
QLD,304,Blair,6349,Bundamba,18066,LUXTON,Peter,3,N,N,GRN,The Greens,72,1.65
QLD,304,Blair,6349,Bundamba,17888,SMITH,Bevan,4,N,N,FFP,Family First,28,-1.59
QLD,304,Blair,6349,Bundamba,18221,WHITE,David,5,N,N,DEM,Democrats,10,-0.56
QLD,304,Blair,6349,Bundamba,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,2,-0.81
QLD,304,Blair,6349,Bundamba,18188,SWANBOROUGH,Doug,7,N,N,LDP,LDP,1,0.07
QLD,304,Blair,6349,Bundamba,18476,CHORLEY,Dale,8,N,N,IND,Independent,21,1.44
QLD,304,Blair,6349,Bundamba,999,Informal,Informal,999,N,N,,Informal,69,-2.75
QLD,304,Blair,6350,Bundamba School,17669,THOMPSON,Cameron Paul,1,N,Y,LP,Liberal,559,-0.03
QLD,304,Blair,6350,Bundamba School,17504,NEUMANN,Shayne Kenneth,2,Y,N,ALP,Australian Labor Party,1273,10.71
QLD,304,Blair,6350,Bundamba School,18066,LUXTON,Peter,3,N,N,GRN,The Greens,82,-0.07
QLD,304,Blair,6350,Bundamba School,17888,SMITH,Bevan,4,N,N,FFP,Family First,49,-2.68
QLD,304,Blair,6350,Bundamba School,18221,WHITE,David,5,N,N,DEM,Democrats,26,0.27
QLD,304,Blair,6350,Bundamba School,17560,THIES,Robert,6,N,N,CEC,Citizens Electoral Council,1,-1.4
