2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:15 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8289,Blessington Upper,18535,WIENER,Sven,1,N,N,IND,Independent,2,2.82
TAS,192,Bass,8289,Blessington Upper,17336,WATTS,Adrian Ronald,2,N,N,CEC,Citizens Electoral Council,0,-1.32
TAS,192,Bass,8289,Blessington Upper,17495,CAMPBELL,Jodie,3,Y,N,ALP,Australian Labor Party,17,-14.22
TAS,192,Bass,8289,Blessington Upper,17601,MILLEN,Tom,4,N,N,GRN,The Greens,18,13.51
TAS,192,Bass,8289,Blessington Upper,17598,de HAAN,Ixa,5,N,N,FFP,Family First,2,0.19
TAS,192,Bass,8289,Blessington Upper,17493,BENNETT,Shem,6,N,N,LDP,LDP,0,0
TAS,192,Bass,8289,Blessington Upper,17439,FERGUSON,Michael,7,N,Y,LP,Liberal,32,-0.98
TAS,192,Bass,8289,Blessington Upper,999,Informal,Informal,999,N,N,,Informal,6,0.47
TAS,192,Bass,8290,Branxholm,18535,WIENER,Sven,1,N,N,IND,Independent,2,0.94
TAS,192,Bass,8290,Branxholm,17336,WATTS,Adrian Ronald,2,N,N,CEC,Citizens Electoral Council,0,-0.89
TAS,192,Bass,8290,Branxholm,17495,CAMPBELL,Jodie,3,Y,N,ALP,Australian Labor Party,90,-0.42
TAS,192,Bass,8290,Branxholm,17601,MILLEN,Tom,4,N,N,GRN,The Greens,23,5.47
TAS,192,Bass,8290,Branxholm,17598,de HAAN,Ixa,5,N,N,FFP,Family First,7,1.51
TAS,192,Bass,8290,Branxholm,17493,BENNETT,Shem,6,N,N,LDP,LDP,2,0.94
TAS,192,Bass,8290,Branxholm,17439,FERGUSON,Michael,7,N,Y,LP,Liberal,89,-7.11
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,7,-1.48
TAS,192,Bass,8291,Bridport,18535,WIENER,Sven,1,N,N,IND,Independent,13,1.13
TAS,192,Bass,8291,Bridport,17336,WATTS,Adrian Ronald,2,N,N,CEC,Citizens Electoral Council,2,-0.66
TAS,192,Bass,8291,Bridport,17495,CAMPBELL,Jodie,3,Y,N,ALP,Australian Labor Party,327,-4.85
TAS,192,Bass,8291,Bridport,17601,MILLEN,Tom,4,N,N,GRN,The Greens,144,6.41
TAS,192,Bass,8291,Bridport,17598,de HAAN,Ixa,5,N,N,FFP,Family First,8,-0.23
TAS,192,Bass,8291,Bridport,17493,BENNETT,Shem,6,N,N,LDP,LDP,5,0.43
TAS,192,Bass,8291,Bridport,17439,FERGUSON,Michael,7,N,Y,LP,Liberal,655,-1.81
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,50,-0.53
