2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:39 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,17950,AZA,Rachal,1,N,N,DEM,Australian Democrats,48,0.42
VIC,197,Aston,2942,Bayswater,17580,MITCHELL,Doug,2,N,N,CEC,Citizens Electoral Council,10,-0.31
VIC,197,Aston,2942,Bayswater,17236,PEARCE,Chris,3,Y,Y,LP,Liberal,1055,-9.22
VIC,197,Aston,2942,Bayswater,18028,RALEIGH,Gerry,4,N,N,ALP,Australian Labor Party,1068,8.74
VIC,197,Aston,2942,Bayswater,17640,LAKE,Peter,5,N,N,FFP,Family First,135,1.62
VIC,197,Aston,2942,Bayswater,18373,PEPPER,Adam,6,N,N,GRN,Australian Greens,155,-0.6
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,87,-0.58
VIC,197,Aston,2944,Bayswater South,17950,AZA,Rachal,1,N,N,DEM,Australian Democrats,13,0.12
VIC,197,Aston,2944,Bayswater South,17580,MITCHELL,Doug,2,N,N,CEC,Citizens Electoral Council,5,-0.14
VIC,197,Aston,2944,Bayswater South,17236,PEARCE,Chris,3,Y,Y,LP,Liberal,460,-7.2
VIC,197,Aston,2944,Bayswater South,18028,RALEIGH,Gerry,4,N,N,ALP,Australian Labor Party,428,7.17
VIC,197,Aston,2944,Bayswater South,17640,LAKE,Peter,5,N,N,FFP,Family First,31,0.56
VIC,197,Aston,2944,Bayswater South,18373,PEPPER,Adam,6,N,N,GRN,Australian Greens,54,0.59
VIC,197,Aston,2944,Bayswater South,999,Informal,Informal,999,N,N,,Informal,29,-1.79
VIC,197,Aston,2945,Bayswater West,17950,AZA,Rachal,1,N,N,DEM,Australian Democrats,27,0.52
VIC,197,Aston,2945,Bayswater West,17580,MITCHELL,Doug,2,N,N,CEC,Citizens Electoral Council,3,-0.71
VIC,197,Aston,2945,Bayswater West,17236,PEARCE,Chris,3,Y,Y,LP,Liberal,961,-6.98
VIC,197,Aston,2945,Bayswater West,18028,RALEIGH,Gerry,4,N,N,ALP,Australian Labor Party,732,6.98
VIC,197,Aston,2945,Bayswater West,17640,LAKE,Peter,5,N,N,FFP,Family First,60,0.24
VIC,197,Aston,2945,Bayswater West,18373,PEPPER,Adam,6,N,N,GRN,Australian Greens,84,0.48
VIC,197,Aston,2945,Bayswater West,999,Informal,Informal,999,N,N,,Informal,64,-1.36
VIC,197,Aston,2947,Blackwood Park,17950,AZA,Rachal,1,N,N,DEM,Australian Democrats,23,0.19
VIC,197,Aston,2947,Blackwood Park,17580,MITCHELL,Doug,2,N,N,CEC,Citizens Electoral Council,3,-0.23
VIC,197,Aston,2947,Blackwood Park,17236,PEARCE,Chris,3,Y,Y,LP,Liberal,701,-8.72
VIC,197,Aston,2947,Blackwood Park,18028,RALEIGH,Gerry,4,N,N,ALP,Australian Labor Party,570,6.61
VIC,197,Aston,2947,Blackwood Park,17640,LAKE,Peter,5,N,N,FFP,Family First,53,1.92
VIC,197,Aston,2947,Blackwood Park,18373,PEPPER,Adam,6,N,N,GRN,Australian Greens,84,0.75
VIC,197,Aston,2947,Blackwood Park,999,Informal,Informal,999,N,N,,Informal,46,-2.29
VIC,197,Aston,3564,Charlesworth Park,17950,AZA,Rachal,1,N,N,DEM,Australian Democrats,48,0.21
VIC,197,Aston,3564,Charlesworth Park,17580,MITCHELL,Doug,2,N,N,CEC,Citizens Electoral Council,4,-0.35
VIC,197,Aston,3564,Charlesworth Park,17236,PEARCE,Chris,3,Y,Y,LP,Liberal,1500,-8.71
VIC,197,Aston,3564,Charlesworth Park,18028,RALEIGH,Gerry,4,N,N,ALP,Australian Labor Party,1262,9.77
VIC,197,Aston,3564,Charlesworth Park,17640,LAKE,Peter,5,N,N,FFP,Family First,76,0.76
VIC,197,Aston,3564,Charlesworth Park,18373,PEPPER,Adam,6,N,N,GRN,Australian Greens,160,-1.17
VIC,197,Aston,3564,Charlesworth Park,999,Informal,Informal,999,N,N,,Informal,110,-0.53
