2007 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:23 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,17187,TREMAIN,Brent,1,N,N,CDP,Christian Democratic Party,131,0.86
WA,235,Brand,7472,Baldivis,18138,NEWHOUSE,Andrew,2,N,N,FFP,Family First,43,1.34
WA,235,Brand,7472,Baldivis,17370,TOTTEN,Rob,3,N,N,CEC,Citizens Electoral Council,5,-1.22
WA,235,Brand,7472,Baldivis,17789,GROSSMITH,Huw,4,N,N,LDP,LDP,7,0.22
WA,235,Brand,7472,Baldivis,17762,SCOTT,Robin,5,N,N,ON,One Nation WA,30,-0.68
WA,235,Brand,7472,Baldivis,17456,GRAY,Gary,6,Y,N,ALP,Australian Labor Party,1123,0.74
WA,235,Brand,7472,Baldivis,17215,EDMAN,Phil,7,N,N,LP,Liberal,1548,-4.57
WA,235,Brand,7472,Baldivis,17389,JECKS,Dawn,8,N,N,GRN,The Greens,330,5.33
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,97,-2.24
WA,235,Brand,38449,Bertram,17187,TREMAIN,Brent,1,N,N,CDP,Christian Democratic Party,24,0.22
WA,235,Brand,38449,Bertram,18138,NEWHOUSE,Andrew,2,N,N,FFP,Family First,32,3.11
WA,235,Brand,38449,Bertram,17370,TOTTEN,Rob,3,N,N,CEC,Citizens Electoral Council,4,-0.93
WA,235,Brand,38449,Bertram,17789,GROSSMITH,Huw,4,N,N,LDP,LDP,4,0.39
WA,235,Brand,38449,Bertram,17762,SCOTT,Robin,5,N,N,ON,One Nation WA,13,-1.9
WA,235,Brand,38449,Bertram,17456,GRAY,Gary,6,Y,N,ALP,Australian Labor Party,501,-4.94
WA,235,Brand,38449,Bertram,17215,EDMAN,Phil,7,N,N,LP,Liberal,363,3.73
WA,235,Brand,38449,Bertram,17389,JECKS,Dawn,8,N,N,GRN,The Greens,87,2.67
WA,235,Brand,38449,Bertram,999,Informal,Informal,999,N,N,,Informal,33,-3.75
WA,235,Brand,7478,Calista,17187,TREMAIN,Brent,1,N,N,CDP,Christian Democratic Party,84,0.25
WA,235,Brand,7478,Calista,18138,NEWHOUSE,Andrew,2,N,N,FFP,Family First,62,2.29
WA,235,Brand,7478,Calista,17370,TOTTEN,Rob,3,N,N,CEC,Citizens Electoral Council,15,-0.88
WA,235,Brand,7478,Calista,17789,GROSSMITH,Huw,4,N,N,LDP,LDP,16,0.59
WA,235,Brand,7478,Calista,17762,SCOTT,Robin,5,N,N,ON,One Nation WA,47,-1.19
