2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:24 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,20863,JONES,Giulia,1,N,N,LIB,Liberal,713,-3.1
ACT,101,Canberra,8829,Barton,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,538,7.93
ACT,101,Canberra,8829,Barton,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,939,-4.22
ACT,101,Canberra,8829,Barton,999,Informal,Informal,999,N,N,,Informal,79,2.44
ACT,101,Canberra,11877,Bonython,20863,JONES,Giulia,1,N,N,LIB,Liberal,745,1.86
ACT,101,Canberra,11877,Bonython,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,315,4.14
ACT,101,Canberra,11877,Bonython,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,983,-4.84
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,119,2.64
ACT,101,Canberra,11452,Calwell,20863,JONES,Giulia,1,N,N,LIB,Liberal,931,-1.61
ACT,101,Canberra,11452,Calwell,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,440,6.9
ACT,101,Canberra,11452,Calwell,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,1220,-4.65
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,175,4.09
ACT,101,Canberra,8794,Canberra Hospital,20863,JONES,Giulia,1,N,N,LIB,Liberal,291,1.69
ACT,101,Canberra,8794,Canberra Hospital,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,182,8.42
ACT,101,Canberra,8794,Canberra Hospital,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,370,-8.9
ACT,101,Canberra,8794,Canberra Hospital,999,Informal,Informal,999,N,N,,Informal,24,0.4
ACT,101,Canberra,8761,Chapman,20863,JONES,Giulia,1,N,N,LIB,Liberal,1068,2.09
ACT,101,Canberra,8761,Chapman,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,539,5.37
ACT,101,Canberra,8761,Chapman,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,1237,-6.72
ACT,101,Canberra,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,117,2.2
ACT,101,Canberra,8763,Chisholm,20863,JONES,Giulia,1,N,N,LIB,Liberal,710,4.98
ACT,101,Canberra,8763,Chisholm,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,274,5.82
ACT,101,Canberra,8763,Chisholm,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,831,-9.81
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,115,1.71
ACT,101,Canberra,58708,City CANBERRA PPVC,20863,JONES,Giulia,1,N,N,LIB,Liberal,637,-1.68
ACT,101,Canberra,58708,City CANBERRA PPVC,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,460,9.78
ACT,101,Canberra,58708,City CANBERRA PPVC,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,863,-7.29
ACT,101,Canberra,58708,City CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,84,2.42
ACT,101,Canberra,31298,Conder,20863,JONES,Giulia,1,N,N,LIB,Liberal,1327,0.33
ACT,101,Canberra,31298,Conder,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,522,5.67
ACT,101,Canberra,31298,Conder,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,1636,-4.89
ACT,101,Canberra,31298,Conder,999,Informal,Informal,999,N,N,,Informal,233,3.55
ACT,101,Canberra,8764,Curtin,20863,JONES,Giulia,1,N,N,LIB,Liberal,981,0.31
ACT,101,Canberra,8764,Curtin,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,653,5.81
ACT,101,Canberra,8764,Curtin,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,1309,-5.42
ACT,101,Canberra,8764,Curtin,999,Informal,Informal,999,N,N,,Informal,114,1.62
ACT,101,Canberra,8766,Deakin,20863,JONES,Giulia,1,N,N,LIB,Liberal,858,2.26
ACT,101,Canberra,8766,Deakin,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,275,4.94
ACT,101,Canberra,8766,Deakin,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,565,-6.64
ACT,101,Canberra,8766,Deakin,999,Informal,Informal,999,N,N,,Informal,47,1.05
ACT,101,Canberra,30092,Divisional Office (PREPOLL),20863,JONES,Giulia,1,N,N,LIB,Liberal,605,2.86
