2010 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:23 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,20863,JONES,Giulia,1,N,N,LP,Liberal,37205,475,120,2118,1814,41732,2.08
ACT,101,Canberra,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,18142,483,67,1418,706,20816,5.61
ACT,101,Canberra,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,44736,609,127,2415,1721,49608,-6.87
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,5275,121,15,223,121,5755,2.62
ACT,102,Fraser,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,31706,496,131,2218,1597,36148,1.18
ACT,102,Fraser,21307,HEDGES-PHILLIPS,Quintin,2,N,N,SPA,Secular Party of Australia,1904,38,11,125,97,2175,1.95
ACT,102,Fraser,21210,LEIGH,Andrew,3,Y,N,ALP,Australian Labor Party,45876,654,174,2674,1714,51092,-5.29
ACT,102,Fraser,20860,ESGUERRA,Indra,4,N,N,GRN,The Greens,19435,416,79,1526,670,22126,6.46
ACT,102,Fraser,999,Informal,Informal,999,N,N,,Informal,4707,104,32,202,126,5171,2.07
NSW,103,Banks,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,6612,697,40,408,305,8062,3.21
NSW,103,Banks,20888,PARSONS,Michael,2,N,N,ON,One Nation,1245,156,3,96,95,1595,1.9
NSW,103,Banks,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,30816,1872,139,1234,1973,36034,-10.76
NSW,103,Banks,21561,DELEZIO,Ron,4,N,N,LP,Liberal,32661,1840,161,1183,2333,38178,10.48
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,6829,468,43,148,177,7665,2.61
NSW,104,Barton,21158,McCLELLAND,Robert,1,Y,Y,ALP,Labor,32538,1693,169,1766,1983,38149,-8.8
NSW,104,Barton,21619,FRANCIS,Simone,2,N,N,GRN,The Greens,6912,707,51,547,319,8536,2.61
NSW,104,Barton,21616,La MELA,John,3,N,N,LP,Liberal,27084,1535,130,1303,1946,31998,9.76
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,7702,380,58,245,187,8572,3.25
NSW,105,Bennelong,20839,WATERSON,Victor,1,N,N,ON,One Nation,558,74,0,50,43,725,0.55
NSW,105,Bennelong,21113,WORSLEY,Julie,2,N,N,CDP,Christian Democratic Party (Fred Nile Group),1552,91,6,95,80,1824,0.84
NSW,105,Bennelong,20879,RAYE,Sue,3,N,N,ASXP,Australian Sex Party,889,100,4,63,49,1105,1.29
NSW,105,Bennelong,21939,MOCKLER,Mary Louise,4,N,N,CA,Carers Alliance,380,33,1,23,41,478,0.56
NSW,105,Bennelong,21685,CHAVURA,Stephen,5,N,N,FFP,Family First,432,48,3,35,52,570,0.34
NSW,105,Bennelong,21270,POUNDER,Bill,6,N,N,TCS,The Climate Sceptics,212,22,2,18,21,275,0.32
NSW,105,Bennelong,20943,PETERS,Lindsay,7,N,N,GRN,The Greens,5613,506,16,367,306,6808,2.42
NSW,105,Bennelong,21132,McKEW,Maxine,8,N,Y,ALP,Labor,26820,1364,101,1409,2109,31803,-8.21
NSW,105,Bennelong,21807,LEVINE,Martin,9,N,N,BAP,Building Australia,137,11,0,13,9,170,0.2
NSW,105,Bennelong,21648,ALEXANDER,John,10,Y,N,LP,Liberal,35187,1526,99,1536,3234,41582,3.04
NSW,105,Bennelong,21712,PETERSEN,Terje,11,N,N,LDP,Liberal Democrats (LDP),228,36,3,46,31,344,0.3
NSW,105,Bennelong,999,Informal,Informal,999,N,N,,Informal,6027,347,25,198,223,6820,1.15
NSW,106,Berowra,21101,EVANS,Steve,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1950,164,6,111,119,2350,0.21
NSW,106,Berowra,21587,RUDDOCK,Philip,2,Y,Y,LP,Liberal,43782,2839,96,2052,2647,51416,5.44
NSW,106,Berowra,21741,WRIGHT-TURNER,Toni,3,N,N,GRN,The Greens,8075,798,24,503,362,9762,2.57
NSW,106,Berowra,21923,STOVE,Michael,4,N,N,ALP,Labor,16398,1010,53,794,646,18901,-7.88
NSW,106,Berowra,21629,ELLIS,Christian,5,N,N,FFP,Family First,677,77,3,45,38,840,-0.28
NSW,106,Berowra,17744,GALLAGHER,Mick,6,N,N,IND,Independent,1990,215,4,144,102,2455,1.27
NSW,106,Berowra,999,Informal,Informal,999,N,N,,Informal,3588,294,8,129,104,4123,-0.09
NSW,107,Blaxland,21170,PHILLIPS,Richard,1,N,N,SEP,Socialist Equality Party,1605,242,27,139,45,2058,2.79
NSW,107,Blaxland,21793,MICHELS,Malikeh,2,N,N,GRN,The Greens,3641,514,31,285,154,4625,0.69
NSW,107,Blaxland,21935,BALL,David Daniel,3,N,N,IND,Independent,875,123,13,71,71,1153,1.56
NSW,107,Blaxland,20712,CHARAF,Abdul,4,N,N,IND,Independent,1825,183,22,68,33,2131,2.89
NSW,107,Blaxland,21180,CLARE,Jason,5,Y,Y,ALP,Labor,31902,2116,238,1513,1872,37641,-8.78
NSW,107,Blaxland,21433,MAJEWSKI,Mark,6,N,N,LP,Liberal,20650,1477,84,949,1423,24583,7.11
NSW,107,Blaxland,21326,POULSEN,Ronald,7,N,N,NAFD,,214,40,1,16,17,288,0.39
NSW,107,Blaxland,20711,VINNICOMBE,Bob,8,N,N,ON,One Nation,1086,85,10,54,116,1351,0.74
NSW,107,Blaxland,999,Informal,Informal,999,N,N,,Informal,10750,790,96,268,177,12081,5.17
NSW,108,Bradfield,21039,GEMMELL,Susie,1,N,N,GRN,The Greens,11586,955,38,976,676,14231,5.28
NSW,108,Bradfield,21112,GALLARD,Sarah,2,N,N,ALP,Labor,13710,1066,38,1146,782,16742,-6.95
NSW,108,Bradfield,21644,FLETCHER,Paul,3,Y,Y,LP,Liberal,47166,2528,126,2793,3530,56143,5.06
NSW,108,Bradfield,999,Informal,Informal,999,N,N,,Informal,3133,243,12,224,110,3722,0.13
NSW,109,Calare,21130,NORSWORTHY,Jessyka,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1667,120,7,68,95,1957,1.65
NSW,109,Calare,20959,BLANCH,Paul,2,N,N,IND,Independent,3777,152,9,113,86,4137,4.64
NSW,109,Calare,21140,DUFFY,Kevin,3,N,N,ALP,Country Labor,23673,858,57,604,734,25926,-4.42
NSW,109,Calare,21806,ROMANO,Karen,4,N,N,IND,Independent,3000,119,7,63,87,3276,3.67
NSW,109,Calare,21936,BUCKINGHAM,Jeremy,5,N,N,GRN,The Greens,4540,398,14,263,139,5354,1.82
NSW,109,Calare,21115,COBB,John,6,Y,Y,NP,The Nationals,42372,1605,83,1127,1588,46775,25.91
NSW,109,Calare,21725,ROSS,Macgregor,7,N,N,IND,Independent,1565,110,7,73,62,1817,2.04
NSW,109,Calare,999,Informal,Informal,999,N,N,,Informal,4277,195,12,89,58,4631,1.31
NSW,110,Charlton,21259,COMBET,Greg,1,Y,Y,ALP,Labor,38028,2031,94,1655,2351,44159,0.09
NSW,110,Charlton,21630,LAWLER,Ann,2,N,N,CEC,Citizens Electoral Council of Australia,708,63,5,57,48,881,0.71
NSW,110,Charlton,21621,McDONALD,John Andrew,3,N,N,LP,Liberal,21477,1128,35,1215,1659,25514,-0.89
NSW,110,Charlton,21384,McKENZIE,Ian,4,N,N,GRN,The Greens,6089,588,24,380,258,7339,0.75
NSW,110,Charlton,18426,BARRY,Patrick,5,N,N,IND,Independent,2330,202,6,127,181,2846,1.94
NSW,110,Charlton,21083,PICKSTONE,Mitchell,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),1945,152,5,97,142,2341,0.42
NSW,110,Charlton,999,Informal,Informal,999,N,N,,Informal,5588,295,18,143,132,6176,2.25
NSW,111,Chifley,21154,ROBERTSON,Debbie,1,N,N,GRN,The Greens,5571,741,30,228,206,6776,4.72
NSW,111,Chifley,21355,COOKSLEY,Terry,2,N,N,AFN,Australia First Party,793,96,2,23,29,943,1.17
NSW,111,Chifley,21231,HUSIC,Ed,3,Y,N,ALP,Labor,36704,2360,139,673,1580,41456,-11.6
NSW,111,Chifley,21678,DARLEY,Keith,4,N,N,DEM,Australian Democrats,988,76,6,35,69,1174,1.46
NSW,111,Chifley,21117,VINCENT,Dave,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),3574,242,15,78,159,4068,1.72
NSW,111,Chifley,20886,KEDWELL,Louise,6,N,N,ON,One Nation,1315,139,6,30,95,1585,0.67
NSW,111,Chifley,21658,PRIEST,Venus,7,N,N,LP,Liberal,21308,1465,69,487,1040,24369,5.42
NSW,111,Chifley,999,Informal,Informal,999,N,N,,Informal,9193,646,35,128,95,10097,3.25
NSW,112,Cook,12125,STRANG,Graeme,1,N,N,IND,Independent,1279,137,12,82,58,1568,1.01
NSW,112,Cook,21258,SCAYSBROOK,Peter,2,N,N,ALP,Labor,22748,1120,71,839,1028,25806,-7.46
NSW,112,Cook,21572,MORRISON,Scott,3,Y,Y,LP,Liberal,45899,1896,143,1473,2441,51852,5.72
NSW,112,Cook,21642,FOY,Merelyn,4,N,N,FFP,Family First,594,67,1,38,19,719,0.08
NSW,112,Cook,20882,WAIZER,Naomi,5,N,N,GRN,The Greens,5832,507,31,331,223,6924,1.54
NSW,112,Cook,21009,SMITH,Beth,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),1487,100,5,57,73,1722,-0.38
NSW,112,Cook,21814,PUTRAL,Richard,7,N,N,ON,One Nation,824,70,6,52,45,997,-0.09
NSW,112,Cook,999,Informal,Informal,999,N,N,,Informal,5076,226,20,91,115,5528,2
NSW,113,Cowper,21230,SEKFY,Paul,1,N,N,ALP,Labor,20946,905,82,796,967,23696,-10.25
NSW,113,Cowper,21770,KING,Dominic,2,N,N,GRN,The Greens,6410,542,42,443,308,7745,-1.95
NSW,113,Cowper,21915,ARKAN,John Singh,3,N,N,IND,Independent,7688,258,23,177,300,8446,9.92
NSW,113,Cowper,21045,LIONS,Deborah A J,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),1801,86,4,49,99,2039,-0.48
NSW,113,Cowper,21014,HARTSUYKER,Luke,5,Y,Y,NP,The Nationals,37706,1437,94,1501,2504,43242,4.22
NSW,113,Cowper,999,Informal,Informal,999,N,N,,Informal,3466,161,10,152,68,3857,0.36
NSW,114,Cunningham,21442,CLIFFORD,Philip,1,N,N,LP,Liberal,25230,1246,38,939,1788,29241,4.94
NSW,114,Cunningham,21294,BIRD,Sharon,2,Y,Y,ALP,Labor,38343,1750,73,1198,2405,43769,-3.21
NSW,114,Cunningham,20718,FLANAGAN,John,3,N,N,NCP,Non-Custodial Parents Party (Equal Parenting),1065,76,1,45,53,1240,0.85
NSW,114,Cunningham,21222,TAKACS,George,4,N,N,GRN,The Greens,11639,841,25,482,474,13461,0.9
NSW,114,Cunningham,21537,MOORE,Jess,5,N,N,SAL,Socialist Alliance,1144,73,2,39,45,1303,0.68
NSW,114,Cunningham,999,Informal,Informal,999,N,N,,Informal,4911,248,6,80,114,5359,1.77
NSW,115,Dobell,21064,AVASALU,Rhonda,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1644,162,12,63,124,2005,0.54
NSW,115,Dobell,21602,McNAMARA,John,2,N,N,LP,Liberal,28693,1555,76,857,2106,33287,-2.05
NSW,115,Dobell,21273,THOMSON,Craig,3,Y,Y,ALP,Labor,33657,1829,123,636,2023,38268,-0.08
NSW,115,Dobell,21597,BRETT,Gavin,4,N,N,FFP,Family First,1708,168,13,42,102,2033,0.75
NSW,115,Dobell,21627,RICKARD,Scott,5,N,N,GRN,The Greens,5991,605,29,211,285,7121,3.24
NSW,115,Dobell,999,Informal,Informal,999,N,N,,Informal,4731,366,19,65,152,5333,1.74
NSW,117,Eden-Monaro,21921,QUILTY,Olga,1,N,N,LDP,Liberal Democrats (LDP),895,75,3,117,62,1152,1.11
NSW,117,Eden-Monaro,21706,KELLY,Mike,2,Y,Y,ALP,Labor,32566,941,89,1578,2051,37225,0.3
NSW,117,Eden-Monaro,21920,GAZARD,David,3,N,N,LP,Liberal,30920,805,43,1578,2368,35714,-2.87
NSW,117,Eden-Monaro,20714,FRAGIACOMO,Frank,4,N,N,IND,Independent,455,24,2,36,42,559,0.65
NSW,117,Eden-Monaro,21924,BUCKLEY,Ray,5,N,N,IND,Independent,876,32,0,50,61,1019,1.19
NSW,117,Eden-Monaro,21724,GRADWELL,Tom,6,N,N,FFP,Family First,633,31,4,49,44,761,0.18
NSW,117,Eden-Monaro,21684,BENNETT,Ursula,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),514,44,2,33,44,637,-0.36
NSW,117,Eden-Monaro,21922,MOORE,Catherine,8,N,N,GRN,The Greens,6777,350,21,589,559,8296,1.91
NSW,117,Eden-Monaro,999,Informal,Informal,999,N,N,,Informal,5233,161,11,145,140,5690,2.52
NSW,118,Farrer,21608,CROTHERS,Mathew Bruce,1,N,N,SPA,Secular Party of Australia,945,41,2,87,24,1099,1.32
NSW,118,Farrer,21804,CARRUTHERS,Peter,2,N,N,GRN,The Greens,4084,146,12,431,207,4880,1.05
NSW,118,Farrer,21567,CLANCY,Jason C,3,N,N,NAFD,,594,32,2,58,38,724,0.87
NSW,118,Farrer,21637,LEY,Sussan,4,Y,Y,LP,Liberal,35736,765,72,2843,3230,42646,-5.87
NSW,118,Farrer,21284,EMMERY,Christian,5,N,N,ALP,Country Labor,18647,301,44,1047,942,20981,-7.39
NSW,118,Farrer,20779,BURGE,Louise,6,N,N,IND,Independent,8439,128,15,326,442,9350,11.27
NSW,118,Farrer,20812,BINGLE,Stephen,7,N,N,DEM,Australian Democrats,520,11,0,41,31,603,0.73
NSW,118,Farrer,21255,MALE,James,8,N,N,CDP,Christian Democratic Party (Fred Nile Group),2447,39,7,68,103,2664,3.21
NSW,118,Farrer,999,Informal,Informal,999,N,N,,Informal,5227,84,8,185,107,5611,2.51
NSW,119,Fowler,20997,HEAD,Mike,1,N,N,SEP,Socialist Equality Party,2282,237,22,92,67,2700,3.51
NSW,119,Fowler,21665,DANG,Thomas,2,N,N,LP,Liberal,24834,1656,155,530,1227,28402,14.1
NSW,119,Fowler,21261,HAYES,Chris,3,Y,Y,ALP,Labor,36132,2108,209,699,1488,40636,-15.06
NSW,119,Fowler,20818,WESTERBERG,Signe,4,N,N,GRN,The Greens,4278,459,24,177,206,5144,0.73
NSW,119,Fowler,999,Informal,Informal,999,N,N,,Informal,10424,528,70,155,137,11314,4.35
NSW,120,Gilmore,21129,BRUMERSKYJ,Bohdan,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),2041,129,4,52,84,2310,0.18
NSW,120,Gilmore,20735,van der WIJNGAART,Ben,2,N,N,GRN,The Greens,7094,514,13,362,296,8279,1.49
NSW,120,Gilmore,21750,CUNNINGHAM,Elizabeth,3,N,N,FFP,Family First,653,58,1,32,37,781,0.5
NSW,120,Gilmore,21253,REILLY,Neil,4,N,N,ALP,Labor,26937,1074,56,899,1464,30430,-6.83
NSW,120,Gilmore,21727,GASH,Joanna,5,Y,Y,LP,Liberal,38236,1596,61,1521,2636,44050,5.15
NSW,120,Gilmore,21663,WILLIAMS,Annette,6,N,N,SPA,Secular Party of Australia,228,19,0,9,19,275,0.32
NSW,120,Gilmore,21738,KEYS,Don,7,N,N,LDP,Liberal Democrats (LDP),288,34,0,24,28,374,0.28
NSW,120,Gilmore,999,Informal,Informal,999,N,N,,Informal,4188,205,12,123,130,4658,0.87
NSW,121,Grayndler,21624,COGAN,James Michael,1,N,N,SEP,Socialist Equality Party,842,110,11,36,42,1041,0.86
NSW,121,Grayndler,21682,HINMAN,Pip,2,N,N,SAL,Socialist Alliance,877,86,2,39,18,1022,-0.42
NSW,121,Grayndler,21672,DORE,Alexander,3,N,N,LP,Liberal,16860,1409,92,833,984,20178,3.3
NSW,121,Grayndler,21656,ALBANESE,Anthony,4,Y,Y,ALP,Labor,32579,2624,193,1502,1471,38369,-9.37
NSW,121,Grayndler,21865,BYRNE,Sam,5,N,N,GRN,The Greens,17723,1800,96,1203,733,21555,7.26
NSW,121,Grayndler,21860,GAROFANI,Perry Lodovico,6,N,N,DEM,Australian Democrats,854,98,3,56,63,1074,-0.38
NSW,121,Grayndler,999,Informal,Informal,999,N,N,,Informal,5588,453,33,135,135,6344,1.1
NSW,122,Greenway,21246,ROWLAND,Michelle,1,Y,N,ALP,Labor,29121,1717,193,846,1690,33567,-7.36
NSW,122,Greenway,21609,DIAZ,Jaymes,2,N,N,LP,Liberal,28427,1670,114,917,1660,32788,2.05
NSW,122,Greenway,21965,SANTOS,Michael,3,N,N,IND,Independent,628,67,4,27,44,770,0.97
NSW,122,Greenway,20742,PETTITT,Tony,4,N,N,AFN,Australia First Party,674,63,2,18,23,780,0.98
NSW,122,Greenway,21010,GREEN,Allan,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),2481,183,12,98,148,2922,0.86
NSW,122,Greenway,21948,BAIADA,John,6,N,N,BAP,Building Australia,696,68,0,17,34,815,1.03
NSW,122,Greenway,21373,VILLAVER,Ronaldo,7,N,N,DEM,Australian Democrats,429,41,4,25,30,529,0.67
NSW,122,Greenway,21668,DE LIMA,Joaquim Eduardo,8,N,N,LDP,Liberal Democrats (LDP),397,83,3,33,26,542,0.51
NSW,122,Greenway,22018,TANDA,Amarjit,9,N,N,IND,Independent,434,40,3,32,21,530,0.67
NSW,122,Greenway,20843,TAYLOR,Paul,10,N,N,GRN,The Greens,3957,379,20,197,216,4769,1.57
NSW,122,Greenway,21632,MULLER,Iris,11,N,N,FFP,Family First,1022,135,4,65,70,1296,0.38
NSW,122,Greenway,999,Informal,Informal,999,N,N,,Informal,8116,521,43,174,221,9075,4.09
NSW,124,Hughes,21851,BUSSA,Peter,1,N,N,ON,One Nation,1212,197,12,106,72,1599,1.85
NSW,124,Hughes,21467,KELLY,Craig,2,Y,N,LP,Liberal,36565,1908,104,1899,1948,42424,2.67
NSW,124,Hughes,21701,ROBERTS,Susan,3,N,N,GRN,The Greens,4369,523,10,318,210,5430,0.93
NSW,124,Hughes,21491,HURLEY,Stan,4,N,N,FFP,Family First,903,125,6,78,71,1183,0.45
NSW,124,Hughes,21004,NAILON,Scott,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),1756,147,7,95,107,2112,-0.7
NSW,124,Hughes,21618,NGUYEN,Don,6,N,N,LDP,Liberal Democrats (LDP),683,148,3,69,45,948,1.01
NSW,124,Hughes,21256,THOMAS,Brent,7,N,N,ALP,Labor,27961,1672,88,1491,1399,32611,-5.96
NSW,124,Hughes,999,Informal,Informal,999,N,N,,Informal,5316,390,12,188,114,6020,2.08
NSW,125,Hume,21625,LIPTAK,Charles,1,N,N,FFP,Family First,1687,197,10,109,72,2075,0.53
NSW,125,Hume,21849,BUTLER,Greg,2,N,N,DEM,Australian Democrats,1061,92,2,75,50,1280,1.36
NSW,125,Hume,21245,SAVILLE,Robin,3,N,N,ALP,Labor,24497,1213,58,1322,954,28044,-5.06
NSW,125,Hume,21652,MILAT,Lisa,4,N,N,LDP,Liberal Democrats (LDP),883,150,5,125,34,1197,1.36
NSW,125,Hume,21840,WATCHIRS,Kevin,5,N,N,GRN,The Greens,5387,495,15,545,295,6737,1.49
NSW,125,Hume,21049,BUTTIGIEG,Karen,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),1330,84,5,67,60,1546,0.09
NSW,125,Hume,21647,SCHULTZ,Alby,7,Y,Y,LP,Liberal,40093,2202,94,2388,2360,47137,12.96
NSW,125,Hume,999,Informal,Informal,999,N,N,,Informal,4212,275,13,165,99,4764,1.56
NSW,126,Hunter,20850,PARKER,Chris,1,N,N,GRN,The Greens,6258,520,25,216,232,7251,2.6
NSW,126,Hunter,21697,LEAYR,Jennifer,2,N,N,ON,One Nation,2402,156,6,68,89,2721,3.35
NSW,126,Hunter,21454,FITZGIBBON,Joel,3,Y,Y,ALP,Labor,40025,1678,133,716,1607,44159,-5.28
NSW,126,Hunter,21219,RILEY,Wayne Gregory,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),1697,109,2,44,86,1938,0.34
NSW,126,Hunter,21167,JOHNSEN,Michael,5,N,N,NP,The Nationals,22431,1009,45,585,1175,25245,3.83
NSW,126,Hunter,999,Informal,Informal,999,N,N,,Informal,5007,230,8,48,90,5383,1.94
NSW,127,Kingsford Smith,21662,FENELEY,Michael,1,N,N,LP,Liberal,29184,1399,78,1341,1834,33836,7.31
NSW,127,Kingsford Smith,21368,GARRETT,Peter,2,Y,Y,ALP,Labor,31133,1602,127,1476,1619,35957,-8.93
NSW,127,Kingsford Smith,21138,HAMBIDES,Zac,3,N,N,SEP,Socialist Equality Party,482,43,4,33,14,576,-0.56
NSW,127,Kingsford Smith,21932,CARMONT,Josh,4,N,N,DEM,Australian Democrats,832,65,2,66,82,1047,1.28
NSW,127,Kingsford Smith,21181,SHUREY,Lindsay,5,N,N,GRN,The Greens,8033,795,38,618,401,9885,1.63
NSW,127,Kingsford Smith,20729,CUNNINGHAM,John Lawrence,6,N,N,ON,One Nation,586,56,2,33,51,728,0.89
NSW,127,Kingsford Smith,999,Informal,Informal,999,N,N,,Informal,6620,298,25,163,174,7280,2.84
NSW,128,Lindsay,21283,BRADBURY,David,1,Y,Y,ALP,Labor,32616,1601,126,853,1880,37076,-6.25
NSW,128,Lindsay,21928,BROWN,Geoff,2,N,N,IND,Independent,1353,92,8,43,87,1583,1.9
NSW,128,Lindsay,21021,GREEN,Andrew,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),2192,144,7,59,100,2502,-0.01
NSW,128,Lindsay,20715,SAUNDERS,Mick,4,N,N,AFN,Australia First Party,852,63,5,22,34,976,1.17
NSW,128,Lindsay,21667,PHILLIPS,John,5,N,N,FFP,Family First,820,105,3,44,60,1032,0.09
NSW,128,Lindsay,21841,WRIGHT,Suzie,6,N,N,GRN,The Greens,3307,293,20,153,171,3944,1.28
NSW,128,Lindsay,21622,SCOTT,Fiona,7,N,N,LP,Liberal,32246,1318,92,734,1724,36114,4.71
NSW,128,Lindsay,999,Informal,Informal,999,N,N,,Informal,6731,346,25,105,195,7402,2.65
NSW,130,Lyne,21912,OAKESHOTT,Robert,1,Y,Y,IND,Independent,34948,1757,42,1275,2039,40061,47.15
NSW,130,Lyne,21301,LIPS,Frederik,2,N,N,ALP,Labor,10002,625,22,392,418,11459,-18.49
NSW,130,Lyne,20996,GILLESPIE,David,3,N,N,NP,The Nationals,25964,1020,21,755,1456,29216,-15.74
NSW,130,Lyne,17316,WRIGHT,Barry,4,N,N,IND,Independent,465,51,1,43,26,586,-0.5
NSW,130,Lyne,20833,OXENFORD,Ian,5,N,N,GRN,The Greens,2909,398,7,217,114,3645,-2.75
NSW,130,Lyne,999,Informal,Informal,999,N,N,,Informal,2977,172,6,73,66,3294,-1.3
NSW,131,Macarthur,21918,McCULLOCH,Kate Melissa,1,N,N,ON,One Nation,1980,192,8,77,81,2338,2.99
NSW,131,Macarthur,21596,BLEASDALE,Nick,2,N,N,ALP,Labor,26893,1383,112,579,1184,30151,-6.87
NSW,131,Macarthur,21955,CAMMARERI,Domenic,3,N,N,BAP,Building Australia,411,67,3,17,14,512,0.65
NSW,131,Macarthur,21649,MATHESON,Russell,4,Y,N,LP,Liberal,32981,1461,127,771,1729,37069,1.79
NSW,131,Macarthur,21085,NORSWORTHY,Nolene,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),1174,96,6,33,68,1377,-0.15
NSW,131,Macarthur,21094,Di BLASIO,Jessica,6,N,N,GRN,The Greens,3646,355,24,155,167,4347,1.29
NSW,131,Macarthur,21688,MEAD,Clinton,7,N,N,DEM,Australian Democrats,553,47,6,16,30,652,0.14
NSW,131,Macarthur,21664,HERBERT,Grant,8,N,N,FFP,Family First,1453,149,14,68,73,1757,0.57
NSW,131,Macarthur,999,Informal,Informal,999,N,N,,Informal,6268,402,22,82,125,6899,2.54
NSW,132,Mackellar,21398,KING,Jonathan,1,N,N,GRN,The Greens,12315,1077,29,751,437,14609,5.08
NSW,132,Mackellar,21419,BEATTIE,Linda,2,N,N,ALP,Labor,15950,934,38,810,649,18381,-3.33
NSW,132,Mackellar,21550,BISHOP,Bronwyn,3,Y,Y,LP,Liberal,46383,2688,95,2280,2664,54110,5.74
NSW,132,Mackellar,999,Informal,Informal,999,N,N,,Informal,4199,281,9,164,127,4780,0.53
NSW,133,Macquarie,21784,WHELAN,Peter,1,N,N,LDP,Liberal Democrats (LDP),1636,222,9,118,102,2087,2.19
NSW,133,Macquarie,21795,BELL,Amy,2,N,N,IND,Independent,1483,127,7,66,95,1778,2.03
NSW,133,Macquarie,21293,McCALLUM,Carmel,3,N,N,GRN,The Greens,10583,779,41,433,481,12317,3.11
NSW,133,Macquarie,21796,TREMETHICK,Terry,4,N,N,CA,Carers Alliance,482,41,2,20,46,591,0.68
NSW,133,Macquarie,21792,TEMPLEMAN,Susan,5,N,N,ALP,Labor,25025,1189,83,677,1310,28284,-5.75
