2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:32 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,31,Allawah,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,156,1.83
NSW,103,Banks,31,Allawah,20888,PARSONS,Michael,2,N,N,ON,One Nation,17,1.19
NSW,103,Banks,31,Allawah,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,634,-17.57
NSW,103,Banks,31,Allawah,21561,DELEZIO,Ron,4,N,N,LP,Liberal,618,17.21
NSW,103,Banks,31,Allawah,999,Informal,Informal,999,N,N,,Informal,135,3.71
NSW,103,Banks,67,Allawah South,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,111,2.99
NSW,103,Banks,67,Allawah South,20888,PARSONS,Michael,2,N,N,ON,One Nation,14,1.28
NSW,103,Banks,67,Allawah South,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,503,-12.58
NSW,103,Banks,67,Allawah South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,470,12.6
NSW,103,Banks,67,Allawah South,999,Informal,Informal,999,N,N,,Informal,134,4.68
NSW,103,Banks,56500,Beverly Hills North (Banks),20846,SPIGHT,Paul,1,N,N,GRN,The Greens,37,3.47
NSW,103,Banks,56500,Beverly Hills North (Banks),20888,PARSONS,Michael,2,N,N,ON,One Nation,12,2.71
NSW,103,Banks,56500,Beverly Hills North (Banks),21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,222,-7.35
NSW,103,Banks,56500,Beverly Hills North (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,171,7.22
NSW,103,Banks,56500,Beverly Hills North (Banks),999,Informal,Informal,999,N,N,,Informal,56,3.7
NSW,103,Banks,2646,Beverly Hills South,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,127,3.74
NSW,103,Banks,2646,Beverly Hills South,20888,PARSONS,Michael,2,N,N,ON,One Nation,17,1.23
NSW,103,Banks,2646,Beverly Hills South,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,671,-12.47
NSW,103,Banks,2646,Beverly Hills South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,571,13.19
NSW,103,Banks,2646,Beverly Hills South,999,Informal,Informal,999,N,N,,Informal,150,3.64
NSW,103,Banks,36,Blakehurst,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,60,5.15
NSW,103,Banks,36,Blakehurst,20888,PARSONS,Michael,2,N,N,ON,One Nation,6,0.9
NSW,103,Banks,36,Blakehurst,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,184,-14.78
NSW,103,Banks,36,Blakehurst,21561,DELEZIO,Ron,4,N,N,LP,Liberal,414,13.52
NSW,103,Banks,36,Blakehurst,999,Informal,Informal,999,N,N,,Informal,40,3.65
NSW,103,Banks,46,Blakehurst North,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,96,4.8
NSW,103,Banks,46,Blakehurst North,20888,PARSONS,Michael,2,N,N,ON,One Nation,6,0.74
NSW,103,Banks,46,Blakehurst North,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,346,-8.1
NSW,103,Banks,46,Blakehurst North,21561,DELEZIO,Ron,4,N,N,LP,Liberal,365,6.51
NSW,103,Banks,46,Blakehurst North,999,Informal,Informal,999,N,N,,Informal,105,7.38
NSW,103,Banks,33,Blakehurst South,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,89,0.87
NSW,103,Banks,33,Blakehurst South,20888,PARSONS,Michael,2,N,N,ON,One Nation,13,0.91
NSW,103,Banks,33,Blakehurst South,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,320,-7.17
NSW,103,Banks,33,Blakehurst South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,999,7.76
NSW,103,Banks,33,Blakehurst South,999,Informal,Informal,999,N,N,,Informal,67,0.34
NSW,103,Banks,56472,Carlton South (Banks),20846,SPIGHT,Paul,1,N,N,GRN,The Greens,55,5.49
NSW,103,Banks,56472,Carlton South (Banks),20888,PARSONS,Michael,2,N,N,ON,One Nation,15,3.69
NSW,103,Banks,56472,Carlton South (Banks),21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,193,-13.52
NSW,103,Banks,56472,Carlton South (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,143,6.65
NSW,103,Banks,56472,Carlton South (Banks),999,Informal,Informal,999,N,N,,Informal,74,10.39
NSW,103,Banks,65,Carlton West (Banks),20846,SPIGHT,Paul,1,N,N,GRN,The Greens,160,3.53
NSW,103,Banks,65,Carlton West (Banks),20888,PARSONS,Michael,2,N,N,ON,One Nation,28,2.06
NSW,103,Banks,65,Carlton West (Banks),21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,577,-13.23
NSW,103,Banks,65,Carlton West (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,597,10.95
NSW,103,Banks,65,Carlton West (Banks),999,Informal,Informal,999,N,N,,Informal,134,2.88
NSW,103,Banks,42,Connells Point,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,181,0.75
NSW,103,Banks,42,Connells Point,20888,PARSONS,Michael,2,N,N,ON,One Nation,27,1.06
NSW,103,Banks,42,Connells Point,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,660,-10.31
NSW,103,Banks,42,Connells Point,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1690,11.68
NSW,103,Banks,42,Connells Point,999,Informal,Informal,999,N,N,,Informal,134,0.53
NSW,103,Banks,30094,Divisional Office (PREPOLL),20846,SPIGHT,Paul,1,N,N,GRN,The Greens,0,-6.55
NSW,103,Banks,30094,Divisional Office (PREPOLL),20888,PARSONS,Michael,2,N,N,ON,One Nation,0,0
NSW,103,Banks,30094,Divisional Office (PREPOLL),21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,4,23.45
NSW,103,Banks,30094,Divisional Office (PREPOLL),21561,DELEZIO,Ron,4,N,N,LP,Liberal,1,-10.95
NSW,103,Banks,30094,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,-4.55
NSW,103,Banks,2663,Hurstville,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,261,5.5
NSW,103,Banks,2663,Hurstville,20888,PARSONS,Michael,2,N,N,ON,One Nation,26,1.2
NSW,103,Banks,2663,Hurstville,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,997,-19.63
NSW,103,Banks,2663,Hurstville,21561,DELEZIO,Ron,4,N,N,LP,Liberal,874,16.65
NSW,103,Banks,2663,Hurstville,999,Informal,Informal,999,N,N,,Informal,230,2.29
NSW,103,Banks,44,Hurstville Central,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,16,0.11
NSW,103,Banks,44,Hurstville Central,20888,PARSONS,Michael,2,N,N,ON,One Nation,3,2.05
NSW,103,Banks,44,Hurstville Central,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,56,-11.4
NSW,103,Banks,44,Hurstville Central,21561,DELEZIO,Ron,4,N,N,LP,Liberal,71,13.02
NSW,103,Banks,44,Hurstville Central,999,Informal,Informal,999,N,N,,Informal,13,3.25
NSW,103,Banks,2664,Hurstville East,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,184,3.37
NSW,103,Banks,2664,Hurstville East,20888,PARSONS,Michael,2,N,N,ON,One Nation,29,1.47
NSW,103,Banks,2664,Hurstville East,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,932,-14.41
NSW,103,Banks,2664,Hurstville East,21561,DELEZIO,Ron,4,N,N,LP,Liberal,822,15.16
NSW,103,Banks,2664,Hurstville East,999,Informal,Informal,999,N,N,,Informal,252,3.68
NSW,103,Banks,45,Hurstville Grove,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,247,3.02
NSW,103,Banks,45,Hurstville Grove,20888,PARSONS,Michael,2,N,N,ON,One Nation,32,1.37
NSW,103,Banks,45,Hurstville Grove,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,809,-13.48
NSW,103,Banks,45,Hurstville Grove,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1243,13.5
NSW,103,Banks,45,Hurstville Grove,999,Informal,Informal,999,N,N,,Informal,129,1.25
NSW,103,Banks,2665,Hurstville North,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,196,4.08
NSW,103,Banks,2665,Hurstville North,20888,PARSONS,Michael,2,N,N,ON,One Nation,30,1.47
NSW,103,Banks,2665,Hurstville North,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,912,-16.04
NSW,103,Banks,2665,Hurstville North,21561,DELEZIO,Ron,4,N,N,LP,Liberal,897,15.85
NSW,103,Banks,2665,Hurstville North,999,Informal,Informal,999,N,N,,Informal,278,2.34
NSW,103,Banks,34046,Hurstville PPVC,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,363,2.35
NSW,103,Banks,34046,Hurstville PPVC,20888,PARSONS,Michael,2,N,N,ON,One Nation,67,1.62
NSW,103,Banks,34046,Hurstville PPVC,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,1824,-12.49
NSW,103,Banks,34046,Hurstville PPVC,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1874,14.38
NSW,103,Banks,34046,Hurstville PPVC,999,Informal,Informal,999,N,N,,Informal,494,6.22
NSW,103,Banks,4,Lugarno,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,207,1.96
NSW,103,Banks,4,Lugarno,20888,PARSONS,Michael,2,N,N,ON,One Nation,41,1.42
NSW,103,Banks,4,Lugarno,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,859,-5.8
NSW,103,Banks,4,Lugarno,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1787,6.97
NSW,103,Banks,4,Lugarno,999,Informal,Informal,999,N,N,,Informal,148,0.27
NSW,103,Banks,55,Mortdale Central,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,212,4.69
NSW,103,Banks,55,Mortdale Central,20888,PARSONS,Michael,2,N,N,ON,One Nation,33,1.89
NSW,103,Banks,55,Mortdale Central,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,803,-9.1
NSW,103,Banks,55,Mortdale Central,21561,DELEZIO,Ron,4,N,N,LP,Liberal,702,5.87
NSW,103,Banks,55,Mortdale Central,999,Informal,Informal,999,N,N,,Informal,152,1.49
NSW,103,Banks,56,Mortdale East,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,238,5.7
