2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:24 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8289,Blessington Upper,21024,TITMUS,Steve,1,N,N,LP,Liberal,42,1.08
TAS,192,Bass,8289,Blessington Upper,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,29,7.93
TAS,192,Bass,8289,Blessington Upper,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,19,-4.47
TAS,192,Bass,8289,Blessington Upper,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,1,1.1
TAS,192,Bass,8289,Blessington Upper,999,Informal,Informal,999,N,N,,Informal,6,-1.6
TAS,192,Bass,8290,Branxholm,21024,TITMUS,Steve,1,N,N,LP,Liberal,95,6.94
TAS,192,Bass,8290,Branxholm,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,71,-5.84
TAS,192,Bass,8290,Branxholm,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,26,2.53
TAS,192,Bass,8290,Branxholm,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,3,1.54
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,11,2.16
TAS,192,Bass,8291,Bridport,21024,TITMUS,Steve,1,N,N,LP,Liberal,575,-2.72
TAS,192,Bass,8291,Bridport,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,343,3.9
TAS,192,Bass,8291,Bridport,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,135,0.21
TAS,192,Bass,8291,Bridport,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,11,0.86
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,56,0.85
