2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:24 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,16,1.29
NT,306,Lingiari,8701,Alice Springs,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),388,-13.1
NT,306,Lingiari,8701,Alice Springs,21508,SHAW,Barbara,3,N,N,GRN,The Greens,276,9.9
NT,306,Lingiari,8701,Alice Springs,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,81,6.51
NT,306,Lingiari,8701,Alice Springs,21517,FINTER,Deirdre,5,N,N,IND,Independent,62,4.98
NT,306,Lingiari,8701,Alice Springs,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,421,-5.32
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,70,2.86
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),37,0.83
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,21,12.49
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,6,6
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,2,2
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,34,-17.06
NT,306,Lingiari,46405,Alice Springs Airport PPVC,999,Informal,Informal,999,N,N,,Informal,7,2.46
NT,306,Lingiari,34172,Alice Springs PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,78,2.67
NT,306,Lingiari,34172,Alice Springs PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),1054,-0.46
NT,306,Lingiari,34172,Alice Springs PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,459,8.27
NT,306,Lingiari,34172,Alice Springs PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,162,5.54
NT,306,Lingiari,34172,Alice Springs PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,165,5.65
NT,306,Lingiari,34172,Alice Springs PPVC,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,1004,-16.28
NT,306,Lingiari,34172,Alice Springs PPVC,999,Informal,Informal,999,N,N,,Informal,174,1.91
NT,306,Lingiari,8702,Alyangula,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,3,1.05
NT,306,Lingiari,8702,Alyangula,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),92,5.22
NT,306,Lingiari,8702,Alyangula,21508,SHAW,Barbara,3,N,N,GRN,The Greens,31,2.94
NT,306,Lingiari,8702,Alyangula,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,13,4.56
NT,306,Lingiari,8702,Alyangula,21517,FINTER,Deirdre,5,N,N,IND,Independent,10,3.51
NT,306,Lingiari,8702,Alyangula,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,136,-13.46
NT,306,Lingiari,8702,Alyangula,999,Informal,Informal,999,N,N,,Informal,23,2.44
NT,306,Lingiari,34266,Alyangula PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),0,0
NT,306,Lingiari,34266,Alyangula PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,0,0
NT,306,Lingiari,34266,Alyangula PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21508,SHAW,Barbara,3,N,N,GRN,The Greens,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21517,FINTER,Deirdre,5,N,N,IND,Independent,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,0
NT,306,Lingiari,8704,Batchelor,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,4,1.45
NT,306,Lingiari,8704,Batchelor,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),92,-6.28
NT,306,Lingiari,8704,Batchelor,21508,SHAW,Barbara,3,N,N,GRN,The Greens,55,7.67
NT,306,Lingiari,8704,Batchelor,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,10,3.64
NT,306,Lingiari,8704,Batchelor,21517,FINTER,Deirdre,5,N,N,IND,Independent,8,2.91
NT,306,Lingiari,8704,Batchelor,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,106,-4.94
NT,306,Lingiari,8704,Batchelor,999,Informal,Informal,999,N,N,,Informal,16,3.82
NT,306,Lingiari,34264,Bees Creek,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,30,2.88
NT,306,Lingiari,34264,Bees Creek,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),426,-14.56
NT,306,Lingiari,34264,Bees Creek,21508,SHAW,Barbara,3,N,N,GRN,The Greens,80,-1.23
NT,306,Lingiari,34264,Bees Creek,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,42,4.03
NT,306,Lingiari,34264,Bees Creek,21517,FINTER,Deirdre,5,N,N,IND,Independent,74,7.09
NT,306,Lingiari,34264,Bees Creek,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,391,3.68
NT,306,Lingiari,34264,Bees Creek,999,Informal,Informal,999,N,N,,Informal,79,4.91
NT,306,Lingiari,8706,Berry Springs,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,23,3.37
NT,306,Lingiari,8706,Berry Springs,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),278,-2.74
NT,306,Lingiari,8706,Berry Springs,21508,SHAW,Barbara,3,N,N,GRN,The Greens,68,-2.2
NT,306,Lingiari,8706,Berry Springs,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,13,1.9
NT,306,Lingiari,8706,Berry Springs,21517,FINTER,Deirdre,5,N,N,IND,Independent,31,4.54
NT,306,Lingiari,8706,Berry Springs,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,270,-1.86
NT,306,Lingiari,8706,Berry Springs,999,Informal,Informal,999,N,N,,Informal,50,2.88
NT,306,Lingiari,34265,Blatherskite Park,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,2,1.48
NT,306,Lingiari,34265,Blatherskite Park,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),45,-15.28
NT,306,Lingiari,34265,Blatherskite Park,21508,SHAW,Barbara,3,N,N,GRN,The Greens,13,1.89
NT,306,Lingiari,34265,Blatherskite Park,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,11,8.15
NT,306,Lingiari,34265,Blatherskite Park,21517,FINTER,Deirdre,5,N,N,IND,Independent,11,8.15
NT,306,Lingiari,34265,Blatherskite Park,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,53,-0.37
NT,306,Lingiari,34265,Blatherskite Park,999,Informal,Informal,999,N,N,,Informal,10,3.9
NT,306,Lingiari,8707,Braitling,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,30,2.16
NT,306,Lingiari,8707,Braitling,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),467,-19.12
NT,306,Lingiari,8707,Braitling,21508,SHAW,Barbara,3,N,N,GRN,The Greens,196,6.01
NT,306,Lingiari,8707,Braitling,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,102,7.33
NT,306,Lingiari,8707,Braitling,21517,FINTER,Deirdre,5,N,N,IND,Independent,107,7.69
NT,306,Lingiari,8707,Braitling,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,490,0.89
NT,306,Lingiari,8707,Braitling,999,Informal,Informal,999,N,N,,Informal,104,3.86
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,11,4.62
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),60,-11.48
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,26,3.73
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,6,2.52
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,16,6.72
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,21513,SNOWDON,Warren Edward,6,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,119,-1.08
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,999,Informal,Informal,999,N,N,,Informal,27,6.72
NT,306,Lingiari,8886,Christmas Island,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,9,2.09
NT,306,Lingiari,8886,Christmas Island,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),100,10.37
NT,306,Lingiari,8886,Christmas Island,21508,SHAW,Barbara,3,N,N,GRN,The Greens,48,2.33
NT,306,Lingiari,8886,Christmas Island,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,6,1.4
