2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:27 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,6344,Blackstone,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,119,3.39
QLD,304,Blair,6344,Blackstone,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,15,2.88
QLD,304,Blair,6344,Blackstone,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,154,-17.6
QLD,304,Blair,6344,Blackstone,20750,KING,Brad,4,N,N,IND,Independent,19,5.44
QLD,304,Blair,6344,Blackstone,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,42,7.62
QLD,304,Blair,6344,Blackstone,999,Informal,Informal,999,N,N,,Informal,25,4.52
QLD,304,Blair,6347,Brassall,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,750,-3.04
QLD,304,Blair,6347,Brassall,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,69,2.45
QLD,304,Blair,6347,Brassall,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,869,-6.22
QLD,304,Blair,6347,Brassall,20750,KING,Brad,4,N,N,IND,Independent,66,3.49
QLD,304,Blair,6347,Brassall,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,138,5.11
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,83,0.58
QLD,304,Blair,6348,Brassall North,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,803,-5.04
QLD,304,Blair,6348,Brassall North,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,155,4.47
QLD,304,Blair,6348,Brassall North,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,1077,-7.85
QLD,304,Blair,6348,Brassall North,20750,KING,Brad,4,N,N,IND,Independent,104,4.32
QLD,304,Blair,6348,Brassall North,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,266,6.8
QLD,304,Blair,6348,Brassall North,999,Informal,Informal,999,N,N,,Informal,154,1.58
