2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:25 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),21457,WEEDALL,Gemma,1,N,N,SAL,Socialist Alliance,2,0.64
SA,179,Adelaide,6648,Adelaide (Adelaide),20845,WESTLEY,Luke,2,N,N,LP,Liberal,67,-7.53
SA,179,Adelaide,6648,Adelaide (Adelaide),20984,NEAL,Suzanne Patricia,3,N,N,FFP,Family First,4,-1.07
SA,179,Adelaide,6648,Adelaide (Adelaide),22029,NICHOLLS,Marie,4,N,N,DEM,Australian Democrats,3,-3.92
SA,179,Adelaide,6648,Adelaide (Adelaide),20987,ELLIS,Kate,5,Y,Y,ALP,Australian Labor Party,138,-3.4
SA,179,Adelaide,6648,Adelaide (Adelaide),20989,STEELE,Christopher,6,N,N,LDP,Liberal Democrats (LDP),4,1.27
SA,179,Adelaide,6648,Adelaide (Adelaide),21364,BEACH,Ruth,7,N,N,GRN,The Greens,96,14.01
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,N,N,,Informal,20,3.1
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,21457,WEEDALL,Gemma,1,N,N,SAL,Socialist Alliance,9,0.49
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,20845,WESTLEY,Luke,2,N,N,LP,Liberal,723,0.33
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,20984,NEAL,Suzanne Patricia,3,N,N,FFP,Family First,27,-0.27
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,22029,NICHOLLS,Marie,4,N,N,DEM,Australian Democrats,19,-1.04
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,20987,ELLIS,Kate,5,Y,Y,ALP,Australian Labor Party,731,-4.9
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,20989,STEELE,Christopher,6,N,N,LDP,Liberal Democrats (LDP),9,0.49
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,21364,BEACH,Ruth,7,N,N,GRN,The Greens,317,4.91
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,46,0.57
SA,179,Adelaide,6649,Adelaide East,21457,WEEDALL,Gemma,1,N,N,SAL,Socialist Alliance,11,1
SA,179,Adelaide,6649,Adelaide East,20845,WESTLEY,Luke,2,N,N,LP,Liberal,406,-4.01
SA,179,Adelaide,6649,Adelaide East,20984,NEAL,Suzanne Patricia,3,N,N,FFP,Family First,13,0.15
SA,179,Adelaide,6649,Adelaide East,22029,NICHOLLS,Marie,4,N,N,DEM,Australian Democrats,11,-0.54
SA,179,Adelaide,6649,Adelaide East,20987,ELLIS,Kate,5,Y,Y,ALP,Australian Labor Party,445,-2.79
