2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:29 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,21100,HANNA,Rachel,1,N,N,FFP,Family First,155,1.44
VIC,197,Aston,2942,Bayswater,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,953,-0.79
VIC,197,Aston,2942,Bayswater,21084,TUDGE,Alan,3,Y,N,LP,Liberal,881,-3.47
VIC,197,Aston,2942,Bayswater,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,257,5.17
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,121,1.71
VIC,197,Aston,2944,Bayswater South,21100,HANNA,Rachel,1,N,N,FFP,Family First,44,1.93
VIC,197,Aston,2944,Bayswater South,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,354,-2.5
VIC,197,Aston,2944,Bayswater South,21084,TUDGE,Alan,3,Y,N,LP,Liberal,363,-4.7
VIC,197,Aston,2944,Bayswater South,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,109,7.08
VIC,197,Aston,2944,Bayswater South,999,Informal,Informal,999,N,N,,Informal,39,1.45
VIC,197,Aston,2945,Bayswater West,21100,HANNA,Rachel,1,N,N,FFP,Family First,83,1.4
VIC,197,Aston,2945,Bayswater West,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,770,3.52
VIC,197,Aston,2945,Bayswater West,21084,TUDGE,Alan,3,Y,N,LP,Liberal,783,-8.02
VIC,197,Aston,2945,Bayswater West,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,166,4.71
VIC,197,Aston,2945,Bayswater West,999,Informal,Informal,999,N,N,,Informal,99,1.9
VIC,197,Aston,2947,Blackwood Park,21100,HANNA,Rachel,1,N,N,FFP,Family First,47,-0.14
VIC,197,Aston,2947,Blackwood Park,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,574,3.73
VIC,197,Aston,2947,Blackwood Park,21084,TUDGE,Alan,3,Y,N,LP,Liberal,570,-5.7
VIC,197,Aston,2947,Blackwood Park,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,129,3.91
VIC,197,Aston,2947,Blackwood Park,999,Informal,Informal,999,N,N,,Informal,71,1.99
VIC,197,Aston,3564,Charlesworth Park,21100,HANNA,Rachel,1,N,N,FFP,Family First,122,1.58
VIC,197,Aston,3564,Charlesworth Park,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1101,-4.68
VIC,197,Aston,3564,Charlesworth Park,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1474,-0.05
VIC,197,Aston,3564,Charlesworth Park,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,303,4.85
VIC,197,Aston,3564,Charlesworth Park,999,Informal,Informal,999,N,N,,Informal,126,0.55
VIC,197,Aston,30188,Divisional Office (PREPOLL),21100,HANNA,Rachel,1,N,N,FFP,Family First,118,0.45
VIC,197,Aston,30188,Divisional Office (PREPOLL),21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1022,-2.78
VIC,197,Aston,30188,Divisional Office (PREPOLL),21084,TUDGE,Alan,3,Y,N,LP,Liberal,1744,2.97
VIC,197,Aston,30188,Divisional Office (PREPOLL),21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,234,1.57
VIC,197,Aston,30188,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,91,0.67
VIC,197,Aston,2949,Eastmont,21100,HANNA,Rachel,1,N,N,FFP,Family First,47,1.72
VIC,197,Aston,2949,Eastmont,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,529,0.51
VIC,197,Aston,2949,Eastmont,21084,TUDGE,Alan,3,Y,N,LP,Liberal,669,-4.12
VIC,197,Aston,2949,Eastmont,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,156,3.24
VIC,197,Aston,2949,Eastmont,999,Informal,Informal,999,N,N,,Informal,43,0.53
VIC,197,Aston,2952,Flamingo,21100,HANNA,Rachel,1,N,N,FFP,Family First,131,2.37
