2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:26 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,20799,JECKS,Dawn,1,N,N,GRN,The Greens,547,2.36
WA,235,Brand,7472,Baldivis,20857,GORDIN,Donna,2,N,N,LP,Liberal,2068,-0.45
WA,235,Brand,7472,Baldivis,21242,BURDETT,Robert,3,N,N,CDP,Christian Democratic Party,163,-0.32
WA,235,Brand,7472,Baldivis,21275,NEWHOUSE,Andrew,4,N,N,FFP,Family First,134,1.75
WA,235,Brand,7472,Baldivis,20909,GRAY,Gary,5,Y,Y,ALP,Australian Labor Party,1426,-2.04
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,180,1.05
WA,235,Brand,38449,Bertram,20799,JECKS,Dawn,1,N,N,GRN,The Greens,229,5.75
WA,235,Brand,38449,Bertram,20857,GORDIN,Donna,2,N,N,LP,Liberal,588,1.19
WA,235,Brand,38449,Bertram,21242,BURDETT,Robert,3,N,N,CDP,Christian Democratic Party,62,1.52
WA,235,Brand,38449,Bertram,21275,NEWHOUSE,Andrew,4,N,N,FFP,Family First,50,-0.01
WA,235,Brand,38449,Bertram,20909,GRAY,Gary,5,Y,Y,ALP,Australian Labor Party,682,-6.41
WA,235,Brand,38449,Bertram,999,Informal,Informal,999,N,N,,Informal,102,2.84
WA,235,Brand,7478,Calista,20799,JECKS,Dawn,1,N,N,GRN,The Greens,372,6.27
WA,235,Brand,7478,Calista,20857,GORDIN,Donna,2,N,N,LP,Liberal,678,4.52
WA,235,Brand,7478,Calista,21242,BURDETT,Robert,3,N,N,CDP,Christian Democratic Party,36,-1.48
WA,235,Brand,7478,Calista,21275,NEWHOUSE,Andrew,4,N,N,FFP,Family First,73,1.01
WA,235,Brand,7478,Calista,20909,GRAY,Gary,5,Y,Y,ALP,Australian Labor Party,1047,-7.45
WA,235,Brand,7478,Calista,999,Informal,Informal,999,N,N,,Informal,190,3.27
WA,235,Brand,7480,Cooloongup,20799,JECKS,Dawn,1,N,N,GRN,The Greens,392,6.36
WA,235,Brand,7480,Cooloongup,20857,GORDIN,Donna,2,N,N,LP,Liberal,751,-0.31
WA,235,Brand,7480,Cooloongup,21242,BURDETT,Robert,3,N,N,CDP,Christian Democratic Party,72,0.29
WA,235,Brand,7480,Cooloongup,21275,NEWHOUSE,Andrew,4,N,N,FFP,Family First,58,0.44
WA,235,Brand,7480,Cooloongup,20909,GRAY,Gary,5,Y,Y,ALP,Australian Labor Party,1377,-4.28
WA,235,Brand,7480,Cooloongup,999,Informal,Informal,999,N,N,,Informal,186,1.78
WA,235,Brand,30226,Divisional Office (PREPOLL),20799,JECKS,Dawn,1,N,N,GRN,The Greens,1,-2.82
WA,235,Brand,30226,Divisional Office (PREPOLL),20857,GORDIN,Donna,2,N,N,LP,Liberal,11,-4.36
