source,pollster,time,seat,primary,ALP,COA,GRN,OTH,tweet_id
ghost,Newspoll,2016-06-18 02:13:26,Batman,true,34.0,23.0,34.0,0,7.43989972857e+17
ghost,Newspoll,2016-06-17 14:26:39,Lindsay,false,47.0,53.0,N/A,N/A,7.43812101878e+17
ghost,Newspoll,2016-06-17 14:25:19,Robertson,false,49.0,51.0,N/A,N/A,7.43811767101e+17
ghost,Newspoll,2016-06-17 14:24:20,Macarthur,false,50.0,50.0,N/A,N/A,7.43811520988e+17
ghost,Newspoll,2016-06-17 14:22:17,Bass,false,48.0,52.0,N/A,N/A,7.43811005466e+17
ghost,Galaxy,2016-06-17 14:20:40,Sturt,false,0,58.0,N/A,N/A,7.43810596534e+17
ghost,Newspoll,2016-06-17 14:18:31,Mayo,false,0,48.0,N/A,N/A,7.43810055758e+17
ghost,Newspoll,2016-06-17 14:14:41,Batman,false,53.0,0,N/A,N/A,7.43809091119e+17
ghost,Newspoll,2016-06-17 14:13:04,Corangamite,false,49.0,51.0,N/A,N/A,7.43808683722e+17
ghost,Newspoll,2016-06-17 14:11:32,Dunkley,false,48.0,52.0,N/A,N/A,7.43808297493e+17
ghost,Newspoll,2016-06-17 14:09:13,Burt,false,52.0,48.0,N/A,N/A,7.43807716524e+17
ghost,Newspoll,2016-06-17 13:29:55,Herbert,false,46.0,54.0,N/A,N/A,7.43797827856e+17
ghost,Newspoll,2016-06-17 13:28:52,Capricornia,false,50.0,50.0,N/A,N/A,7.43797560851e+17
ghost,Newspoll,2016-06-17 13:27:58,Brisbane,false,49.0,51.0,N/A,N/A,7.43797336582e+17
ghost,ReachTEL,2016-06-17 08:21:28,Hasluck,false,47.0,53.0,N/A,N/A,7.43720202446e+17
ghost,ReachTEL,2016-06-10 08:10:27,Grey,false,0,46.0,N/A,N/A,7.41180716407e+17
ghost,ReachTEL,2016-06-03 08:25:32,Longman,true,35.9,42.5,7.4,0,7.38647794849e+17
ghost,ReachTEL,2016-06-03 08:07:24,Longman,false,50.0,50.0,N/A,N/A,7.38643233241e+17
ghost,ReachTEL,2016-05-27 08:07:30,Corangamite,false,46.0,54.0,N/A,N/A,7.36106542559e+17
ghost,ReachTEL,2016-05-20 08:23:25,Macarthur,false,51.0,49.0,N/A,N/A,7.33573834566e+17
ghost,ReachTEL,2016-05-15 00:27:35,Lyons,true,29.2,45.8,13.3,0,7.31642143866e+17
ghost,ReachTEL,2016-05-15 00:25:03,Lyons,false,45.9,54.1,N/A,N/A,7.31641506848e+17
ghost,ReachTEL,2016-05-15 00:23:58,Franklin,true,34.3,40.7,15.9,0,7.31641235967e+17
ghost,ReachTEL,2016-05-15 00:22:32,Franklin,false,53.1,46.9,N/A,N/A,7.31640873059e+17
ghost,ReachTEL,2016-05-15 00:20:29,Denison,true,22.1,27.3,13.3,33.2,7.31640361131e+17
ghost,ReachTEL,2016-05-15 00:17:18,Denison,false,0,34.0,N/A,N/A,7.31639558409e+17
ghost,ReachTEL,2016-05-15 00:16:09,Braddon,true,34.4,46.4,6.6,0,7.3163926865e+17
ghost,ReachTEL,2016-05-15 00:14:43,Braddon,false,46.7,53.3,N/A,N/A,7.31638907054e+17
ghost,ReachTEL,2016-05-15 00:13:59,Bass,false,48.1,51.9,N/A,N/A,7.31638723239e+17
ghost,ReachTEL,2016-05-15 00:12:29,Bass,true,36.0,46.2,9.7,0,7.31638345487e+17
