source,pollster,time,state,primary,ALP,COA,GRN,OTH,tweet_id
ghost,Morgan,2016-02-04 06:27:36,Federal,true,30.5,43.0,21.5,0,6.95131572195e+17
ghost,Morgan,2016-02-04 06:27:00,Federal,true,30.5,43.0,21.5,0,6.95132e+17
ghost,Morgan,2016-02-04 06:26:52,Federal,true,27.0,35.5,9.5,0,6.95131387033e+17
ghost,Morgan,2016-02-04 06:26:23,SA,false,47.0,53.0,N/A,N/A,6.95131266694e+17
ghost,Morgan,2016-02-04 06:26:00,SA,false,47.0,53.0,N/A,N/A,6.95131e+17
ghost,Morgan,2016-02-04 06:26:00,Federal,true,27.0,35.5,9.5,0,6.95131e+17
ghost,Morgan,2016-02-04 06:25:46,Federal,true,32.0,39.5,11.5,7.5,6.95131111505e+17
ghost,Morgan,2016-02-04 06:25:00,Federal,true,32.0,39.5,11.5,7.5,6.95131e+17
ghost,Morgan,2016-02-04 06:24:38,WA,false,45.5,54.5,N/A,N/A,6.95130824636e+17
ghost,Morgan,2016-02-04 06:24:00,WA,false,45.5,54.5,N/A,N/A,6.95131e+17
ghost,Morgan,2016-02-04 06:23:52,Federal,true,36.5,45.5,9.0,0,6.95130631236e+17
ghost,Morgan,2016-02-04 06:23:19,QLD,false,48.0,52.0,N/A,N/A,6.95130493697e+17
ghost,Morgan,2016-02-04 06:23:00,QLD,false,48.0,52.0,N/A,N/A,6.9513e+17
ghost,Morgan,2016-02-04 06:23:00,Federal,true,36.5,45.5,9.0,0,6.95131e+17
ghost,Morgan,2016-02-04 06:22:44,Federal,true,39.0,41.0,13.0,0,6.95130348234e+17
ghost,Morgan,2016-02-04 06:22:02,VIC,false,53.5,46.5,N/A,N/A,6.95130170924e+17
ghost,Morgan,2016-02-04 06:22:00,Federal,true,39.0,41.0,13.0,0,6.9513e+17
ghost,Morgan,2016-02-04 06:22:00,VIC,false,53.5,46.5,N/A,N/A,6.9513e+17
ghost,Morgan,2016-02-04 06:21:27,Federal,true,24.5,52.0,14.5,0,6.95130023452e+17
ghost,Morgan,2016-02-04 06:21:04,NSW,false,40.5,59.5,N/A,N/A,6.95129929663e+17
ghost,Morgan,2016-02-04 06:21:00,NSW,false,40.5,59.5,N/A,N/A,6.9513e+17
ghost,Morgan,2016-02-04 06:21:00,Federal,true,24.5,52.0,14.5,0,6.9513e+17
ghost,Essential,2016-02-02 06:28:13,Federal,true,35.0,44.0,11.0,0,6.94406953452e+17
ghost,Essential,2016-02-02 06:28:00,Federal,true,35.0,44.0,11.0,0,6.94407e+17
ghost,Essential,2016-02-02 06:27:50,Federal,false,49.0,51.0,N/A,N/A,6.94406856648e+17
ghost,Essential,2016-02-02 06:27:00,Federal,false,49.0,51.0,N/A,N/A,6.94407e+17
ghost,Newspoll,2016-01-31 13:03:44,Federal,true,34.0,46.0,11.0,0,6.9378171324e+17
ghost,Newspoll,2016-01-31 13:03:00,Federal,true,34.0,46.0,11.0,0,6.93782e+17
ghost,Newspoll,2016-01-31 12:13:55,Federal,false,47.0,53.0,N/A,N/A,6.9376917639e+17
ghost,Newspoll,2016-01-31 12:13:00,Federal,false,47.0,53.0,N/A,N/A,6.93769e+17
ghost,Essential,2016-01-27 06:37:00,Federal,true,35.0,44.0,10.0,0,6.92234834803e+17
ghost,Essential,2016-01-27 06:37:00,Federal,true,35.0,44.0,10.0,0,6.92235e+17
ghost,Essential,2016-01-27 06:36:19,Federal,false,48.0,52.0,N/A,N/A,6.92234663327e+17
ghost,Essential,2016-01-27 06:36:00,Federal,false,48.0,52.0,N/A,N/A,6.92235e+17
ghost,Galaxy,2016-01-26 06:10:31,Federal,true,27.0,50.0,0,2.0,6.91865784596e+17
ghost,Galaxy,2016-01-26 06:10:00,Federal,true,27.0,50.0,0,2.0,6.91866e+17
ghost,Morgan,2016-01-25 07:39:48,Federal,true,21.5,31.5,0,0,6.91525865038e+17
ghost,Morgan,2016-01-25 07:39:00,Federal,true,21.5,31.5,0,0,6.91526e+17
ghost,Morgan,2016-01-25 07:29:29,Federal,true,28.0,43.5,15.0,0,6.91523266033e+17
ghost,Morgan,2016-01-25 07:29:00,Federal,true,28.0,43.5,15.0,0,6.91523e+17
ghost,Morgan,2016-01-25 07:28:48,Federal,false,45.0,55.0,N/A,N/A,6.91523093949e+17
ghost,Morgan,2016-01-25 07:28:00,Federal,false,45.0,55.0,N/A,N/A,6.91523e+17
ghost,ReachTEL,2016-01-22 08:39:19,Federal,true,31.8,48.5,10.8,0,6.90453677262e+17
ghost,ReachTEL,2016-01-22 08:39:00,Federal,true,31.8,48.5,10.8,0,6.90454e+17
ghost,ReachTEL,2016-01-22 07:50:08,Federal,false,45.0,55.0,N/A,N/A,6.90441298768e+17
ghost,ReachTEL,2016-01-22 07:50:00,Federal,false,45.0,55.0,N/A,N/A,6.90441e+17
ghost,Essential,2016-01-19 08:21:54,Federal,false,0,0,N/A,N/A,6.89362132027e+17
ghost,Essential,2016-01-19 08:21:00,Federal,false,0,0,N/A,N/A,6.89362e+17
ghost,Essential,2016-01-19 08:17:38,Federal,true,35.0,44.0,10.0,2.0,6.89361055639e+17
ghost,Essential,2016-01-19 08:17:13,Federal,false,49.0,51.0,N/A,N/A,6.89360952656e+17
ghost,Essential,2016-01-19 08:17:00,Federal,false,49.0,51.0,N/A,N/A,6.89361e+17
ghost,Essential,2016-01-19 08:17:00,Federal,true,35.0,44.0,10.0,2.0,6.89361e+17
ghost,Newspoll,2016-01-13 13:11:45,Federal,true,33.0,48.0,10.0,0,6.87260745865e+17
ghost,Newspoll,2016-01-13 13:11:00,Federal,true,33.0,48.0,10.0,0,6.87261e+17
ghost,Newspoll,2016-01-13 13:10:54,NSW,false,44.0,56.0,N/A,N/A,6.87260531708e+17
ghost,Newspoll,2016-01-13 13:10:00,NSW,false,44.0,56.0,N/A,N/A,6.87261e+17
ghost,Newspoll,2016-01-12 13:14:03,Federal,true,36.0,38.0,9.0,0,6.86898936964e+17
ghost,Newspoll,2016-01-12 13:13:01,SA,false,51.0,49.0,N/A,N/A,6.86898677647e+17
ghost,Newspoll,2016-01-11 13:15:15,Federal,true,39.0,38.0,12.0,5.0,6.86536852414e+17
ghost,Newspoll,2016-01-11 13:13:52,VIC,false,52.0,48.0,N/A,N/A,6.86536506262e+17
ghost,Morgan,2016-01-11 07:04:04,Federal,true,29.0,47.0,13.0,0,6.86443442395e+17
ghost,Morgan,2016-01-11 07:03:27,Federal,false,44.0,56.0,N/A,N/A,6.86443287138e+17
ghost,ReachTEL,2016-01-07 08:31:32,Federal,true,17.2,43.9,0,0,6.85015903084e+17
