PollStartDate,PollEndDate,PollMedianDate,Pollster,LIB,NAT,ALP,DEM,GRN,TASF,ONP,PUP,OTH,N
1/01/00,30/04/00,1/03/00,Morgan,28,,55.5,2,6.5,3,1,,4,994
1/05/00,31/08/00,1/07/00,Morgan,28,,50.5,2,9.5,4,0.5,,5.5,951
1/09/00,31/12/00,31/10/00,Morgan,30,0.5,52,2,9,3,0.5,,3,860
1/01/01,30/04/01,1/03/01,Morgan,29,0.5,50,1.5,9,3.5,1.5,,5,1127
1/05/01,31/08/01,1/07/01,Morgan,23,0,57,2,9.5,4,1,,3.5,
1/09/01,31/12/01,31/10/01,Morgan,28.5,0.5,50,2.5,11.5,2.5,0.5,,4,950
1/01/02,30/04/02,1/03/02,Morgan,27.5,1,48,1.5,13.5,3.5,0.5,,4.5,910
17/07/02,18/07/02,17/07/02,Newspoll,24,,53,,20,,,,3,
1/09/02,31/12/02,31/10/02,Morgan,24.5,,51.5,0.5,18.5,1.5,,,3.5,1058
1/01/03,30/04/03,1/03/03,Morgan,23,,52,1.5,14.5,3.5,,,5.5,1070
1/05/03,31/08/03,1/07/03,Morgan,25,,50,1.5,15,4,,,4.5,
1/09/03,31/12/03,31/10/03,Morgan,23.5,,52.5,1,16,1.5,,,5.5,940
1/01/04,30/04/04,1/03/04,Morgan,26,,49,1.5,16.5,2.5,,,4.5,1040
1/05/04,31/08/04,1/07/04,Morgan,25.5,,52.5,1,14.5,2.5,,,4,1045
1/09/04,31/12/04,31/10/04,Morgan,31,,44.5,0.5,18,3,,,3,1075
1/01/05,30/04/05,1/03/05,Morgan,33,,43.5,,15.5,4,,,4,1009
1/05/05,31/08/05,1/07/05,Morgan,32,,46.5,,15,3,,,3.5,1079
1/09/05,31/12/05,31/10/05,Morgan,27.5,,45.5,,18,3,,,6,1138
1/01/06,11/03/06,4/02/06,Morgan,28.5,,45.5,,18,3.5,,,4.5,596
1/01/06,30/04/06,1/03/06,Morgan,28.5,,48,,17,2,,,4.5,
14/03/06,15/03/06,14/03/06,Newspoll,29,,50,,17,,,,4,
1/05/06,31/08/06,1/07/06,Morgan,28.5,,47.5,,17.5,2,,,4.5,1294
1/09/06,31/12/06,31/10/06,Morgan,34.5,,42.5,,17.5,1.5,,,4,1201
14/03/10,17/03/10,15/03/10,Newspoll,36.5,,35,,25.5,,,,3,
9/03/14,12/03/14,10/03/14,Newspoll,53,,23,,16,,,,8,
26/09/14,29/09/14,27/09/14,Morgan,39.5,,33.5,,19.5,,,3,4.5,
24/10/14,27/10/14,25/10/14,Morgan,41,,34,,19,,,2.5,3.5,
16/01/15,18/01/15,17/01/15,Morgan,38.5,,39.5,,17,,,1,4,
14/02/15,16/02/15,15/02/15,Morgan,39,,39.5,,14,,,2.5,5,
13/03/15,15/03/15,14/03/15,Morgan,39,,41,,15.5,,,0.5,4,
