2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","609","56.180"
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","475","43.820"
"ACT","101","Canberra","0","ABSENT","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","400","82.820"
"ACT","101","Canberra","0","ABSENT","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","83","17.180"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1721","48.680"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1814","51.320"
"ACT","101","Canberra","0","POSTAL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","551","78.050"
"ACT","101","Canberra","0","POSTAL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","155","21.950"
"ACT","101","Canberra","0","PRE_POLL","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","2415","53.280"
"ACT","101","Canberra","0","PRE_POLL","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","2118","46.720"
"ACT","101","Canberra","0","PRE_POLL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1138","80.250"
"ACT","101","Canberra","0","PRE_POLL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","280","19.750"
"ACT","101","Canberra","0","PROVISIONAL","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","127","51.420"
"ACT","101","Canberra","0","PROVISIONAL","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","120","48.580"
"ACT","101","Canberra","0","PROVISIONAL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","52","77.610"
"ACT","101","Canberra","0","PROVISIONAL","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","15","22.390"
"ACT","101","Canberra","8761","Chapman","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1237","53.670"
"ACT","101","Canberra","8761","Chapman","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1068","46.330"
"ACT","101","Canberra","8761","Chapman","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","451","83.670"
"ACT","101","Canberra","8761","Chapman","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","88","16.330"
"ACT","101","Canberra","8763","Chisholm","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","831","53.930"
"ACT","101","Canberra","8763","Chisholm","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","710","46.070"
"ACT","101","Canberra","8763","Chisholm","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","85","31.020"
"ACT","101","Canberra","8763","Chisholm","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","189","68.980"
"ACT","101","Canberra","8764","Curtin","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","981","42.840"
"ACT","101","Canberra","8764","Curtin","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1309","57.160"
"ACT","101","Canberra","8764","Curtin","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","562","86.060"
"ACT","101","Canberra","8764","Curtin","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","91","13.940"
