Month,AvWeeklyEarning
Nov-1994,542.40
May-1995,548.90
Nov-1995,555.40
May-1996,565.50
Nov-1996,570.60
May-1997,578.10
Nov-1997,592.60
May-1998,596.00
Nov-1998,603.40
May-1999,610.40
Nov-1999,613.00
May-2000,633.80
Nov-2000,643.10
May-2001,660.30
Nov-2001,673.60
May-2002,683.80
Nov-2002,699.40
May-2003,721.40
Nov-2003,740.30
May-2004,741.40
Nov-2004,761.70
May-2005,784.20
Nov-2005,800.60
May-2006,819.70
Nov-2006,837.40
May-2007,858.50
Nov-2007,873.20
May-2008,885.00
Nov-2008,909.50
May-2009,918.60
Nov-2009,955.00
May-2010,977.10
Nov-2010,996.10
May-2011,1015.20
Nov-2011,1033.70
May-2012,1053.20
Nov-2012,1081.30
May-2013,1105.00
Nov-2013,1114.20
May-2014,1123.00
Nov-2014,1128.70
