StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPos,Elected,Incumbent,PartyNm,OrdVotes,Swing
NSW,1,Sydney,11,TownHall,1,ABBOTT,Tony,1,N,N,LIB,100,-2
NSW,1,Sydney,11,TownHall,2,SHORTEN,Bill,2,Y,Y,LAB,300,2
NSW,1,Sydney,11,TownHall,3,RHIANNON,Lee,3,N,N,GRN,200,0
NSW,1,Sydney,12,OperaHouse,1,ABBOTT,Tony,1,N,N,LIB,150,2
NSW,1,Sydney,12,OperaHouse,2,SHORTEN,Bill,2,Y,Y,LAB,250,-1
NSW,1,Sydney,12,OperaHouse,3,RHIANNON,Lee,3,N,N,GRN,150,-1
NSW,2,Newcastle,21,City,4,HOWARD,John,1,Y,N,LIB,300,3
NSW,2,Newcastle,21,City,5,RUDD,Kevin,2,N,Y,LAB,100,-1
NSW,2,Newcastle,21,City,6,BROWN,Bob,3,N,N,GRN,50,-2
NSW,2,Newcastle,22,Suburbs,4,HOWARD,John,1,Y,N,LIB,200,2
NSW,2,Newcastle,22,Suburbs,5,RUDD,Kevin,2,N,Y,LAB,200,-1
NSW,2,Newcastle,22,Suburbs,6,BROWN,Bob,3,N,N,GRN,50,-1
