Date,State,ALP,LIB,NAT,DEM,GRN,IND,ONP,FF,KAP,PUP,CD,OTH,ALP_TPP,N
28/03/15,NSW,34.1,36.2,9.5,,10.4,,,,,,3.2,6.6,,
25/03/11,NSW,25.55,38.58,12.56,,10.28,8.84,,0.45,,,3.12,0.6,35.78,
24/03/07,NSW,38.98,26.94,10.05,0.5,8.95,9.18,,,,,2.47,2.82,52.26,
22/03/03,NSW,42.68,24.72,9.63,,8.25,8.19,1.28,,,,1.73,3.52,,
15/03/14,SA,35.8,44.8,,,8.7,3.7,,6.2,,,,0.7,47,
20/03/10,SA,37.5,41.7,1,,8.1,4.7,,5.4,,,,1.6,48.4,
18/03/06,SA,45.2,34,2.1,2.9,6.5,2.5,0.3,5.9,,,,0.6,56.8,
9/02/02,SA,36.34,39.97,1.45,7.49,2.36,4.25,2.41,2.64,,,,3.09,49.1,
9/03/13,WA,33.13,47.1,6.05,,8.39,2.91,,0.59,,,1.81,0.02,42.71,
6/09/08,WA,35.84,38.39,4.87,,11.92,4.35,,1.95,,,2.58,0.1,48.15,
25/02/05,WA,41.88,35.64,3.69,,7.57,4.16,1.64,2.02,,,2.93,0.47,52.28,
10/02/01,WA,37.24,31.16,3.26,2.64,7.27,7.4,9.58,,,,0.96,0.49,52.92,
29/11/14,VIC,38.1,36.46,5.53,,11.48,3.35,,1.11,,,0.79,3.18,51.99,
27/11/10,VIC,36.25,38.03,6.75,,11.21,,,2.29,,,,5.47,48.42,
25/11/06,VIC,43.06,34.44,5.17,,10.04,,,4.29,,,,3,54.39,
30/11/02,VIC,47.95,33.91,4.3,,9.73,3.4,,,,,,0.71,57.78,
31/01/15,QLD,37.47,41.32,,,8.43,3.63,0.92,1.19,1.93,,,5.11,51.1,
24/03/12,QLD,26.66,49.66,,,7.53,3.16,0.1,1.36,11.53,,,0,37.2,
21/03/09,QLD,42.25,41.6,,,8.37,5.65,0.38,0.82,,,,0.93,50.9,
9/09/06,QLD,46.92,20.1,17.82,,7.99,4.68,0.6,1.89,,,,0,55,
7/02/04,QLD,47.01,18.5,16.96,,6.76,5.83,4.88,,,,,0.06,,
17/02/01,QLD,48.93,14.32,14.16,0.34,2.51,8.61,8.69,,,,,2.44,,
7/09/13,AUS,33.38,40.94,4.61,,8.65,1.37,,,1.04,5.49,,4.52,46.51,
21/08/10,AUS,37.99,39.89,3.77,,11.76,2.52,,,,,,4.07,50.12,
24/11/07,AUS,43.38,36.6,5.49,0.72,7.79,2.23,,1.99,,,,1.8,52.7,
9/10/04,AUS,37.63,40.81,5.89,1.24,7.19,2.44,1.19,2.01,,,,1.6,47.26,
10/11/01,AUS,37.84,37.4,5.61,5.41,4.96,2.71,4.34,,,,0.6,1.13,49.05,
