SATISFIED,DISSATISFIED,UNCOMMITTED,
,%,%,%
29 Nov - 1 Dec 1985,56,35,9
13-15 December 1985,60,30,10
24-26 January 1986,62,32,6
21-23 February 1986,55,38,7
21-23 March 1986,51,37,12
18-20 April 1986,59,31,10
16-18 May 1986,52,38,10
20-22 June 1986,50,43,7
18-20 July 1986,46,47,7
22-24 August 1986,50,43,7
19-21 September 1986,43,51,6
17-19 October 1986,44,49,7
14-16 November 1986,45,49,6
12-14 December 1986,42,50,8
30 Jan - 1 Feb & 6-8 Feb 1987,47,45,8
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
13-15 & 27 Feb - 1 March 1987,45,49,6
13-15 March 1987,44,48,8
27-29 March 1987,46,46,8
3-5 & 10-12 April 1987,49,43,8
1-3 May 1987,48,42,10
15-17 May 1987,55,37,8
5-7 June 1987,54,42,4
12-14 June 1987,56,39,5
19-21 June 1987,53,42,5
26-28 June 1987,53,42,5
3-5 July 1987,52,43,5
6-8 July 1987,54,42,4
8-9 July 1987,53,43,4
31 July - 2 Aug & 21-23 Aug 1987,56,37,7
18-20 September 1987,55,40,5
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
2-4 & 16-18 October 1987,49,44,7
30 Oct - 1 Nov & 6-8 Nov 1987,53,40,7
20-22 & 27-29 November 1987,53,42,5
4-6 & 11-13 December 1987,56,38,6
12-14 & 26-28 February 1988,45,47,8
11-13 & 25-27 March 1988,43,49,8
8-10 & 29 April - 1 May 1988,46,46,8
27-29 May 1988,47,45,8
10-12 & 24-26 June 1988,51,41,8
8-10 & 22-24 July 1988,50,42,8
"29-31 July, 5-7 & 19-21 August 1988",53,41,6
9-11 & 23-25 September 1988,52,42,6
7-9 & 21-23 October 1988,51,41,8
4-6 & 18-20 November 1988,54,39,7
2-4 & 9-11 December 1988,53,40,7
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
3-5 & 17-19 February 1989,46,47,7
3-5 & 17-19 March 1989,42,51,7
7-9 & 21-24 April 1989,44,50,6
5-7 May 1989,48,45,7
19-21 May 1989,42,50,8
2-4 & 16-18 June 1989,40,53,7
23-25 June 1989,34,59,7
7-9 & 21-23 July 1989,40,52,8
11-13 & 25-27 August 1989,45,49,6
8-10 & 22-24 September 1989,41,51,8
6-8 & 20-22 October 1989,39,53,8
"10-12, 17-19 & 24, 26 November 1989",38,54,8
1-3 & 8-10 December 1989,41,51,8
2-4 & 16-18 February 1990,43,49,8
2-4 March 1990,41,52,7
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
16-18 March 1990,40,53,7
20-22 March 1990,42,52,6
30 March - 1 April & 20-22 April 1990,43,50,7
4-6 & 18-20 May 1990,43,51,6
1-3 & 15-17 June 1990,38,53,9
"29 June - 1 July, 13-15 & 27-29 July 1990",37,55,8
10-12 & 24-26 August 1990,40,52,8
"7-9, 14-16 & 21-23 September 1990",38,54,8
"5-7, 19-21 & 26-28 October 1990",31,62,7
"9-11, 16-18 & 23-25 November 1990",31,59,10
30 Nov - 2 Dec & 7-9 Dec 1990,31,62,7
"1-3, 15-17 & 22-24 February 1991",40,52,8
1-3 & 15-17 March 1991,38,56,6
5-7 & 19-21 April 1991,32,62,6
3-5 & 17-19 May 1991,34,59,7
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
14-16 & 28-30 June 1991,38,56,6
12-14 & 26-28 July 1991,34,57,9
9-11 & 23-25 August 1991,34,57,9
"6-8, 20-22 & 27-29 September 1991",36,57,7
