,PollStartDate,PollEndDate,PollMedianDate,Satisfied,Dissatisfied,NetSat,Uncommitted
0,29/11/1985,1/12/1985,1985-11-30 00:00:00,56,35,21,9
1,13/12/1985,15/12/1985,1985-12-14 00:00:00,60,30,30,10
2,24/1/1986,26/1/1986,1986-01-25 00:00:00,62,32,30,6
3,21/2/1986,23/2/1986,1986-02-22 00:00:00,55,38,17,7
4,21/3/1986,23/3/1986,1986-03-22 00:00:00,51,37,14,12
5,18/4/1986,20/4/1986,1986-04-19 00:00:00,59,31,28,10
6,16/5/1986,18/5/1986,1986-05-17 00:00:00,52,38,14,10
7,20/6/1986,22/6/1986,1986-06-21 00:00:00,50,43,7,7
8,18/7/1986,20/7/1986,1986-07-19 00:00:00,46,47,-1,7
9,22/8/1986,24/8/1986,1986-08-23 00:00:00,50,43,7,7
10,19/9/1986,21/9/1986,1986-09-20 00:00:00,43,51,-8,6
11,17/10/1986,19/10/1986,1986-10-18 00:00:00,44,49,-5,7
12,14/11/1986,16/11/1986,1986-11-15 00:00:00,45,49,-4,6
13,12/12/1986,14/12/1986,1986-12-13 00:00:00,42,50,-8,8
14,30/1/1987,1/2/1987,1987-01-31 00:00:00,47,45,2,8
15,13/2/1987,1/3/1987,1987-02-21 00:00:00,45,49,-4,6
16,13/3/1987,15/3/1987,1987-03-14 00:00:00,44,48,-4,8
17,27/3/1987,29/3/1987,1987-03-28 00:00:00,46,46,0,8
18,3/4/1987,5/4/1987,1987-04-04 00:00:00,49,43,6,8
19,1/5/1987,3/5/1987,1987-05-02 00:00:00,48,42,6,10
20,15/5/1987,17/5/1987,1987-05-16 00:00:00,55,37,18,8
21,5/6/1987,7/6/1987,1987-06-06 00:00:00,54,42,12,4
22,12/6/1987,14/6/1987,1987-06-13 00:00:00,56,39,17,5
23,19/6/1987,21/6/1987,1987-06-20 00:00:00,53,42,11,5
24,26/6/1987,28/6/1987,1987-06-27 00:00:00,53,42,11,5
25,3/7/1987,5/7/1987,1987-07-04 00:00:00,52,43,9,5
26,6/7/1987,8/7/1987,1987-07-07 00:00:00,54,42,12,4
27,8/7/1987,9/7/1987,1987-07-08 12:00:00,53,43,10,4
28,31/7/1987,2/8/1987,1987-08-01 00:00:00,56,37,19,7
29,18/9/1987,20/9/1987,1987-09-19 00:00:00,55,40,15,5
30,2/10/1987,4/10/1987,1987-10-03 00:00:00,49,44,5,7
31,30/10/1987,1/11/1987,1987-10-31 00:00:00,53,40,13,7
32,20/11/1987,22/11/1987,1987-11-21 00:00:00,53,42,11,5
33,4/12/1987,6/12/1987,1987-12-05 00:00:00,56,38,18,6
34,12/2/1988,14/2/1988,1988-02-13 00:00:00,45,47,-2,8
35,11/3/1988,13/3/1988,1988-03-12 00:00:00,43,49,-6,8
36,8/4/1988,1/4/1988,1988-04-04 12:00:00,46,46,0,8
37,27/5/1988,29/5/1988,1988-05-28 00:00:00,47,45,2,8
38,10/6/1988,12/6/1988,1988-06-11 00:00:00,51,41,10,8
39,8/7/1988,10/7/1988,1988-07-09 00:00:00,50,42,8,8
40,29/7/1988,21/8/1988,1988-08-09 12:00:00,53,41,12,6
41,9/9/1988,11/9/1988,1988-09-10 00:00:00,52,42,10,6
42,7/10/1988,9/10/1988,1988-10-08 00:00:00,51,41,10,8
43,4/11/1988,6/11/1988,1988-11-05 00:00:00,54,39,15,7
44,2/12/1988,4/12/1988,1988-12-03 00:00:00,53,40,13,7
45,3/2/1989,5/2/1989,1989-02-04 00:00:00,46,47,-1,7
46,3/3/1989,5/3/1989,1989-03-04 00:00:00,42,51,-9,7
47,7/4/1989,9/4/1989,1989-04-08 00:00:00,44,50,-6,6
48,5/5/1989,7/5/1989,1989-05-06 00:00:00,48,45,3,7
49,19/5/1989,21/5/1989,1989-05-20 00:00:00,42,50,-8,8
50,2/6/1989,4/6/1989,1989-06-03 00:00:00,40,53,-13,7
51,23/6/1989,25/6/1989,1989-06-24 00:00:00,34,59,-25,7
52,7/7/1989,9/7/1989,1989-07-08 00:00:00,40,52,-12,8
53,11/8/1989,13/8/1989,1989-08-12 00:00:00,45,49,-4,6
54,8/9/1989,10/9/1989,1989-09-09 00:00:00,41,51,-10,8
55,6/10/1989,8/10/1989,1989-10-07 00:00:00,39,53,-14,8
56,10/11/1989,26/11/1989,1989-11-18 00:00:00,38,54,-16,8
57,1/12/1989,3/12/1989,1989-12-02 00:00:00,41,51,-10,8
58,2/2/1990,4/2/1990,1990-02-03 00:00:00,43,49,-6,8
59,2/3/1990,4/3/1990,1990-03-03 00:00:00,41,52,-11,7
60,16/3/1990,18/3/1990,1990-03-17 00:00:00,40,53,-13,7
61,20/3/1990,22/3/1990,1990-03-21 00:00:00,42,52,-10,6
62,30/3/1990,1/4/1990,1990-03-31 00:00:00,43,50,-7,7
63,4/5/1990,6/5/1990,1990-05-05 00:00:00,43,51,-8,6
64,1/6/1990,3/6/1990,1990-06-02 00:00:00,38,53,-15,9
65,29/6/1990,29/7/1990,1990-07-14 00:00:00,37,55,-18,8
66,10/8/1990,12/8/1990,1990-08-11 00:00:00,40,52,-12,8
67,7/9/1990,21/9/1990,1990-09-14 00:00:00,38,54,-16,8
68,5/10/1990,26/10/1990,1990-10-15 12:00:00,31,62,-31,7
69,9/11/1990,23/11/1990,1990-11-16 00:00:00,31,59,-28,10
70,30/11/1990,2/12/1990,1990-12-01 00:00:00,31,62,-31,7
71,1/2/1991,22/2/1991,1991-02-11 12:00:00,40,52,-12,8
72,1/3/1991,3/3/1991,1991-03-02 00:00:00,38,56,-18,6
73,5/4/1991,7/4/1991,1991-04-06 00:00:00,32,62,-30,6
74,3/5/1991,5/5/1991,1991-05-04 00:00:00,34,59,-25,7
75,14/6/1991,16/6/1991,1991-06-15 00:00:00,38,56,-18,6
76,12/7/1991,14/7/1991,1991-07-13 00:00:00,34,57,-23,9
77,9/8/1991,11/8/1991,1991-08-10 00:00:00,34,57,-23,9
78,6/9/1991,27/9/1991,1991-09-16 12:00:00,36,57,-21,7
79,11/10/1991,13/10/1991,1991-10-12 00:00:00,32,61,-29,7
80,8/11/1991,10/11/1991,1991-11-09 00:00:00,33,59,-26,8
81,22/11/1991,24/11/1991,1991-11-23 00:00:00,30,61,-31,9
82,29/11/1991,1/12/1991,1991-11-30 00:00:00,27,64,-37,9
83,17/1/1992,19/1/1992,1992-01-18 00:00:00,21,42,-21,37
84,31/1/1992,2/2/1992,1992-02-01 00:00:00,27,45,-18,28
85,14/2/1992,16/2/1992,1992-02-15 00:00:00,27,47,-20,26
86,28/2/1992,1/3/1992,1992-02-29 00:00:00,35,46,-11,19
87,13/3/1992,15/3/1992,1992-03-14 00:00:00,37,47,-10,16
88,27/3/1992,29/3/1992,1992-03-28 00:00:00,37,49,-12,14
89,10/4/1992,12/4/1992,1992-04-11 00:00:00,35,50,-15,15
90,1/5/1992,3/5/1992,1992-05-02 00:00:00,29,61,-32,10
91,15/5/1992,17/5/1992,1992-05-16 00:00:00,30,60,-30,10
