PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,NAT,DEM,GRN,ONP,PUP,FF,OTH,COA,ALP_TPP,N
1/01/00,31/01/00,16/01/00,Morgan,50.5,29,4.5,3,3.5,2.5,,,7.5,33.5,61,1404
1/01/00,29/02/00,30/01/00,Newspoll,45,40,,3,3,2,,,7,40,,
1/02/00,29/02/00,15/02/00,Morgan,49,29,4.5,4,3.5,3,,,7.5,33.5,59.5,
1/03/00,31/03/00,16/03/00,Morgan,51,27,4,4,3.5,3,,,7.5,31,62,1391
1/03/00,30/04/00,31/03/00,Newspoll,44,41,,4,3,1,,,7,41,,
1/04/00,30/04/00,15/04/00,Morgan,49.5,25.5,4,5.5,4,3.5,,,8,29.5,62.5,1667
1/05/00,31/05/00,16/05/00,Morgan,48,29,3.5,5,2.5,4,,,8,32.5,59.5,1444
1/05/00,30/06/00,31/05/00,Newspoll,47,38,,3,4,2,,,6,38,,
1/06/00,30/06/00,15/06/00,Morgan,50.5,25.5,4,4,4,4,,,8,29.5,63,1704
1/07/00,31/07/00,16/07/00,Morgan,49.5,28,3.5,4.5,3.5,3.5,,,7.5,31.5,61,1873
1/07/00,31/08/00,31/07/00,Newspoll,44,42,,3,3,2,,,6,42,,
1/08/00,31/08/00,16/08/00,Morgan,48.5,29.5,3.5,5,4,3,,,6.5,33,60,1375
1/09/00,30/09/00,15/09/00,Morgan,50,28.5,5,4,2.5,2.5,,,7.5,33.5,61,1143
1/09/00,31/10/00,1/10/00,Newspoll,46,38,,5,3,2,,,6,38,,
1/10/00,31/10/00,16/10/00,Morgan,52,25.5,4,4,3.5,2.5,,,8.5,29.5,63,1381
1/11/00,30/11/00,15/11/00,Morgan,53.5,26,3.5,5,2.5,3,,,6.5,29.5,63.5,1325
1/11/00,31/12/00,1/12/00,Newspoll,44,42,,4,3,1,,,6,42,,
1/12/00,31/12/00,16/12/00,Morgan,53,29,4,3.5,3.5,2,,,5,33,62,1608
1/01/01,31/01/01,16/01/01,Morgan,51.5,30,3.5,4,3.5,1.5,,,6,33.5,61,1314
1/01/01,28/02/01,30/01/01,Newspoll,46,38,,2,4,4,,,6,38,,
1/02/01,28/02/01,14/02/01,Morgan,50.5,26,4,4,4,4.5,,,7,30,64,1561
1/03/01,31/03/01,14/02/01,Morgan,54,24,3.5,4,3.5,4.5,,,7,27.5,65.5,1690
1/03/01,30/04/01,31/03/01,Newspoll,46,36,,4,4,5,,,5,36,,
1/04/01,30/04/01,15/04/01,Morgan,52,25,3.5,5,4,3.5,,,7,28.5,65,1810
1/05/01,31/05/01,16/05/01,Morgan,51.5,26,3.5,5.5,4.5,2.5,,,6.5,29.5,64,1714
1/05/01,30/06/01,31/05/01,Newspoll,48,34,,6,3,4,,,5,34,,
1/06/01,30/06/01,15/06/01,Morgan,52.5,26.5,4,4,3.5,2.5,,,7,30.5,63,
1/07/01,31/07/01,16/07/01,Morgan,47.5,31.5,3.5,5.5,3,3,,,6,35,58.5,
1/07/01,31/08/01,31/07/01,Newspoll,39,41,,5,4,5,,,6,41,,
1/08/01,31/08/01,16/08/01,Morgan,47.5,29.5,3.5,6,4,2.5,,,7,33,59,1462
