PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,NAT,COA,ONP,GRN,DEM,FF,KAP,PUP,OTH,ALP_TPP,N
1/01/00,28/02/00,30/01/00,Morgan,52,21,11.5,,4,2,3,,,,6.5,60.5,1186
1/01/00,31/03/00,15/02/00,Newspoll,47,26,13,,2,2,2,,,,8,,
1/03/00,30/04/00,31/03/00,Morgan,48,22.5,13,,4,2.5,3.5,,,,6.5,57,1258
1/04/00,30/05/00,30/04/00,Newspoll,50,22,15,,2,2,1,,,,8,,
1/05/00,30/06/00,31/05/00,Morgan,52.5,18,10.5,,5.5,3,2.5,,,,8,62.5,1316
1/07/00,31/08/00,31/07/00,Morgan,49,21.5,12.5,,6,1.5,2.5,,,,7,58,1133
1/07/00,30/09/00,15/08/00,Newspoll,49,23,15,,3,3,1,,,,6,,
1/09/00,31/10/00,1/10/00,Morgan,51,23,10.5,,4.5,2,2.5,,,,6.5,60.5,1449
1/10/00,31/12/00,15/11/00,Newspoll,43,23,16,,3,3,3,,,,9,,
1/11/00,31/12/00,1/12/00,Morgan,51.5,22.5,10,,4,2.5,3,,,,6.5,61,1413
13/01/01,3/02/01,23/01/01,Morgan,53,20.5,13.5,,3,2,0,,,,8,61.5,729
30/01/01,1/02/01,31/01/01,Newspoll,52,18,16,,4,3,1,,,,6,,
14/02/01,15/02/01,14/02/01,Newspoll,49,13,13,,12,2,,,,,11,,
1/03/01,30/04/01,31/03/01,Morgan,56,16,8,,9,2,2,,,,7,67.5,1648
1/05/01,30/06/01,31/05/01,Morgan,55.5,16.5,7.5,,7.5,2.5,2.5,,,,8,68.5,1765
1/07/01,31/08/01,31/07/01,Morgan,51.5,18,7.5,,8,3,3.5,,,,8.5,65,1462
1/07/01,30/09/01,15/08/01,Newspoll,51,23,9,,5,2,3,,,,7,,
1/09/01,31/10/01,1/10/01,Morgan,54,21.5,6.5,,5,3,3,,,,7,63,1356
1/10/01,31/12/01,15/11/01,Newspoll,48,27,11,,3,4,2,,,,5,,
1/11/01,31/12/01,1/12/01,Morgan,51,26,7,,4,4,3,,,,5,60,1812
1/01/02,28/02/02,30/01/02,Morgan,52.5,23,8.5,,4,4,2.5,,,,5.5,60.5,1530
1/01/02,31/03/02,14/02/02,Newspoll,45,26,9,,3,2,1,,,,14,,
1/03/02,30/04/02,31/03/02,Morgan,54.5,22,8,,4,3.5,2,,,,6,64,1493
1/04/02,30/06/02,16/05/02,Newspoll,47,25,8,,2,3,2,,,,13,,
1/05/02,30/06/02,31/05/02,Morgan,55.5,23,7.5,,2.5,4.5,2,,,,5,64,1622
1/07/02,31/08/02,31/07/02,Morgan,57.5,21,8.5,,2,3,2.5,,,,5.5,65,1285
1/07/02,30/09/02,15/08/02,Newspoll,47,24,10,,1,3,1,,,,14,,
1/09/02,31/10/02,1/10/02,Morgan,53.5,22,8.5,,2.5,5,1.5,,,,6.5,62.5,1430
1/10/02,31/12/02,15/11/02,Newspoll,49,25,9,,1,4,1,,,,11,,
1/11/02,31/12/02,1/12/02,Morgan,51,23,9,,2,5.5,2.5,,,,7,60.5,1636
1/01/03,28/02/03,30/01/03,Morgan,53,22,9.5,,2.5,5,1.5,,,,6.5,61,1541
1/01/03,31/03/03,14/02/03,Newspoll,53,20,11,,1,3,1,,,,11,,
1/03/03,30/04/03,31/03/03,Morgan,57,20,8.5,,1.5,6,2,,,,5,64.5,1578
1/04/03,30/06/03,16/05/03,Newspoll,45,26,12,,1,3,1,,,,12,,
1/05/03,30/06/03,31/05/03,Morgan,56,21.5,9,,1.5,4,1.5,,,,6.5,63,1726
1/06/03,30/09/03,31/07/03,Newspoll,45,24,12,,3,3,1,,,,12,,
30/08/03,7/09/03,3/09/03,Morgan,49,21.5,7.5,,8.5,5.5,3,,,,5,59,448
1/10/03,31/12/03,15/11/03,Newspoll,46,22,13,,3,4,1,,,,11,,
8/11/03,30/11/03,19/11/03,Morgan,52.5,20.5,9.5,,6,5,2,,,,4.5,59.5,1533
1/11/03,31/01/04,16/12/03,Morgan,51.5,24,8,,5,5,1.5,,,,6,61,1311
16/01/04,20/01/04,18/01/04,Newspoll,50,19,17,,2,4,,,,,8,57.5,
4/02/04,5/02/04,4/02/04,Newspoll,50,18,15,,3,5,,,,,9,59,
1/03/04,30/04/04,31/03/04,Morgan,53,21.5,11.5,,2.5,6,1,,,,4.5,61.5,
1/05/04,31/07/04,15/06/04,Morgan,56.5,22,8,,2.5,5.5,1,,,,4.5,65,
1/07/04,31/08/04,31/07/04,Morgan,56,22.5,9,,2.5,4,1,,,,5,64,
1/09/04,31/10/04,1/10/04,Morgan,52,27,6,,3,5.5,1.5,,,,5,59.5,
1/10/04,31/12/04,15/11/04,Newspoll,43,29,12,,1,3,,,,,12,52,
1/11/04,31/12/04,1/12/04,Morgan,49.5,25,9.5,,2,6,0.5,3,,,4.5,58,1857
1/01/05,28/02/05,30/01/05,Morgan,51.5,22.5,10,,2.5,4.5,1,2.5,,,5.5,59.5,1592
1/01/05,31/03/05,14/02/05,Newspoll,46,27,11,,0,5,,,,,11,55,
1/03/05,30/04/05,31/03/05,Morgan,53,24,8,,2,6,0.5,2.5,,,4,60.5,1608
1/04/05,30/06/05,16/05/05,Newspoll,47,23,14,,0,3,,,,,13,56,
1/05/05,30/06/05,31/05/05,Morgan,51,23.5,10,,2,4.5,1,3.5,,,4.5,58.5,1735
1/07/05,31/08/05,31/07/05,Morgan,53,21.5,10,,1.5,5,1.5,2,,,5.5,60.5,1584
1/07/05,31/08/05,31/07/05,Newspoll,40,27,15,,1,3,,,,,14,50,
1/08/05,30/09/05,31/08/05,Newspoll,41,26,16,,0,4,,,,,13,50,
1/09/05,31/10/05,1/10/05,Morgan,49,25,10.5,,2.5,5.5,1,2,,,4.5,56.5,1564
1/10/05,31/12/05,15/11/05,Newspoll,40,27,16,,0,3,,,,,14,50,
1/11/05,31/12/05,1/12/05,Morgan,49.5,22.5,12,,2,5.5,1,2.5,,,5,57.5,1655
1/01/06,28/02/06,30/01/06,Morgan,48.5,23,11,,2,6.5,1.5,2.5,,,5,57,1537
1/01/06,31/03/06,14/02/06,Newspoll,40,28,14,,0,4,,,,,14,50,
1/03/06,30/04/06,31/03/06,Morgan,50,23.5,11,,1.5,5.5,1.5,2.5,,,4.5,57.5,1557
1/04/06,30/06/06,16/05/06,Newspoll,41,26,13,,1,4,,,,,15,52,
1/05/06,30/06/06,31/05/06,Morgan,50.5,22.5,11,,1.5,4.5,1,3,,,6,58.5,1603
1/07/06,31/08/06,31/07/06,Newspoll,45,25,13,,0,2,,,,,15,54,
1/07/06,31/08/06,31/07/06,Morgan,49.5,23.5,12.5,,1,4,0.5,2.5,,,6.5,56.5,1207
25/08/06,28/08/06,26/08/06,Newspoll,52,20,16,,0,2,,,,,10,58,
5/09/06,6/09/06,5/09/06,Galaxy,48,20,18,,,7,,,,,7,56.5,
6/09/06,7/09/06,6/09/06,Newspoll,48,21,17,,1,4,,,,,9,55,
6/09/06,7/09/06,6/09/06,Morgan,45,19,20,,0.5,8,,2,,,5.5,53,604
1/11/06,31/12/06,1/12/06,Morgan,52.5,23,9.5,,1.5,5.5,1,1.5,,,5.5,60.5,1223
1/04/07,30/06/07,16/05/07,Newspoll,51,20,11,,,6,,1,,,11,61,
1/06/07,30/09/07,31/07/07,Newspoll,50,21,12,,,5,,2,,,10,59,
1/10/07,31/12/07,15/11/07,Newspoll,50,26,9,,,6,,1,,,8,59,
1/01/08,30/03/08,14/02/08,Newspoll,50,22,10,,,8,,0,,,10,60,
1/04/08,30/06/08,16/05/08,Newspoll,43,26,12,,,10,,0,,,9,55,
1/08/08,30/09/08,31/08/08,Newspoll,38,,,41,,9,,1,,,11,51,
1/10/08,31/12/08,15/11/08,Newspoll,45,,,37,,8,,0,,,10,57,
1/01/09,28/02/09,30/01/09,Newspoll,42,,,41,,7,,0,,,10,53,
27/02/09,8/03/09,3/03/09,Newspoll,41,,,43,,8,,0,,,8,49,
17/03/09,18/03/09,17/03/09,Galaxy,40,,,43,,9,,,,,8,49,
18/03/09,19/03/09,18/03/09,Newspoll,41.7,,,42.1,,7.4,,0.5,,,8.3,49.9,
17/02/10,18/03/10,3/03/10,Morgan,34.5,,,46.5,,9.5,,2,,,7.5,44.5,423
1/07/10,30/09/10,15/08/10,Newspoll,29,,,44,,14,,,,,13,43,
1/10/11,31/12/11,15/11/11,Newspoll,26,,,45,,13,,,,,16,41,
1/01/11,31/03/11,14/02/11,Newspoll,38,,,37,,10,,,,,15,52,
24/03/11,25/03/11,24/03/11,Galaxy,36,,,47,,10,,,,,7,45,
5/04/11,14/04/11,9/04/11,Morgan,29,,,50.5,,7.5,,1.5,,,11.5,38.5,348
1/04/11,31/05/11,1/05/11,Newspoll,31,,,51,,7,,,,,11,40,
18/05/11,19/05/11,18/05/11,Galaxy,30,,,52,,10,,,,,8,39,
1/07/11,30/09/11,15/08/11,Newspoll,27,,,50,,8,,,,,15,39,
24/08/11,25/08/11,24/08/11,Galaxy,28,,,52,,10,,,1,,8,37,
1/10/11,31/12/11,15/11/11,Newspoll,31,,,44,,10,,,,,15,44,
16/11/11,17/11/11,16/11/11,Galaxy,28,,,50,,10,,,4,,8,38,
24/01/12,25/01/12,24/01/12,Galaxy,32,,,49,,10,,,4,,5,41,
3/02/12,15/02/12,9/02/12,Newspoll,30,,,47,,9,,,5,,9,42,
15/02/12,16/02/12,15/02/12,Galaxy,30,,,49,,11,,,5,,5,40,
20/03/12,21/03/12,20/03/12,Morgan,28,,,51,,7.5,,0.5,8.5,,4.5,38,205
20/03/12,22/03/12,21/03/12,Newspoll,28,,,50,,6,,,9,,7,39.2,
24/03/12,24/03/12,24/03/12,Galaxy,26,,,51,,7,,,11,,5,37,
15/05/12,16/05/12,15/05/12,Galaxy,23,,,54,,10,,,7,,6,33,
3/07/12,3/07/12,3/07/12,ReachTEL,21.8,,,56.5,,9.4,,,7.4,,4.8,,1051
1/07/12,31/08/12,31/07/12,Morgan,27.5,,,51,,7.5,,,5,,9,41,319
1/07/12,30/09/12,15/08/12,Newspoll,30,,,48,,9,,,1,,12,40,
17/08/12,17/08/12,17/08/12,ReachTEL,31.6,,,44.2,,9.2,,,9.6,,5.4,,1131
22/08/12,23/08/12,22/08/12,Galaxy,30,,,48,,9,,,7,,6,40,
14/09/12,14/09/12,14/09/12,ReachTEL,34.7,,,44.7,,7,,,9.4,,4.1,,1140
12/10/12,12/10/12,12/10/12,ReachTEL,30.5,,,44.6,,7.5,,,11,,6.4,,1140
1/10/12,31/12/12,15/11/12,Newspoll,31,,,42,,8,,,4,,15,44,
21/11/12,22/11/12,21/11/12,Galaxy,33,,,46,,8,,,6,,7,44,
23/11/12,23/11/12,23/11/12,ReachTEL,34.2,,,42,,9.5,,,8.9,,5.4,,1123
1/12/12,31/12/12,16/12/12,ReachTEL,32.1,,,41.9,,8.2,,,12.1,,5.7,,
1/01/13,31/01/13,16/01/13,ReachTEL,34.9,,,42.5,,8.4,,,10.5,,3.6,,
1/01/13,31/03/13,14/02/13,Newspoll,27,,,49,,6,,,3,,15,38,
1/02/13,28/02/13,14/02/13,ReachTEL,28.9,,,47.1,,7.9,,,11.5,,4.5,,
20/02/13,21/02/13,20/02/13,Galaxy,33,,,46,,9,,,6,,6,45,
1/03/13,31/03/13,16/03/13,ReachTEL,30.2,,,47.8,,8,,,10.1,,3.9,,
23/03/13,2/04/13,28/03/13,ReachTEL,30.4,,,45.8,,8.2,,,9.9,,5.6,,36000
1/04/13,30/04/13,15/04/13,ReachTEL,29.2,,,45.1,,7.7,,,12.7,,5.4,,
1/04/13,30/06/13,16/05/13,Newspoll,29,,,44,,10,,,3,,14,41,
22/05/13,23/05/13,22/05/13,Galaxy,32,,,44,,8,,,8,,8,43,
23/05/13,23/05/13,23/05/13,ReachTEL,28.2,,,44.6,,9,,,10.4,,7.8,,1291
10/07/13,10/07/13,10/07/13,ReachTEL,37,,,43.3,,5.1,,,5.7,4.5,4.4,,1613
7/08/13,8/08/13,7/08/13,Galaxy,34,,,47,,7,,,6,,6,43,
13/11/13,14/11/13,13/11/13,Galaxy,33,,,45,,8,,,5,,9,43,
1/10/13,31/12/13,15/11/13,Newspoll,32,,,40,,8,,,2,,18,45,
5/02/14,6/02/14,5/02/14,Galaxy,36,,,41,,8,,,6,,9,47,
1/01/14,31/03/14,14/02/14,Newspoll,36,,,40,,8,,,1,,15,48,
1/03/14,31/03/14,16/03/14,Essential,34,,,41,,7,,,3,8,7,47,733
2/04/14,2/04/14,2/04/14,ReachTEL,36.6,,,40.8,,7.6,,,3.4,8.4,3.1,,2907
1/04/14,30/06/14,16/05/14,Newspoll,34,,,32,,8,,,2,,24,51,
21/05/14,22/05/14,21/05/14,Galaxy,34,,,43,,8,,,5,,10,45,
5/06/14,5/06/14,5/06/14,ReachTEL,34.1,,,40.9,,5.2,,,,13.6,6.3,47,1820
1/06/14,30/06/14,15/06/14,Essential,35,,,37,,10,,,2,9,7,50,913
3/07/14,3/07/14,3/07/14,ReachTEL,34.4,,,38.7,,6.1,,,,15.4,5.4,49,1868
7/08/14,7/08/14,7/08/14,ReachTEL,34.4,,,41,,5.5,,,,12.6,6.5,48,1883
12/08/14,13/08/14,12/08/14,Galaxy,36,,,39,,7,,,3,12,3,48,
1/07/14,30/09/14,15/08/14,Newspoll,32,,,39,,10,,,1,,18,46,
4/09/14,4/09/14,4/09/14,ReachTEL,36,,,41.2,,6,,,,9.5,7.2,49,1692
1/09/14,30/09/14,15/09/14,Essential,37,,,38,,10,,,3,7,6,51,870
26/09/14,29/09/14,27/09/14,Morgan,35.5,,,42,,9,,,2.5,6.5,4.5,49,1190
9/10/14,9/10/14,9/10/14,ReachTEL,36.6,,,40.9,,7.6,,,,7.2,7.7,49,1471
24/10/14,27/10/14,25/10/14,Morgan,38.5,,,38,,10,,,2,6,5.5,50.5,
1/10/14,1/12/14,31/10/14,Newspoll,36,,,37,,10,,,1,,16,50,
18/11/14,19/11/14,18/11/14,Galaxy,38,,,37,,9,,,3,7,6,50,
21/11/14,24/11/14,22/11/14,Morgan,36.5,,,39,,9.5,,,3.5,4,7.5,49.5,1179
28/11/14,28/11/14,28/11/14,ReachTEL,37.3,,,39.2,,7.9,,,,6.5,9.1,51,1480
1/12/14,31/12/14,16/12/14,Essential,37,,,38,,10,,,3,5,8,51,507
6/01/15,6/01/15,6/01/15,ReachTEL,38.1,,,40.3,,7.6,,,,6.3,7.7,50,1583
6/01/15,8/01/15,7/01/15,Newspoll,37,,,42,,7,,,1,,13,47,
7/01/15,8/01/15,7/01/15,Galaxy,38,,,41,,8,,,3,3,7,48,800
16/01/15,18/01/15,17/01/15,Morgan,37,,,39.5,,10,,,3.5,4,6,49.5,1179
9/01/15,26/01/15,17/01/15,Essential,38,,,39,,7,,,2,5,9,50,566
20/01/15,20/01/15,20/01/15,ReachTEL,36.7,,,42,,8.4,,,,5.2,7.6,48,1635
27/01/15,29/01/15,28/01/15,Newspoll,37,,,41,,6,,,2,,14,48,
27/01/15,29/01/15,28/01/15,Galaxy,37,,,41,,8,,,2,4,8,48,800
29/01/15,29/01/15,29/01/15,ReachTEL,37.2,,,41.5,,7.5,,,,4.4,9.3,48,1560
