PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,COA,NAT,DEM,GRN,FF,ONP,PUP,OTH,ALP_TPP,N,,,
1/01/00,29/02/00,30/01/00,Morgan,44.5,32.5,,,11,2.5,,2,,7.5,57.5,825,,,
1/01/00,31/03/00,15/02/00,Newspoll,44,,39,,9,2,,1,,5,,,,,
1/03/00,30/04/00,31/03/00,Morgan,41.5,33.5,,,10.5,2,,2.5,,10,56.5,856,,,
1/04/00,30/06/00,16/05/00,Newspoll,41,,43,,10,1,,1,,4,,,,,
1/05/00,30/06/00,31/05/00,Morgan,44,31,,,11.5,1.5,,2.5,,9.5,58.5,946,,,
1/07/00,31/08/00,31/07/00,Morgan,41.5,31.5,,,11.5,3,,2.5,,10,56,1035,,,
1/07/00,30/09/00,15/08/00,Newspoll,42,,41,,8,2,,1,,6,,,,,
1/09/00,31/10/00,1/10/00,Morgan,41.5,35.5,,,10,2,,2,,9,53.5,795,,,
1/10/00,31/12/00,15/11/00,Newspoll,37,,43,,10,2,,1,,7,,,,,
1/11/00,31/12/00,1/12/00,Morgan,39,33.5,,,12,2.5,0.5,2.5,,10,55.5,858,,,
1/01/01,28/02/01,30/01/01,Morgan,41.5,32.5,,,10.5,1.5,1,3,,10,56.6,,,,
1/01/01,31/03/01,14/02/01,Newspoll,39,,40,,9,1,,4,,7,,,,,
1/03/01,30/04/01,31/03/01,Morgan,40,31.5,,,12.5,2.5,1,6,,6.5,58.5,802,,,
1/04/01,30/06/01,16/05/01,Newspoll,38,,38,,15,1,,3,,5,,,,,
1/05/01,30/06/01,31/05/01,Morgan,40.5,30,,,13.5,2.5,0.5,4,,9,60.5,894,,,
1/07/01,31/08/01,31/07/01,Morgan,39,35,,,14.5,1.5,1,2,,7,55.5,765,,,
1/07/01,30/09/01,15/08/01,Newspoll,39,,43,,11,1,,3,,3,,,,,
1/09/01,31/10/01,1/10/01,Morgan,38.5,39.5,,,11.5,2,1.5,1.5,,5.5,50,556,,,
1/10/01,30/11/01,31/10/01,Newspoll,40,,45,,9,2,,1,,3,,,,,
1/11/01,31/12/01,1/12/01,Morgan,38,41.5,,,10,3.5,0.5,2,,4.5,49,912,,,
1/11/01,31/12/01,1/12/01,Newspoll,35,,45,,10,4,,2,,4,,,,,
1/01/02,31/01/02,16/01/02,Morgan,37,46,,,8,2,1,1,,4,48.5,358,,,
1/02/02,2/02/02,1/02/02,Morgan,35.5,44,,,8,3,1,0.5,,8,49,621,,,
6/02/02,7/02/02,6/02/02,Newspoll,37,,43,,7,2,,1,,10,,,,,
6/02/02,7/02/02,6/02/02,Morgan,35.5,39.5,,,11.5,2.5,2,1.5,,7.5,50,597,,,
1/02/02,31/03/02,2/03/02,Morgan,38.5,40,,,9,4.5,1.5,1.5,,5,52.5,701,,,
1/04/02,31/05/02,1/05/02,Morgan,45,37,,,8,3,1.5,0.5,,5,56.5,775,,,
1/04/02,30/06/02,16/05/02,Newspoll,42,38,,1,6,2,0,1,,10,,,,,
1/07/02,31/08/02,31/07/02,Morgan,49,32.5,,,4.5,5.5,3,0.5,,5,59.5,775,,,
1/07/02,30/09/02,15/08/02,Newspoll,42,40,,1,3,3,0,1,,10,,,,,
1/09/02,31/10/02,1/10/02,Morgan,47,32,,,5.5,7,3,1,,4.5,60,677,,,
1/10/02,31/12/02,15/11/02,Newspoll,46,34,,1,3,4,1,1,,10,,,,,
