PollStartDate,PollEndDate,MedianDate,Pollster,ALP,LIB,NAT,LNP,ONP,GRN,DEM,FF,KAP,PUP,OTH,ALP_TPP,N,,,
8/01/00,30/01/00,19/01/00,Morgan,54.5,35.5,2,,1.5,1,2.5,,,,3,59,911,,,
1/01/00,28/02/00,30/01/00,Newspoll,49,,,45,,,,,,,6,,,,,
1/02/00,28/02/00,14/02/00,Morgan,48.5,40.5,1.5,,1,2,3,,,,3.5,55,,,,
4/03/00,26/03/00,15/03/00,Morgan,51,37,2.5,,0.5,2,3,,,,4,56,886,,,
1/03/00,30/04/00,31/03/00,Newspoll,50,,,40,,,,,,,10,,,,,
1/04/00,30/04/00,15/04/00,Morgan,51.5,34,2.5,,1,2,4,,,,5,60,1025,,,
6/05/00,28/05/00,17/05/00,Morgan,55,31.5,2.5,,0.5,2,3,,,,5.5,62,869,,,
1/05/00,30/06/00,31/05/00,Newspoll,56,,,37,,,,,,,7,,,,,
3/06/00,25/06/00,14/06/00,Morgan,53,34,2.5,,0.5,2.5,2.5,,,,5,59.5,963,,,
1/07/00,30/07/00,15/07/00,Morgan,56,30,3,,1,3,2,,,,5,62,1015,,,
1/07/00,31/08/00,31/07/00,Newspoll,55,,,37,,,,,,,8,,,,,
5/08/00,27/08/00,16/08/00,Morgan,53.5,34.5,2,,1,1.5,2.5,,,,5,59,810,,,
1/09/00,30/09/00,15/09/00,Morgan,57.5,32.5,1.5,,0.5,1.5,2,,,,4.5,63,,,,
1/09/00,31/10/00,1/10/00,Newspoll,52,,,40,,,,,,,8,,,,,
30/09/00,22/10/00,11/10/00,Morgan,58,28.5,2,,0.5,1.5,3.5,,,,6,65.5,1115,,,
28/10/00,19/11/00,8/11/00,Morgan,54,32,3,,0.5,2.5,3.5,,,,4.5,60,968,,,
1/11/00,31/12/00,1/12/00,Newspoll,49,,,42,,,,,,,9,,,,,
26/11/00,17/12/00,6/12/00,Morgan,53,31.5,3.5,,0.5,3,4,,,,4.5,61,1185,,,
1/01/01,31/01/01,16/01/01,Morgan,52.5,35,2.5,,0.5,2.5,2.5,,,,4.5,59,,,,
1/01/01,28/02/01,30/01/01,Newspoll,52,,,39,,,,,,,9,,,,,
1/02/01,28/02/01,14/02/01,Morgan,54.5,30,3,,1.5,2,4,,,,5,62,,,,
3/03/01,25/03/01,14/03/01,Morgan,56,28.5,2,,2,2.5,3,,,,6,64,1283,,,
1/03/01,30/04/01,31/03/01,Newspoll,54,,,36,,,,,,,10,,,,,
7/04/01,29/04/01,18/04/01,Morgan,53,29,2.5,,1,4,4.5,,,,6,63,1187,,,
5/05/01,27/05/01,16/05/01,Morgan,57.5,27.5,2.5,,0.5,2.5,4.5,,,,5.5,66.5,1209,,,
1/05/01,30/06/01,31/05/01,Newspoll,50,,,36,,,,,,,14,,,,,
1/06/01,30/06/01,15/06/01,Morgan,53.5,30.5,3.5,,1,3,4,,,,4.5,62.5,,,,
1/07/01,31/07/01,16/07/01,Morgan,54,29.5,1.5,,1,2.5,6,,,,5.5,63.5,,,,
1/07/01,31/08/01,31/07/01,Newspoll,46,,,41,,,,,,,13,,,,,
4/08/01,26/08/01,15/08/01,Morgan,53,29.5,2,,1.5,2.5,6,,,,5.5,62.5,884,,,
2/09/01,24/09/01,13/09/01,Morgan,55.5,29,2,,1,3,4,,,,5.5,63,,,,
