PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,NAT,COA,ONP,GRN,DEM,OTH,ALP_TPP
1/01/00,31/03/00,15/02/00,Newspoll Jan-Mar 2000,43,37,6,43,1,5,3,5,
1/04/00,30/06/00,16/05/00,Newspoll Apr-Jun 2000,40,37,6,43,2,4,3,8,
1/07/00,30/09/00,15/08/00,Newspoll Jul-Sep 2000,43,35,6,41,3,4,4,5,
1/10/00,31/12/00,15/11/00,Newspoll Oct-Dec 2000,41,34,8,42,5,5,2,5,
7/02/01,8/02/01,7/02/01,Newspoll 7-8 Feb 2001,39,35,3,38,7,5,3,8,
1/07/01,30/09/01,15/08/01,Newspoll Jul-Sep 2001,35,37,5,42,6,9,3,5,
1/10/01,31/12/01,15/11/01,Newspoll Oct-Dec 2001,35,41,3,44,5,9,3,4,
1/01/02,31/03/02,14/02/02,Newspoll Jan-Mar 2002,34,37,4,41,2,6,3,14,
1/04/02,30/06/02,16/05/02,Newspoll Apr-Jun 2002,39,36,5,41,2,6,2,10,
1/07/02,30/09/02,15/08/02,Newspoll Jul-Sep 2002,37,37,3,40,2,8,2,11,
1/10/02,31/12/02,15/11/02,Newspoll Oct-Dec 2002,35,38,4,42,1,10,2,10,
1/01/03,31/03/03,14/02/03,Newspoll Jan-Mar 2003,36,38,4,42,1,8,2,11,
1/04/03,30/06/03,16/05/03,Newspoll Apr-Jun 2003,39,36,3,39,1,9,1,11,
1/07/03,30/09/03,15/08/03,Newspoll Jul-Sep 2003,34,40,2,42,2,8,1,13,
1/10/03,31/12/03,15/11/03,Newspoll Oct-Dec 2003,35,39,3,42,2,7,1,13,
1/01/04,31/03/04,15/02/04,Newspoll Jan-Mar 2004,37,39,3,42,2,7,1,11,48
1/04/04,30/06/04,16/05/04,Newspoll Apr-Jun 2004,38,39,3,42,0,7,1,12,50
1/07/04,30/09/04,15/08/04,Newspoll Jul-Sep 2004,38,38,3,41,0,9,2,10,50
1/10/04,31/12/04,15/11/04,Newspoll Oct-Dec 2004,35,46,3,49,0,7,1,8,44
28/01/05,30/01/05,29/01/05,Newspoll 28-30 Jan 2005,42,40,4,44,1,6,0,7,50
23/02/05,24/02/05,23/02/05,Newspoll 23-24 Feb 2005,45,36.5,3,39.5,0.5,7,,8,54
1/10/05,31/12/05,15/11/05,Newspoll Oct - Dec 2005,37,39,4,43,,5,,15,48
1/01/06,31/03/06,14/02/06,Newspoll Jan - Mar 2006,42,35,4,39,,8,,11,53
1/04/06,30/06/06,16/05/06,Newspoll Apr - Jun 2006,42,37,3,40,,4,,14,52
1/07/06,30/09/06,15/08/06,Newspoll Jul - Sep 2006,42,37,3,40,,6,,12,52
1/10/06,31/12/06,15/11/06,Newspoll Oct - Dec 2006,38,40,2,42,,7,,13,49
1/01/07,31/03/07,14/02/07,Newspoll Jan - Mar 2007,39,35,4,39,,10,,12,51
1/04/07,30/06/07,16/05/07,Newspoll Apr - Jun 2007,44,35,3,38,,8,,10,54
1/07/07,30/09/07,15/08/07,Newspoll Jul - Sep 2007,44,38,5,43,,6,,7,51
1/10/07,31/12/07,15/11/07,Newspoll Oct - Dec 2007,40,41,4,45,,8,,7,49
1/01/08,31/03/08,15/02/08,Newspoll Jan - Mar 2008,42,35,3,38,,12,,8,53
1/04/08,30/06/08,16/05/08,Newspoll Apr - Jun 2008,41,31,4,35,,16,,8,54
10/08/08,14/08/08,12/08/08,Newspoll 10-14 Aug 2008,42,37,5,42,,10,,6,51
2/09/08,4/09/08,3/09/08,Newspoll 2-4 Sep 2008,35,37,6,43,,12,,10,50
1/01/09,31/03/09,14/02/09,Newspoll Jan - Mar 2009,33,42,5,47,,13,,7,45
1/01/10,31/03/10,14/02/10,Newspoll Jan - Mar 2010,37,40,5,45,,11,,7,47
1/04/10,30/06/10,16/05/10,Newspoll Apr - Jun 2010,32,38,6,44,,16,,8,46
1/07/10,30/09/10,15/08/10,Newspoll Jul - Sep 2010,30,41,6,47,,14,,9,43
1/10/10,31/12/10,15/11/10,Newspoll Oct - Dec 2010,29,42,7,49,,13,,9,42
1/01/11,31/03/11,14/02/11,Newspoll Jan - Mar 2011,31,43,6,49,,13,,7,43
1/04/11,30/06/11,16/05/11,Newspoll Apr - Jun 2011,30,43,6,49,,12,,9,43
1/07/11,30/09/11,15/08/11,Newspoll Jul - Sep 2011,29,42,6,48,,13,,10,43
1/10/11,31/12/11,15/11/11,Newspoll Oct - Dec 2011,29,46,4,50,,12,,9,41
1/01/12,31/03/12,15/02/12,Newspoll Jan - Mar 2012,35,39,6,45,,11,,9,47
1/07/12,30/09/12,15/08/12,Newspoll Jul - Sep 2012,30,43,5,48,,12,,10,43
1/10/12,31/12/12,15/11/12,Newspoll Oct - Dec 2012,30,43,6,49,,12,,9,42
3/02/13,7/02/13,5/02/13,Newspoll 3-7 Feb 2013,35,45,6,51,,8,,6,43
4/03/13,7/03/13,5/03/13,Newspoll 4-7 Mar 2013,32,48,6,54,,8,,6,40.5
1/10/13,12/12/13,6/11/13,Newspoll Oct - Dec 2013,33,36,8,44,,13,,10,49
1/04/14,30/06/14,16/05/14,Newspoll Apr - Jun 2014,27,34,6,40,,17,,16,50
1/07/14,30/09/14,15/08/14,Newspoll Jul - Sep 2014,31,35,6,41,,15,,13,50
1/10/14,31/12/14,15/11/14,Newspoll Oct - Dec 2014,33,34,8,42,,15,,10,50
